LOINC_NUM,COMPONENT,PROPERTY,TIME_ASPCT,SYSTEM,SCALE_TYP,METHOD_TYP,CLASS,VersionLastChanged,STATUS,CLASSTYPE,ORDER_OBS,EXTERNAL_COPYRIGHT_NOTICE,EXAMPLE_UNITS,LONG_COMMON_NAME,EXAMPLE_UCUM_UNITS,VersionFirstReleased,LHCForms,FormalName
100663-4,"TPMT gene c.460G>A&c.719A>G",PrThr,Pt,Bld,Ord,Molgen,MOLPATH.PHARMG,2.73,ACTIVE,1,Both,,,"TPMT gene c.460G>A and c.719A>G [Presence] in Blood by Molecular genetics method",,2.73,false,"TPMT gene c.460G>A&c.719A>G:PrThr:Pt:Bld:Ord:Molgen"
49654-7,"TPMT gene.c.238G>C",PrThr,Pt,Bld/Tiss,Ord,Molgen,MOLPATH.PHARMG,2.67,ACTIVE,1,Both,,,"TPMT gene c.238G>C [Presence] in Blood or Tissue by Molecular genetics method",,2.22,false,"TPMT gene.c.238G>C:PrThr:Pt:Bld/Tiss:Ord:Molgen"
93193-1,"TPMT gene & NUDT15 gene targeted mutation analysis",Find,Pt,Bld/Tiss,Doc,Molgen,MOLPATH.PHARMG,2.67,ACTIVE,1,Both,,,"TPMT gene and NUDT15 gene targeted mutation analysis in Blood or Tissue by Molecular genetics method",,2.67,false,"TPMT gene & NUDT15 gene targeted mutation analysis:Find:Pt:Bld/Tiss:Doc:Molgen"
49653-9,"TPMT gene.c.719A>G",PrThr,Pt,Bld/Tiss,Ord,Molgen,MOLPATH.PHARMG,2.67,ACTIVE,1,Both,,,"TPMT gene c.719A>G [Presence] in Blood or Tissue by Molecular genetics method",,2.22,false,"TPMT gene.c.719A>G:PrThr:Pt:Bld/Tiss:Ord:Molgen"
49655-4,"TPMT gene.c.460G>A",PrThr,Pt,Bld/Tiss,Ord,Molgen,MOLPATH.PHARMG,2.67,ACTIVE,1,Both,,,"TPMT gene c.460G>A [Presence] in Blood or Tissue by Molecular genetics method",,2.22,false,"TPMT gene.c.460G>A:PrThr:Pt:Bld/Tiss:Ord:Molgen"
71356-0,"TPMT gene.c.238G>C+460G>A+719A>G",Prid,Pt,Bld/Tiss,Nar,Molgen,MOLPATH.PHARMG,2.67,ACTIVE,1,Both,,,"TPMT gene c.238G>C+460G>A+719A>G [Identifier] in Blood or Tissue by Molecular genetics method Narrative",,2.40,false,"TPMT gene.c.238G>C+460G>A+719A>G:Prid:Pt:Bld/Tiss:Nar:Molgen"
80738-8,"TPMT gene targeted mutation analysis",Prid,Pt,Bld/Tiss,Nom,Sequencing,MOLPATH.PHARMG,2.67,ACTIVE,1,Both,,,"TPMT gene mutations found [Identifier] in Blood or Tissue by Sequencing Nominal",,2.56,false,"TPMT gene targeted mutation analysis:Prid:Pt:Bld/Tiss:Nom:Sequencing"
91139-6,"Thiopurine methyltransferase activity panel",-,Pt,RBC,-,,PANEL.CHEM,2.65,ACTIVE,1,Order,,,"Thiopurine methyltransferase activity panel - Red Blood Cells",,2.65,true,"Thiopurine methyltransferase activity panel:-:Pt:RBC:-:"
36922-3,"TPMT gene targeted mutation analysis",Find,Pt,Bld/Tiss,Doc,Molgen,MOLPATH.PHARMG,2.73,ACTIVE,1,Both,,,"TPMT gene targeted mutation analysis in Blood or Tissue by Molecular genetics method",,2.13,false,"TPMT gene targeted mutation analysis:Find:Pt:Bld/Tiss:Doc:Molgen"
41048-0,"TPMT gene targeted mutation analysis",Prid,Pt,Bld/Tiss,Nom,Molgen,MOLPATH.PHARMG,2.73,ACTIVE,1,Both,,,"TPMT gene mutations found [Identifier] in Blood or Tissue by Molecular genetics method Nominal",,2.15,false,"TPMT gene targeted mutation analysis:Prid:Pt:Bld/Tiss:Nom:Molgen"
