LOINC_NUM,COMPONENT,PROPERTY,TIME_ASPCT,SYSTEM,SCALE_TYP,METHOD_TYP,CLASS,VersionLastChanged,STATUS,CLASSTYPE,ORDER_OBS,EXTERNAL_COPYRIGHT_NOTICE,EXAMPLE_UNITS,LONG_COMMON_NAME,EXAMPLE_UCUM_UNITS,VersionFirstReleased,LHCForms,FormalName
4207-7,cycloSPORINE,Mass,Pt,Dose,Qn,,DRUGDOSE,2.73,ACTIVE,1,Observation,,,"cycloSPORINE [Mass] of Dose",mg,1.0,false,cycloSPORINE:Mass:Pt:Dose:Qn:
3521-2,cycloSPORINE,MCnc,Pt,Ser,Qn,,DRUG/TOX,2.73,DISCOURAGED,1,Both,,ng/mL,"cycloSPORINE [Mass/volume] in Serum",ng/mL,1.0,false,cycloSPORINE:MCnc:Pt:Ser:Qn:
15103-5,cycloSPORINE,SCnc,Pt,Ser,Qn,,DRUG/TOX,2.73,DISCOURAGED,1,Both,,umol/L,"cycloSPORINE [Moles/volume] in Serum",umol/L,1.0k,false,cycloSPORINE:SCnc:Pt:Ser:Qn:
99413-7,cycloSPORINE,TmMCnc,Pt,Bld,Qn,,DRUG/TOX,2.72,ACTIVE,1,Both,,ug*h/L,"cycloSPORINE [AUC] in Blood",ug.h/L,2.72,false,cycloSPORINE:TmMCnc:Pt:Bld:Qn:
3520-4,cycloSPORINE,MCnc,Pt,Bld,Qn,,DRUG/TOX,2.73,ACTIVE,1,Both,,ug/L;ng/mL,"cycloSPORINE [Mass/volume] in Blood",ng/mL,1.0,false,cycloSPORINE:MCnc:Pt:Bld:Qn:
16703-1,cycloSPORINE,MCnc,Pt,Plas,Qn,,DRUG/TOX,2.73,ACTIVE,1,Both,,ng/mL,"cycloSPORINE [Mass/volume] in Plasma",ng/mL,1.0l,false,cycloSPORINE:MCnc:Pt:Plas:Qn:
33955-6,cycloSPORINE.monoclonal,MCnc,Pt,Bld,Qn,,DRUG/TOX,2.73,ACTIVE,1,Both,,ng/mL,"cycloSPORINE.monoclonal [Mass/volume] in Blood",ng/mL,2.09,false,cycloSPORINE.monoclonal:MCnc:Pt:Bld:Qn:
33956-4,cycloSPORINE.polyclonal,MCnc,Pt,Bld,Qn,,DRUG/TOX,2.70,ACTIVE,1,Both,,ng/mL,"cycloSPORINE.polyclonal [Mass/volume] in Blood",ng/mL,2.09,false,cycloSPORINE.polyclonal:MCnc:Pt:Bld:Qn:
3522-0,cycloSPORINE+Metabolites,MCnc,Pt,Bld,Qn,,DRUG/TOX,2.73,ACTIVE,1,Both,,ng/mL,"cycloSPORINE+Metabolites [Mass/volume] in Blood",ng/mL,1.0,false,cycloSPORINE+Metabolites:MCnc:Pt:Bld:Qn:
80561-4,cycloSPORINE,MCnc,Pt,Bld.dot,Qn,,DRUG/TOX,2.66,ACTIVE,1,Both,,ug/L,"cycloSPORINE [Mass/volume] in DBS",ug/L,2.56,false,cycloSPORINE:MCnc:Pt:Bld.dot:Qn:
53834-8,cycloSPORINE^peak,MCnc,Pt,Bld,Qn,,DRUG/TOX,2.70,ACTIVE,1,Both,,ng/mL,"cycloSPORINE [Mass/volume] in Blood --peak",ng/mL,2.26,false,cycloSPORINE^peak:MCnc:Pt:Bld:Qn:
53828-0,cycloSPORINE^trough,MCnc,Pt,Bld,Qn,,DRUG/TOX,2.73,ACTIVE,1,Both,,ug/L,"cycloSPORINE [Mass/volume] in Blood --trough",ug/L,2.26,false,cycloSPORINE^trough:MCnc:Pt:Bld:Qn:
14978-1,cycloSPORINE,MCnc,Pt,Bld,Qn,IA,DRUG/TOX,2.73,ACTIVE,1,Both,,ug/L,"cycloSPORINE [Mass/volume] in Blood by Immunoassay",ug/L,1.0k,false,cycloSPORINE:MCnc:Pt:Bld:Qn:IA
55805-6,cycloSPORINE,MCnc,Pt,Bld,Qn,LC/MS/MS,DRUG/TOX,2.73,ACTIVE,1,Both,,ug/L,"cycloSPORINE [Mass/volume] in Blood by LC/MS/MS",ug/L,2.29,false,cycloSPORINE:MCnc:Pt:Bld:Qn:LC/MS/MS
17807-9,cycloSPORINE,MCnc,Pt,"Body fld",Qn,,DRUG/TOX,2.66,ACTIVE,1,Both,,ng/mL,"cycloSPORINE [Mass/volume] in Body fluid",ng/mL,1.0l,false,"cycloSPORINE:MCnc:Pt:Body fld:Qn:"
78920-6,cycloSPORINE,SCnc,Pt,Bld,Qn,IA,DRUG/TOX,2.66,ACTIVE,1,Both,,nmol/L,"cycloSPORINE [Moles/volume] in Blood by Immunoassay",nmol/L,2.54,false,cycloSPORINE:SCnc:Pt:Bld:Qn:IA
34426-7,cycloSPORINE.monoclonal,MCnc,Pt,Ser/Plas,Qn,,DRUG/TOX,2.70,ACTIVE,1,Both,,ug/L,"cycloSPORINE.monoclonal [Mass/volume] in Serum or Plasma",ug/L,2.10,false,cycloSPORINE.monoclonal:MCnc:Pt:Ser/Plas:Qn:
53573-2,"cycloSPORINE^post dose",MCnc,Pt,Bld,Qn,,DRUG/TOX,2.73,ACTIVE,1,Both,,ug/L,"cycloSPORINE [Mass/volume] in Blood --post dose",ug/L,2.26,false,"cycloSPORINE^post dose:MCnc:Pt:Bld:Qn:"
3524-6,"cycloSPORINE^12H post dose",MCnc,Pt,Ser,Qn,,DRUG/TOX,2.66,DISCOURAGED,1,Both,,ug/mL,"cycloSPORINE [Mass/volume] in Serum --12 hours post dose",ug/mL,1.0,false,"cycloSPORINE^12H post dose:MCnc:Pt:Ser:Qn:"
3525-3,"cycloSPORINE^24H post dose",MCnc,Pt,Bld,Qn,,DRUG/TOX,2.66,ACTIVE,1,Both,,ug/mL,"cycloSPORINE [Mass/volume] in Blood --24 hours post dose",ug/mL,1.0,false,"cycloSPORINE^24H post dose:MCnc:Pt:Bld:Qn:"
3526-1,"cycloSPORINE^24H post dose",MCnc,Pt,Ser,Qn,,DRUG/TOX,2.66,DISCOURAGED,1,Both,,ug/mL,"cycloSPORINE [Mass/volume] in Serum --24 hours post dose",ug/mL,1.0,false,"cycloSPORINE^24H post dose:MCnc:Pt:Ser:Qn:"
77167-5,"cycloSPORINE^3H post dose",MCnc,Pt,Bld,Qn,,DRUG/TOX,2.66,ACTIVE,1,Both,,ug/L,"cycloSPORINE [Mass/volume] in Blood --3 hours post dose",ug/L,2.52,false,"cycloSPORINE^3H post dose:MCnc:Pt:Bld:Qn:"
77168-3,"cycloSPORINE^4H post dose",MCnc,Pt,Bld,Qn,,DRUG/TOX,2.66,ACTIVE,1,Both,,ug/L,"cycloSPORINE [Mass/volume] in Blood --4 hours post dose",ug/L,2.52,false,"cycloSPORINE^4H post dose:MCnc:Pt:Bld:Qn:"
45058-5,"cycloSPORINE.monoclonal & polyclonal panel",MCnc,Pt,Bld,Qn,,PANEL.DRUG/TOX,2.42,ACTIVE,1,Order,,,"cycloSPORINE Monoclonal and Polyclonal panel [Mass/volume] - Blood",,2.17,true,"cycloSPORINE.monoclonal & polyclonal panel:MCnc:Pt:Bld:Qn:"
3523-8,"cycloSPORINE^12H post dose",MCnc,Pt,Bld,Qn,,DRUG/TOX,2.73,ACTIVE,1,Both,,ug/mL,"cycloSPORINE [Mass/volume] in Blood --12 hours post dose",ug/mL,1.0,false,"cycloSPORINE^12H post dose:MCnc:Pt:Bld:Qn:"
77169-1,"cycloSPORINE^1H post dose",MCnc,Pt,Bld,Qn,,DRUG/TOX,2.66,ACTIVE,1,Both,,ug/L,"cycloSPORINE [Mass/volume] in Blood --1 hour post dose",ug/L,2.52,false,"cycloSPORINE^1H post dose:MCnc:Pt:Bld:Qn:"
