LOINC_NUM,COMPONENT,PROPERTY,TIME_ASPCT,SYSTEM,SCALE_TYP,METHOD_TYP,CLASS,VersionLastChanged,STATUS,CLASSTYPE,ORDER_OBS,EXTERNAL_COPYRIGHT_NOTICE,EXAMPLE_UNITS,LONG_COMMON_NAME,EXAMPLE_UCUM_UNITS,VersionFirstReleased,LHCForms,FormalName
87432-1,"Mycophenolate & mycophenolate glucuronide panel",-,Pt,Ser/Plas,Qn,,PANEL.DRUG/TOX,2.63,ACTIVE,1,Order,,,"Mycophenolate and mycophenolate glucuronide panel - Serum or Plasma",,2.63,true,"Mycophenolate & mycophenolate glucuronide panel:-:Pt:Ser/Plas:Qn:"
23906-1,"Mycophenolate glucuronide",MCnc,Pt,Ser/Plas,Qn,,DRUG/TOX,2.73,ACTIVE,1,Both,,mg/L,"Mycophenolate glucuronide [Mass/volume] in Serum or Plasma",mg/L,1.0o,false,"Mycophenolate glucuronide:MCnc:Pt:Ser/Plas:Qn:"
23905-3,Mycophenolate,MCnc,Pt,Ser/Plas,Qn,,DRUG/TOX,2.73,ACTIVE,1,Both,,mg/L;mcg/mL,"Mycophenolate [Mass/volume] in Serum or Plasma",ug/mL,1.0o,false,Mycophenolate:MCnc:Pt:Ser/Plas:Qn:
70211-8,Mycophenolate,SCnc,Pt,Ser/Plas,Qn,,DRUG/TOX,2.73,ACTIVE,1,Both,,umol/L,"Mycophenolate [Moles/volume] in Serum or Plasma",umol/L,2.40,false,Mycophenolate:SCnc:Pt:Ser/Plas:Qn:
55807-2,"Mycophenolate glucuronide",MCnc,Pt,Ser/Plas,Qn,LC/MS/MS,DRUG/TOX,2.73,ACTIVE,1,Both,,mg/L,"Mycophenolate glucuronide [Mass/volume] in Serum or Plasma by LC/MS/MS",mg/L,2.29,false,"Mycophenolate glucuronide:MCnc:Pt:Ser/Plas:Qn:LC/MS/MS"
72667-9,Mycophenolate^trough,MCnc,Pt,Ser/Plas,Qn,,DRUG/TOX,2.42,ACTIVE,1,Both,,mg/L,"Mycophenolate [Mass/volume] in Serum or Plasma --trough",mg/L,2.42,false,Mycophenolate^trough:MCnc:Pt:Ser/Plas:Qn:
73680-1,Mycophenolate^peak,MCnc,Pt,Ser/Plas,Qn,,DRUG/TOX,2.44,ACTIVE,1,Both,,ug/mL,"Mycophenolate [Mass/volume] in Serum or Plasma --peak",ug/mL,2.44,false,Mycophenolate^peak:MCnc:Pt:Ser/Plas:Qn:
55806-4,Mycophenolate,MCnc,Pt,Ser/Plas,Qn,LC/MS/MS,DRUG/TOX,2.73,ACTIVE,1,Both,,mg/L,"Mycophenolate [Mass/volume] in Serum or Plasma by LC/MS/MS",mg/L,2.29,false,Mycophenolate:MCnc:Pt:Ser/Plas:Qn:LC/MS/MS
80697-6,"Mycophenolate acyl-glucuronide",MCnc,Pt,Ser/Plas,Qn,,DRUG/TOX,2.73,ACTIVE,1,Both,,ug/mL,"Mycophenolate acyl-glucuronide [Mass/volume] in Serum or Plasma",ug/mL,2.56,false,"Mycophenolate acyl-glucuronide:MCnc:Pt:Ser/Plas:Qn:"
72986-3,"Mycophenolate induced neutrophil Ab.IgG",PrThr,Pt,Ser/Plas,Ord,"Flow cytometry",SERO,2.56,ACTIVE,1,Both,,,"Mycophenolate induced neutrophil IgG Ab [Presence] in Serum or Plasma by Flow cytometry (FC)",,2.44,false,"Mycophenolate induced neutrophil Ab.IgG:PrThr:Pt:Ser/Plas:Ord:Flow cytometry"
72985-5,"Mycophenolate induced neutrophil Ab.IgM",PrThr,Pt,Ser/Plas,Ord,"Flow cytometry",SERO,2.56,ACTIVE,1,Both,,,"Mycophenolate induced neutrophil IgM Ab [Presence] in Serum or Plasma by Flow cytometry (FC)",,2.44,false,"Mycophenolate induced neutrophil Ab.IgM:PrThr:Pt:Ser/Plas:Ord:Flow cytometry"
73252-9,"Mycophenolate induced platelet Ab.IgM",PrThr,Pt,Ser/Plas,Ord,"Flow cytometry",SERO,2.66,ACTIVE,1,Both,,,"Mycophenolate induced platelet IgM Ab [Presence] in Serum or Plasma by Flow cytometry (FC)",,2.44,false,"Mycophenolate induced platelet Ab.IgM:PrThr:Pt:Ser/Plas:Ord:Flow cytometry"
73253-7,"Mycophenolate induced platelet Ab.IgG",PrThr,Pt,Ser/Plas,Ord,"Flow cytometry",SERO,2.66,ACTIVE,1,Both,,,"Mycophenolate induced platelet IgG Ab [Presence] in Serum or Plasma by Flow cytometry (FC)",,2.44,false,"Mycophenolate induced platelet Ab.IgG:PrThr:Pt:Ser/Plas:Ord:Flow cytometry"
