code	display
105611	IMURAN 50 MG Oral Tablet
105611	Imuran 50 MG Oral Tablet
105611	azaTHIOprine 50 MG Oral Tablet [Imuran]
105611	azathioprine 50 MG Oral Tablet [Imuran]
1155000	azaTHIOprine Injectable Product
1155000	azathioprine Injectable Product
1155001	azaTHIOprine Oral Product
1155001	azathioprine Oral Product
1155002	azaTHIOprine Pill
1155002	azathioprine Pill
1172006	Imuran Oral Product
1172007	Imuran Pill
1176318	Azasan Oral Product
1176319	Azasan Pill
1256	azaTHIOprine
1256	azathioprine
153129	azaTHIOprine 10 MG Oral Tablet
153129	azathioprine 10 MG Oral Tablet
1789839	azaTHIOprine Injection
1789839	azathioprine Injection
197388	azaTHIOprine 50 MG Oral Tablet
197388	azathioprine 50 MG Oral Tablet
199310	azaTHIOprine 25 MG Oral Tablet
199310	azathioprine 25 MG Oral Tablet
202559	Imuran
239983	azaTHIOprine (as azaTHIOprine sodium) 100 MG Injection
239983	azaTHIOprine 100 MG Injection
239983	azathioprine (as azathioprine sodium) 100 MG Injection
239983	azathioprine 100 MG Injection
267476	azaTHIOprine sodium
267476	azathioprine sodium
315447	azaTHIOprine 50 MG
315447	azathioprine 50 MG
329313	azaTHIOprine 25 MG
329313	azathioprine 25 MG
359228	azaTHIOprine 100 MG Oral Tablet
359228	azathioprine 100 MG Oral Tablet
359229	azaTHIOprine 75 MG Oral Tablet
359229	azathioprine 75 MG Oral Tablet
360265	azaTHIOprine 75 MG
360265	azathioprine 75 MG
360266	azaTHIOprine 100 MG
360266	azathioprine 100 MG
368214	azaTHIOprine Oral Tablet [Imuran]
368214	azathioprine Oral Tablet [Imuran]
370973	azaTHIOprine Oral Tablet
370973	azathioprine Oral Tablet
385562	azaTHIOprine 10 MG
385562	azathioprine 10 MG
404475	AZASAN 75 MG Oral Tablet
404475	Azasan 75 MG Oral Tablet
404475	azaTHIOprine 75 MG Oral Tablet [Azasan]
404475	azathioprine 75 MG Oral Tablet [Azasan]
404476	AZASAN 100 MG Oral Tablet
404476	Azasan 100 MG Oral Tablet
404476	azaTHIOprine 100 MG Oral Tablet [Azasan]
404476	azathioprine 100 MG Oral Tablet [Azasan]
404872	Azasan
405819	azaTHIOprine Oral Tablet [Azasan]
405819	azathioprine Oral Tablet [Azasan]
564120	azaTHIOprine 50 MG [Imuran]
564120	azathioprine 50 MG [Imuran]
576426	azaTHIOprine 75 MG [Azasan]
576426	azathioprine 75 MG [Azasan]
576427	azaTHIOprine 100 MG [Azasan]
576427	azathioprine 100 MG [Azasan]
