"system","code","display","likely","preop","transplant","rejection","failure","outcome","lab","imaging","count_sum"
"http://www.ama-assn.org/go/cpt","0018M","Measurement of kidney donor and third-party-induced CD154+T-cytotoxic memory cells in whole peripheral blood specimen, algorithm reported as kidney transplant rejection risk score",,"true",,,,,,,"1"
"http://www.ama-assn.org/go/cpt","00862","Anesthesia for procedure on upper urinary tubes or removal of kidney for transplant",,"true",,,,,,,"1"
"http://www.ama-assn.org/go/cpt","00868","Anesthesia for kidney transplant",,"true",,,,,,,"1"
"http://www.ama-assn.org/go/cpt","0088U","Microarray gene expression profiling of 1494 genes in allograft kidney transplant biopsy tissue, algorithm reported as a probability score for rejection",,,,,,,"true",,"1"
"http://www.ama-assn.org/go/cpt","0319U","RNA expression by select transcriptome sequencing in pre-kidney transplant peripheral blood specimen, algorithm reported as risk score for early acute rejection","true",,,,,,,,"1"
"http://www.ama-assn.org/go/cpt","0320U","RNA expression by select transcriptome sequencing in post-kidney transplant peripheral blood specimen, algorithm reported as risk score for acute cellular rejection of transplanted kidney",,,,,,,"true",,"1"
"http://www.ama-assn.org/go/cpt","1008104","Backbench reconstruction of cadaver or living donor renal allograft prior to transplantation",,"true",,,,,,,"1"
"http://www.ama-assn.org/go/cpt","50323","BKBENCH PREPJ CADAVER DONOR RENAL ALLOGRAFT",,"true",,,,,,,"1"
"http://www.ama-assn.org/go/cpt","50323","Backbench standard preparation of cadaver donor renal allograft prior to transplantation, including dissection and removal of perinephric fat, diaphragmatic and retroperitoneal attachments, excision of adrenal gland, and preparation of ureter(s), renal vein(s), and renal artery(s), ligating branches, as necessary","true",,,,,,,,"1"
"http://www.ama-assn.org/go/cpt","50323","Preparation of donor kidney for transplantation",,"true",,,,,,,"1"
"http://www.ama-assn.org/go/cpt","50325","PREP DONOR RENAL GRAFT",,"true",,,,,,,"1"
"http://www.ama-assn.org/go/cpt","50325","Preparation of living donor kidney for transplantation",,"true",,,,,,,"1"
"http://www.ama-assn.org/go/cpt","50327","PREP RENAL GRAFT/VENOUS",,"true",,,,,,,"1"
"http://www.ama-assn.org/go/cpt","50328","PREP RENAL GRAFT/ARTERIAL",,"true",,,,,,,"1"
"http://www.ama-assn.org/go/cpt","50329","PREP RENAL GRAFT/URETERAL",,"true",,,,,,,"1"
"http://www.ama-assn.org/go/cpt","50360","Implantation of renal allograft",,,"true",,,,,,"1"
"http://www.ama-assn.org/go/cpt","50365","Implantation of renal allograft with recipient nephrectomy",,,"true",,,,,,"1"
"http://www.ama-assn.org/go/cpt","50370","Removal of previously transplanted donor kidney",,,,,"true",,,,"1"
"http://www.ama-assn.org/go/cpt","76776","Ultrasound scan of transplanted kidney",,,,,,,,"true","1"
"http://www.ama-assn.org/go/cpt","81558","Test for detecting 139 genes associated with kidney transplant rejection",,,,,,,"true",,"1"
"http://hl7.org/fhir/sid/icd-10-cm","T86.1","Complications of kidney transplant",,,,,,"true",,,"1"
"http://hl7.org/fhir/sid/icd-10-cm","T86.10","Unspecified complication of kidney transplant",,,,,,"true",,,"1"
"http://hl7.org/fhir/sid/icd-10-cm","T86.11","Kidney transplant rejection",,,,"true",,,,,"1"
"http://hl7.org/fhir/sid/icd-10-cm","T86.12","Kidney transplant failure",,,,,"true",,,,"1"
"http://hl7.org/fhir/sid/icd-10-cm","T86.13","Kidney transplant infection",,,,,,"true",,,"1"
"http://hl7.org/fhir/sid/icd-10-cm","T86.19","Other complication of kidney transplant",,,,,,"true",,,"1"
"http://hl7.org/fhir/sid/icd-10-cm","Z48.22","Encounter for aftercare following kidney transplant",,,"true",,,,,,"1"
"http://hl7.org/fhir/sid/icd-10-cm","Z94.0","Kidney transplant status",,,"true",,,,,,"1"
"http://www.cms.gov/Medicare/Coding/ICD10","0TY0","Medical and Surgical @ Urinary System @ Transplantation @ Kidney, Right",,,"true",,,,,,"1"
"http://www.cms.gov/Medicare/Coding/ICD10","0TY00","Medical and Surgical @ Urinary System @ Transplantation @ Kidney, Right @ Open",,,"true",,,,,,"1"
"http://www.cms.gov/Medicare/Coding/ICD10","0TY00Z","Medical and Surgical @ Urinary System @ Transplantation @ Kidney, Right @ Open @ No Device",,,"true",,,,,,"1"
"http://www.cms.gov/Medicare/Coding/ICD10","0TY00Z0","Transplantation of Right Kidney, Allogeneic, Open Approach",,,"true",,,,,,"1"
"http://www.cms.gov/Medicare/Coding/ICD10","0TY00Z1","Transplantation of Right Kidney, Syngeneic, Open Approach",,,"true",,,,,,"1"
