system,code,display
http://loinc.org,101410-9,"C peptide post XXX challenge panel, Blood"
http://loinc.org,13032-8,"C peptide 2nd specimen after challenge, Blood"
http://loinc.org,13033-6,"C peptide 3rd specimen after challenge, Blood"
http://loinc.org,13034-4,"C peptide 4th specimen after challenge, Blood"
http://loinc.org,13035-1,"C peptide 5th specimen after challenge, Blood"
http://loinc.org,13036-9,"C peptide 6th specimen after challenge, Blood"
http://loinc.org,13037-7,"C peptide after Fast, Blood"
http://loinc.org,13038-5,"C peptide 30 min after challenge, Blood"
http://loinc.org,13039-3,"C peptide 1 hr after challenge, Blood"
http://loinc.org,13040-1,"C peptide 1.5 hr after challenge, Blood"
http://loinc.org,13041-9,"C peptide 2 hr after challenge, Blood"
http://loinc.org,13042-7,"C peptide 2.5 hr after challenge, Blood"
http://loinc.org,13043-5,"C peptide 3 hr after challenge, Blood"
http://loinc.org,13044-3,"C peptide 5 hr after challenge, Blood"
http://loinc.org,13045-0,"C peptide 6 hr after challenge, Blood"
http://loinc.org,13715-8,"C peptide/Creatinine, Urine"
http://loinc.org,13716-6,"C peptide/Creatinine, Urine"
http://loinc.org,13859-4,"C peptide 10 min after 1 mg Glucagon intravenous, Blood"
http://loinc.org,13860-2,"C peptide 15 min after 1 mg Glucagon intravenous, Blood"
http://loinc.org,13861-0,"C peptide 5 min after 1 mg Glucagon intravenous, Blood"
http://loinc.org,14633-2,"C peptide, Blood"
http://loinc.org,16501-9,"C peptide 7th specimen after challenge, Blood"
http://loinc.org,16502-7,"C peptide 8th specimen after challenge, Blood"
http://loinc.org,1986-9,"C peptide, Blood"
http://loinc.org,1987-7,"C peptide, Urine"
http://loinc.org,25091-0,"C peptide/Creatinine, Urine"
http://loinc.org,25358-3,"C peptide, Urine"
http://loinc.org,25568-7,"C peptide 10th specimen after challenge, Blood"
http://loinc.org,25569-5,"C peptide 11th specimen after challenge, Blood"
http://loinc.org,25570-3,"C peptide 12th specimen after challenge, Blood"
http://loinc.org,25571-1,"C peptide 13th specimen after challenge, Blood"
http://loinc.org,25572-9,"C peptide 14th specimen after challenge, Blood"
http://loinc.org,25573-7,"C peptide 15th specimen after challenge, Blood"
http://loinc.org,25574-5,"C peptide 1st specimen after challenge, Blood"
http://loinc.org,25575-2,"C peptide 2nd specimen after challenge, Blood"
http://loinc.org,25576-0,"C peptide 3rd specimen after challenge, Blood"
http://loinc.org,25577-8,"C peptide 4th specimen after challenge, Blood"
http://loinc.org,25578-6,"C peptide 5th specimen after challenge, Blood"
http://loinc.org,25579-4,"C peptide 6th specimen after challenge, Blood"
http://loinc.org,25580-2,"C peptide 7th specimen after challenge, Blood"
http://loinc.org,25581-0,"C peptide 8th specimen after challenge, Blood"
http://loinc.org,25582-8,"C peptide 9th specimen after challenge, Blood"
http://loinc.org,25872-3,"C peptide, Urine"
http://loinc.org,27376-3,"C peptide, Blood"
http://loinc.org,27408-4,"C peptide 20 min after challenge, Blood"
http://loinc.org,27421-7,"C peptide 40 min after challenge, Blood"
http://loinc.org,27839-0,"C peptide 4 hr after challenge, Blood"
http://loinc.org,27944-8,"C peptide, Urine"
http://loinc.org,34253-5,"C peptide, Urine"
http://loinc.org,35195-7,"C peptide, Blood"
http://loinc.org,38249-9,"C peptide 15 min after challenge, Blood"
http://loinc.org,38421-4,"C peptide 30 min after challenge, Blood"
http://loinc.org,38422-2,"C peptide 1 hr after challenge, Blood"
http://loinc.org,38423-0,"C peptide 1.5 hr after challenge, Blood"
http://loinc.org,38424-8,"C peptide 2 hr after challenge, Blood"
http://loinc.org,38425-5,"C peptide 2.5 hr after challenge, Blood"
http://loinc.org,38426-3,"C peptide 3 hr after challenge, Blood"
http://loinc.org,42180-0,"C peptide after Fast, Blood"
http://loinc.org,44459-6,"C peptide/Creatinine - 2nd specimen after challenge, Urine"
http://loinc.org,47583-0,"C peptide 1.5 hr after glucose, Blood"
http://loinc.org,47584-8,"C peptide 10 min after glucose, Blood"
http://loinc.org,47585-5,"C peptide 15 min after glucose, Blood"
http://loinc.org,47586-3,"C peptide 1 hr after glucose, Blood"
http://loinc.org,47587-1,"C peptide 1 min after glucose, Blood"
http://loinc.org,47588-9,"C peptide 2 hr after glucose, Blood"
http://loinc.org,47589-7,"C peptide 30 min after glucose, Blood"
http://loinc.org,47590-5,"C peptide 3 hr after glucose, Blood"
http://loinc.org,47591-3,"C peptide 3 min after glucose, Blood"
http://loinc.org,47592-1,"C peptide 5 min after glucose, Blood"
http://loinc.org,47593-9,"C peptide 5 min before dose glucose, Blood"
http://loinc.org,47594-7,"C peptide before dose Glucagon, Blood"
http://loinc.org,47595-4,"C peptide before dose glucose, Blood"
http://loinc.org,47832-1,"C peptide 4 min after 1 mg Glucagon, Blood"
http://loinc.org,47833-9,"C peptide 6 min after Glucagon, Blood"
http://loinc.org,47834-7,"C peptide 8 min after Glucagon, Blood"
http://loinc.org,50461-3,"C peptide specimen 1, Blood"
http://loinc.org,50462-1,"C peptide specimen 2, Blood"
http://loinc.org,50463-9,"C peptide specimen 3, Blood"
http://loinc.org,50464-7,"C peptide specimen 4, Blood"
http://loinc.org,50465-4,"C peptide specimen 5, Blood"
http://loinc.org,50466-2,"C peptide specimen 6, Blood"
http://loinc.org,50467-0,"C peptide specimen 7, Blood"
http://loinc.org,50468-8,"C peptide specimen 8, Blood"
http://loinc.org,55918-7,"C peptide after Meal, Blood"
http://loinc.org,55919-5,"C peptide after Meal, Blood"
http://loinc.org,55920-3,"C peptide, Urine"
http://loinc.org,56516-8,"C peptide 6 min after challenge, Blood"
http://loinc.org,56582-0,"C peptide 10 min after challenge, Blood"
http://loinc.org,56583-8,"C peptide 45 min after challenge, Blood"
http://loinc.org,56584-6,"C peptide 12 min after challenge, Blood"
http://loinc.org,57376-6,"C peptide baseline, Blood"
http://loinc.org,57645-4,"C peptide 10 min before challenge, Blood"
http://loinc.org,57646-2,"C peptide 190 min after challenge, Blood"
http://loinc.org,57647-0,"C peptide 3.3 hr after challenge, Blood"
http://loinc.org,57648-8,"C peptide 5 min before challenge, Blood"
http://loinc.org,57649-6,"C peptide 1 hr before challenge, Blood"
http://loinc.org,57650-4,"C peptide 70 min before challenge, Blood"
http://loinc.org,57651-2,"C peptide 1.3 hr after challenge, Blood"
http://loinc.org,57894-8,"C peptide 100 min after challenge, Blood"
http://loinc.org,58494-6,"C peptide 1.5 hr after glucose, Blood"
http://loinc.org,58495-3,"C peptide 10 min after 1 mg Glucagon intravenous, Blood"
http://loinc.org,58496-1,"C peptide 10th specimen after challenge, Blood"
http://loinc.org,58497-9,"C peptide 11th specimen after challenge, Blood"
http://loinc.org,58498-7,"C peptide 12th specimen after challenge, Blood"
http://loinc.org,58499-5,"C peptide 15 min after 1 mg Glucagon intravenous, Blood"
http://loinc.org,58500-0,"C peptide 15 min after glucose, Blood"
http://loinc.org,58501-8,"C peptide 15 min before challenge, Blood"
http://loinc.org,58502-6,"C peptide 15 min before challenge, Blood"
http://loinc.org,58503-4,"C peptide 1 hr after glucose, Blood"
http://loinc.org,58504-2,"C peptide 1st specimen after challenge, Blood"
http://loinc.org,58505-9,"C peptide 2.5 hr after glucose, Blood"
http://loinc.org,58506-7,"C peptide 2.5 hr after glucose, Blood"
http://loinc.org,58507-5,"C peptide 2 min after 1 mg Glucagon intravenous, Blood"
http://loinc.org,58508-3,"C peptide 3.5 hr after glucose, Blood"
http://loinc.org,58509-1,"C peptide 3.5 hr after glucose, Blood"
http://loinc.org,58510-9,"C peptide 30 min after glucose, Blood"
http://loinc.org,58511-7,"C peptide 3 hr after glucose, Blood"
http://loinc.org,58512-5,"C peptide 4.5 hr after glucose, Blood"
http://loinc.org,58513-3,"C peptide 4.5 hr after glucose, Blood"
http://loinc.org,58514-1,"C peptide 45 min after glucose, Blood"
http://loinc.org,58515-8,"C peptide 45 min after glucose, Blood"
http://loinc.org,58516-6,"C peptide 4 hr after glucose, Blood"
http://loinc.org,58517-4,"C peptide 4 hr after glucose, Blood"
http://loinc.org,58518-2,"C peptide 5 hr after glucose, Blood"
http://loinc.org,58519-0,"C peptide 5 hr after glucose, Blood"
