LOINC_NUM,COMPONENT,PROPERTY,TIME_ASPCT,SYSTEM,SCALE_TYP,METHOD_TYP,CLASS,VersionLastChanged,STATUS,CLASSTYPE,ORDER_OBS,EXTERNAL_COPYRIGHT_NOTICE,EXAMPLE_UNITS,LONG_COMMON_NAME,EXAMPLE_UCUM_UNITS,VersionFirstReleased,LHCForms,FormalName
74242-9,"HEDIS 2014-2016 Value Set - Cytomegalovirus Antibody",-,Pt,^Patient,-,,PANEL.HEDIS,2.67,DISCOURAGED,1,,,,"HEDIS 2014-2016 Value Set - Cytomegalovirus Antibody",,2.46,false,"HEDIS 2014-2016 Value Set - Cytomegalovirus Antibody:-:Pt:^Patient:-:"
90777-4,"HEDIS 2019 Value Set - Cytomegalovirus Antibody",-,Pt,^Patient,-,,PANEL.HEDIS,2.67,DISCOURAGED,1,Both,,,"HEDIS 2019 Value Set - Cytomegalovirus Antibody",,2.65,false,"HEDIS 2019 Value Set - Cytomegalovirus Antibody:-:Pt:^Patient:-:"
82958-0,"HEDIS 2017, 2018 Value Set - Cytomegalovirus Antibody",-,Pt,^Patient,-,,PANEL.HEDIS,2.67,DISCOURAGED,1,Both,,,"HEDIS 2017, 2018 Value Set - Cytomegalovirus Antibody",,2.58,false,"HEDIS 2017, 2018 Value Set - Cytomegalovirus Antibody:-:Pt:^Patient:-:"
54061-7,"HEDIS 2009-2011 Tests used in early prenatal care - Cytomegalovirus (PPC-C)",-,Pt,^Patient,-,,PANEL.HEDIS,2.67,DISCOURAGED,1,,,,"HEDIS 2009-2011 Tests used in early prenatal care - Cytomegalovirus (PPC-C)",,2.26,false,"HEDIS 2009-2011 Tests used in early prenatal care - Cytomegalovirus (PPC-C):-:Pt:^Patient:-:"
67769-0,"HEDIS 2012, 2013 Tests used in early prenatal care - Cytomegalovirus (PPC-C)",-,Pt,^Patient,-,,PANEL.HEDIS,2.67,DISCOURAGED,1,,,,"HEDIS 2012, 2013 Tests used in early prenatal care - Cytomegalovirus (PPC-C)",,2.38,false,"HEDIS 2012, 2013 Tests used in early prenatal care - Cytomegalovirus (PPC-C):-:Pt:^Patient:-:"
95184-8,"Cytomegalovirus T-cell immunodeficiency panel",-,Pt,Bld,Qn,"Flow cytometry",PANEL.CELLMARK,2.68,ACTIVE,1,Order,,,"Cytomegalovirus T-cell immunodeficiency panel - Blood by Flow cytometry (FC)",,2.68,true,"Cytomegalovirus T-cell immunodeficiency panel:-:Pt:Bld:Qn:Flow cytometry"
31796-6,"Cytomegalovirus Ag",PrThr,Pt,Urine,Ord,,MICRO,2.56,ACTIVE,1,Both,,,"Cytomegalovirus Ag [Presence] in Urine",,2.07,false,"Cytomegalovirus Ag:PrThr:Pt:Urine:Ord:"
6375-0,"Cytomegalovirus Ag",ACnc,Pt,Bld,OrdQn,EMIA,MICRO,2.40,DEPRECATED,1,Both,,,"Deprecated Cytomegalovirus Ag in blood",,1.0f,false,"Cytomegalovirus Ag:ACnc:Pt:Bld:OrdQn:EMIA"
6378-4,"Cytomegalovirus Ag",ACnc,Pt,Urine,OrdQn,EMIA,MICRO,2.40,DEPRECATED,1,Both,,,"Deprecated Cytomegalovirus Ag in urine",,1.0f,false,"Cytomegalovirus Ag:ACnc:Pt:Urine:OrdQn:EMIA"
16718-9,"Cytomegalovirus Ag",PrThr,Pt,Bld,Ord,,MICRO,2.73,ACTIVE,1,Both,,,"Cytomegalovirus Ag [Presence] in Blood",,1.0l,false,"Cytomegalovirus Ag:PrThr:Pt:Bld:Ord:"
