LOINC_NUM,COMPONENT,PROPERTY,TIME_ASPCT,SYSTEM,SCALE_TYP,METHOD_TYP,CLASS,VersionLastChanged,STATUS,CLASSTYPE,ORDER_OBS,EXTERNAL_COPYRIGHT_NOTICE,EXAMPLE_UNITS,LONG_COMMON_NAME,EXAMPLE_UCUM_UNITS,VersionFirstReleased,LHCForms,FormalName
97510-2,"Glucose measurements in range/Total glucose measurements",NFr,RptPeriod,"Interstitial fluid",Qn,Calculated,CHEM,2.72,ACTIVE,1,Observation,,%,"Glucose measurements in range out of Total glucose measurements during reporting period",%,2.70,false,"Glucose measurements in range/Total glucose measurements:NFr:RptPeriod:Interstitial fluid:Qn:Calculated"
2352-3,"Glucose CSF/Glucose plas",RelMCnc,Pt,Plas+CSF,Qn,,CHEM,2.42,ACTIVE,1,Observation,,,"Glucose in CSF/Glucose plas",,1.0,false,"Glucose CSF/Glucose plas:RelMCnc:Pt:Plas+CSF:Qn:"
25670-1,"Glucose^30M post dose glucose",MCnc,Pt,Urine,Qn,,CHAL,2.73,ACTIVE,1,Observation,,mg/dL,"Glucose [Mass/volume] in Urine --30 minutes post dose glucose",mg/dL,2.00,false,"Glucose^30M post dose glucose:MCnc:Pt:Urine:Qn:"
26540-5,"Glucose^3H post dose glucose",MCnc,Pt,Urine,Qn,,CHAL,2.73,ACTIVE,1,Observation,,mg/dL,"Glucose [Mass/volume] in Urine --3 hours post dose glucose",mg/dL,2.00,false,"Glucose^3H post dose glucose:MCnc:Pt:Urine:Qn:"
25675-0,"Glucose^4H post dose glucose",MCnc,Pt,Urine,Qn,,CHAL,2.73,ACTIVE,1,Observation,,mg/dL,"Glucose [Mass/volume] in Urine --4 hours post dose glucose",mg/dL,2.00,false,"Glucose^4H post dose glucose:MCnc:Pt:Urine:Qn:"
26542-1,"Glucose^5H post dose glucose",MCnc,Pt,Urine,Qn,,CHAL,2.34,ACTIVE,1,Observation,,mg/dL,"Glucose [Mass/volume] in Urine --5 hours post dose glucose",mg/dL,2.00,false,"Glucose^5H post dose glucose:MCnc:Pt:Urine:Qn:"
26545-4,"Glucose^6H post dose glucose",MCnc,Pt,Urine,Qn,,CHAL,2.34,ACTIVE,1,Observation,,mg/dL,"Glucose [Mass/volume] in Urine --6 hours post dose glucose",mg/dL,2.00,false,"Glucose^6H post dose glucose:MCnc:Pt:Urine:Qn:"
18296-4,"Glucose^post dose glucose",Imp,Pt,Ser/Plas,Nom,,CHAL,2.26,ACTIVE,1,Observation,,,"Glucose [Interpretation] in Serum or Plasma--post dose glucose",,1.0l,false,"Glucose^post dose glucose:Imp:Pt:Ser/Plas:Nom:"
47622-6,"Glucose^pre dose glucose",SCnc,Pt,Ser/Plas,Qn,,CHAL,2.73,ACTIVE,1,Observation,,mmol/L,"Glucose [Moles/volume] in Serum or Plasma --pre dose glucose",mmol/L,2.21,false,"Glucose^pre dose glucose:SCnc:Pt:Ser/Plas:Qn:"
104708-3,"Estimated average glucose",SCnc,Pt,Bld,Qn,,CHEM,2.78,ACTIVE,1,Observation,,mg/dL,"Estimated average glucose [Moles/volume] in Blood",mg/dL,2.78,false,"Estimated average glucose:SCnc:Pt:Bld:Qn:"
72650-5,"Glucose.serum-glucose.pericard fld",SCncDiff,Pt,"Pericard fld+Ser/Plas",Qn,,CHEM,2.50,ACTIVE,1,Both,,mmol/L,"Glucose in serum - glucose in pericard fld [Molar concentration difference]",mmol/L,2.42,false,"Glucose.serum-glucose.pericard fld:SCncDiff:Pt:Pericard fld+Ser/Plas:Qn:"
72649-7,"Glucose.serum-glucose.perition fld",SCncDiff,Pt,"Periton fld+Ser/Plas",Qn,,CHEM,2.50,ACTIVE,1,Both,,mmol/L,"Glucose in serum - glucose in peritoneal fluid [Molar concentration difference]",mmol/L,2.42,false,"Glucose.serum-glucose.perition fld:SCncDiff:Pt:Periton fld+Ser/Plas:Qn:"
72651-3,"Glucose.serum-glucose.plr fld",SCncDiff,Pt,"Ser/Plas+Plr fld",Qn,,CHEM,2.50,ACTIVE,1,Both,,mmol/L,"Glucose in serum - glucose in pleural fluid [Molar concentration difference]",mmol/L,2.42,false,"Glucose.serum-glucose.plr fld:SCncDiff:Pt:Ser/Plas+Plr fld:Qn:"
30265-3,"Glucose^1.3H post dose glucose",SCnc,Pt,Ser/Plas,Qn,,CHAL,2.34,ACTIVE,1,Observation,,mmol/L,"Glucose [Moles/volume] in Serum or Plasma --1.3 hours post dose glucose",mmol/L,2.04,false,"Glucose^1.3H post dose glucose:SCnc:Pt:Ser/Plas:Qn:"
30266-1,"Glucose^1.6H post dose glucose",SCnc,Pt,Ser/Plas,Qn,,CHAL,2.34,ACTIVE,1,Observation,,mmol/L,"Glucose [Moles/volume] in Serum or Plasma --1.6 hours post dose glucose",mmol/L,2.04,false,"Glucose^1.6H post dose glucose:SCnc:Pt:Ser/Plas:Qn:"
40286-7,"Glucose^105M post dose glucose",SCnc,Pt,Ser/Plas,Qn,,CHAL,2.70,ACTIVE,1,Observation,,mmol/L,"Glucose [Moles/volume] in Serum or Plasma --105 minutes post dose glucose",mmol/L,2.15,false,"Glucose^105M post dose glucose:SCnc:Pt:Ser/Plas:Qn:"
48984-9,"Glucose^10M post dose glucose",MCnc,Pt,Ser/Plas,Qn,,CHAL,2.70,ACTIVE,1,Observation,,mg/dL,"Glucose [Mass/volume] in Serum or Plasma --10 minutes post dose glucose",mg/dL,2.21,false,"Glucose^10M post dose glucose:MCnc:Pt:Ser/Plas:Qn:"
32359-2,"Glucose^10M post dose glucose",SCnc,Pt,Ser/Plas,Qn,,CHAL,2.70,ACTIVE,1,Observation,,mmol/L,"Glucose [Moles/volume] in Serum or Plasma --10 minutes post dose glucose",mmol/L,2.07,false,"Glucose^10M post dose glucose:SCnc:Pt:Ser/Plas:Qn:"
25663-6,"Glucose^15M post dose glucose",SCnc,Pt,Ser/Plas,Qn,,CHAL,2.34,ACTIVE,1,Observation,,mmol/L,"Glucose [Moles/volume] in Serum or Plasma --15 minutes post dose glucose",mmol/L,2.00,false,"Glucose^15M post dose glucose:SCnc:Pt:Ser/Plas:Qn:"
48109-3,"Glucose^15M pre dose glucose",SCnc,Pt,Ser/Plas,Qn,,CHAL,2.70,ACTIVE,1,Observation,,mmol/L,"Glucose [Moles/volume] in Serum or Plasma --15 minutes pre dose glucose",mmol/L,2.21,false,"Glucose^15M pre dose glucose:SCnc:Pt:Ser/Plas:Qn:"
25664-4,"Glucose^1H post dose glucose",MCnc,Pt,Urine,Qn,,CHAL,2.73,ACTIVE,1,Both,,mg/dL,"Glucose [Mass/volume] in Urine --1 hour post dose glucose",mg/dL,2.00,false,"Glucose^1H post dose glucose:MCnc:Pt:Urine:Qn:"
30267-9,"Glucose^2.3H post dose glucose",SCnc,Pt,Ser/Plas,Qn,,CHAL,2.34,ACTIVE,1,Observation,,mmol/L,"Glucose [Moles/volume] in Serum or Plasma --2.3 hours post dose glucose",mmol/L,2.04,false,"Glucose^2.3H post dose glucose:SCnc:Pt:Ser/Plas:Qn:"
26554-6,"Glucose^2.5H post dose glucose",MCnc,Pt,Ser/Plas,Qn,,CHAL,2.73,ACTIVE,1,Observation,,mg/dL,"Glucose [Mass/volume] in Serum or Plasma --2.5 hours post dose glucose",mg/dL,2.00,false,"Glucose^2.5H post dose glucose:MCnc:Pt:Ser/Plas:Qn:"
26537-1,"Glucose^2.5H post dose glucose",PrThr,Pt,Urine,Ord,"Test strip",CHAL,2.77,ACTIVE,1,Observation,,,"Glucose [Presence] in Urine by Test strip --2.5 hours post dose glucose",,2.00,false,"Glucose^2.5H post dose glucose:PrThr:Pt:Urine:Ord:Test strip"
25666-9,"Glucose^2.5H post dose glucose",SCnc,Pt,Ser/Plas,Qn,,CHAL,2.34,ACTIVE,1,Observation,,mmol/L,"Glucose [Moles/volume] in Serum or Plasma --2.5 hours post dose glucose",mmol/L,2.00,false,"Glucose^2.5H post dose glucose:SCnc:Pt:Ser/Plas:Qn:"
30251-3,"Glucose^2.6H post dose glucose",SCnc,Pt,Ser/Plas,Qn,,CHAL,2.34,ACTIVE,1,Observation,,mmol/L,"Glucose [Moles/volume] in Serum or Plasma --2.6 hours post dose glucose",mmol/L,2.04,false,"Glucose^2.6H post dose glucose:SCnc:Pt:Ser/Plas:Qn:"
48985-6,"Glucose^20M post dose glucose",MCnc,Pt,Ser/Plas,Qn,,CHAL,2.70,ACTIVE,1,Observation,,mg/dL,"Glucose [Mass/volume] in Serum or Plasma --20 minutes post dose glucose",mg/dL,2.21,false,"Glucose^20M post dose glucose:MCnc:Pt:Ser/Plas:Qn:"
30263-8,"Glucose^20M post dose glucose",SCnc,Pt,Ser/Plas,Qn,,CHAL,2.34,ACTIVE,1,Observation,,mmol/L,"Glucose [Moles/volume] in Serum or Plasma --20 minutes post dose glucose",mmol/L,2.04,false,"Glucose^20M post dose glucose:SCnc:Pt:Ser/Plas:Qn:"
49134-0,"Glucose^2H post dose glucose",MCnc,Pt,Bld,Qn,,CHAL,2.73,ACTIVE,1,Both,,mg/dL,"Glucose [Mass/volume] in Blood --2 hours post dose glucose",mg/dL,2.21,false,"Glucose^2H post dose glucose:MCnc:Pt:Bld:Qn:"
25667-7,"Glucose^2H post dose glucose",MCnc,Pt,Urine,Qn,,CHAL,2.73,ACTIVE,1,Both,,mg/dL,"Glucose [Mass/volume] in Urine --2 hours post dose glucose",mg/dL,2.00,false,"Glucose^2H post dose glucose:MCnc:Pt:Urine:Qn:"
