system,code,display
http://loinc.org,100837-4,"Insulin-like growth factor-I 9th specimen after challenge, Blood"
http://loinc.org,100998-4,"Cortisol post dose insulin IV panel, Blood"
http://loinc.org,100999-2,"Somatotropin post dose insulin IV panel, Blood"
http://loinc.org,101310-1,"Somatotropin post insulin stimulation panel, Blood"
http://loinc.org,101980-1,"Glucose, somatotropin and cortisol post insulin administration, Blood"
http://loinc.org,102029-6,"Somatotropin Fasting post dose insulin IV, Blood"
http://loinc.org,102032-0,"Glucose 2 hr after Insulin intravenous, Blood"
http://loinc.org,102076-7,"Insulin 3.5 hr after 75 g glucose by mouth, Blood"
http://loinc.org,10451-3,"Proinsulin after 12 hr Fast, Blood"
http://loinc.org,106158-9,"Insulin, Dried blood spot"
http://loinc.org,10833-2,"Insulin 7 hr after 75 g glucose by mouth, Blood"
http://loinc.org,12722-5,"Insulin-like growth factor binding protein 1, Blood"
http://loinc.org,12723-3,"Insulin-like growth factor binding protein 2, Blood"
http://loinc.org,12738-1,"Insulin before challenge, Blood"
http://loinc.org,12739-9,"Insulin 2nd specimen after challenge, Blood"
http://loinc.org,12740-7,"Insulin 3rd specimen after challenge, Blood"
http://loinc.org,12741-5,"Insulin 4th specimen after challenge, Blood"
http://loinc.org,12742-3,"Insulin 5th specimen after challenge, Blood"
http://loinc.org,12743-1,"Insulin 6th specimen after challenge, Blood"
http://loinc.org,12744-9,"Insulin 7th specimen after challenge, Blood"
http://loinc.org,12745-6,"Insulin 8th specimen after challenge, Blood"
http://loinc.org,12746-4,"Insulin 9th specimen after challenge, Blood"
http://loinc.org,12747-2,"Insulin 3.5 hr after challenge, Blood"
http://loinc.org,12748-0,"Insulin 4.5 hr after challenge, Blood"
http://loinc.org,12749-8,"Insulin 5.5 hr after challenge, Blood"
http://loinc.org,12750-6,"Insulin 7 hr after challenge, Blood"
http://loinc.org,12751-4,"Insulin 7.5 hr after challenge, Blood"
http://loinc.org,12752-2,"Insulin 8 hr after challenge, Blood"
http://loinc.org,12753-0,"Insulin 9 hr after challenge, Blood"
http://loinc.org,12754-8,"Insulin 10 hr after challenge, Blood"
http://loinc.org,12755-5,"Insulin 11 hr after challenge, Blood"
http://loinc.org,12756-3,"Insulin 12 hr after challenge, Blood"
http://loinc.org,12757-1,"Insulin 30 min before challenge, Blood"
http://loinc.org,12758-9,"Insulin 15 min before challenge, Blood"
http://loinc.org,12759-7,"Insulin 2 min after challenge, Blood"
http://loinc.org,12760-5,"Insulin 4 min after challenge, Blood"
http://loinc.org,12761-3,"Insulin 8 min after challenge, Blood"
http://loinc.org,12762-1,"Insulin 15 min after challenge, Blood"
http://loinc.org,12763-9,"Insulin 19 min after challenge, Blood"
http://loinc.org,12764-7,"Insulin 22 min after challenge, Blood"
http://loinc.org,12765-4,"Insulin 40 min after challenge, Blood"
http://loinc.org,12766-2,"Insulin 45 min after challenge, Blood"
http://loinc.org,12767-0,"Insulin 50 min after challenge, Blood"
http://loinc.org,12768-8,"Insulin 70 min after challenge, Blood"
http://loinc.org,12909-8,"Insulin-like growth factor-I 30 min after challenge, Blood"
http://loinc.org,12910-6,"Insulin-like growth factor-I 1 hr after challenge, Blood"
http://loinc.org,12911-4,"Insulin-like growth factor-I 1.5 hr after challenge, Blood"
http://loinc.org,1358-1,"Corticotropin 1.5 hr after Insulin intravenous, Blood"
http://loinc.org,1360-7,"Corticotropin 1 hr after Insulin intravenous, Blood"
http://loinc.org,13608-5,"Insulin 1.5 hr after 75 g glucose by mouth, Blood"
http://loinc.org,13609-3,"Insulin 2.5 hr after 75 g glucose by mouth, Blood"
http://loinc.org,1363-1,"Corticotropin 30 min after Insulin intravenous, Blood"
http://loinc.org,1365-6,"Corticotropin 45 min after Insulin intravenous, Blood"
http://loinc.org,1368-0,"Corticotropin before dose Insulin intravenous, Blood"
http://loinc.org,13896-6,"Insulin-like growth factor-I, Blood"
http://loinc.org,1397-9,"Cortisol 1.5 hr after 0.05-0.15 U Insulin/kg Intravenous 12 hr fasting, Blood"
http://loinc.org,1398-7,"Cortisol 1.5 hr after Insulin intravenous, Blood"
http://loinc.org,1399-5,"Cortisol 1 hr after 0.05-0.15 U Insulin/kg Intravenous after 12H CFst, Blood"
http://loinc.org,1404-3,"Cortisol 1 hr after Insulin intravenous, Blood"
http://loinc.org,1414-2,"Cortisol 30 min after 0.05-0.15 U Insulin/kg Intravenous after 12H Fast, Blood"
http://loinc.org,1419-1,"Cortisol 30 min after Insulin intravenous, Blood"
http://loinc.org,1424-1,"Cortisol 45 min after Insulin intravenous, Blood"
http://loinc.org,14293-5,"Insulin baseline, Blood"
http://loinc.org,1451-4,"Cortisol before dose Insulin intravenous, Blood"
http://loinc.org,14796-7,"Insulin, Blood"
http://loinc.org,1493-6,"Glucose 1.5 hr after 0.05-0.15 U Insulin/kg Intravenous 12 hr fasting, Blood"
http://loinc.org,1497-7,"Glucose 1.5 hr after Insulin intravenous, Blood"
http://loinc.org,1500-8,"Glucose 1 hr after 0.05-0.15 U Insulin/kg Intravenous after 12H CFst, Blood"
http://loinc.org,1510-7,"Glucose 1 hr after Insulin intravenous, Blood"
http://loinc.org,1523-0,"Glucose 30 min after 0.05-0.15 U Insulin/kg Intravenous after 12H Fast, Blood"
http://loinc.org,1524-8,"Glucose 30 min after 0.1 U/kg Insulin, Blood"
http://loinc.org,1528-9,"Glucose 30 min after Insulin intravenous, Blood"
http://loinc.org,1536-2,"Glucose 45 min after Insulin intravenous, Blood"
http://loinc.org,1553-7,"Glucose before dose Insulin intravenous, Blood"
http://loinc.org,1559-4,"Insulin 1.5 hr after TOLBUTamide intravenous, Blood"
http://loinc.org,1560-2,"Insulin 1 hr after TOLBUTamide intravenous, Blood"
http://loinc.org,1561-0,"Insulin 1 hr after 75 g glucose by mouth, Blood"
http://loinc.org,1562-8,"Insulin 2.5 hr after TOLBUTamide intravenous, Blood"
http://loinc.org,1563-6,"Insulin 2 hr after TOLBUTamide intravenous, Blood"
http://loinc.org,1564-4,"Insulin 2 hr after 75 g glucose by mouth, Blood"
http://loinc.org,1565-1,"Insulin 30 min after TOLBUTamide intravenous, Blood"
