LOINC_NUM,COMPONENT,PROPERTY,TIME_ASPCT,SYSTEM,SCALE_TYP,METHOD_TYP,CLASS,VersionLastChanged,STATUS,CLASSTYPE,ORDER_OBS,EXTERNAL_COPYRIGHT_NOTICE,EXAMPLE_UNITS,LONG_COMMON_NAME,EXAMPLE_UCUM_UNITS,VersionFirstReleased,LHCForms,FormalName
53805-8,"LDL apheresis procedure",Type,Pt,^Patient,Nom,,CHEM,2.26,ACTIVE,1,Observation,,,"LDL apheresis procedure [Type]",,2.26,false,"LDL apheresis procedure:Type:Pt:^Patient:Nom:"
92717-8,Lipoprotein.beta.subparticle.large-a,SCnc,Pt,Ser,Qn,,CHEM,2.66,ACTIVE,1,Observation,,nmol/L,"Lipoprotein.beta.subparticle.large-a [Moles/volume] in Serum",nmol/L,2.66,false,Lipoprotein.beta.subparticle.large-a:SCnc:Pt:Ser:Qn:
92716-0,Lipoprotein.beta.subparticle.large-b,SCnc,Pt,Ser,Qn,,CHEM,2.66,ACTIVE,1,Observation,,nmol/L,"Lipoprotein.beta.subparticle.large-b [Moles/volume] in Serum",nmol/L,2.66,false,Lipoprotein.beta.subparticle.large-b:SCnc:Pt:Ser:Qn:
53806-6,"LDL apheresis procedure",ID,Pt,^Patient,Nom,,CHEM,2.48,ACTIVE,1,Observation,,,"LDL apheresis procedure [Identifier]",,2.26,false,"LDL apheresis procedure:ID:Pt:^Patient:Nom:"
96735-6,Lipoprotein.beta.subparticle.medium,SCnc,Pt,Ser,Qn,,CHEM,2.69,ACTIVE,1,Both,,nmol/L,"Lipoprotein.beta.subparticle.medium [Moles/volume] in Serum",nmol/L,2.69,false,Lipoprotein.beta.subparticle.medium:SCnc:Pt:Ser:Qn:
55440-2,"Cholesterol.in LDL",MCnc,Pt,Ser/Plas,Qn,VAP,CHEM,2.73,ACTIVE,1,Observation,,mg/dL,"Cholesterol.in LDL (real) [Mass/volume] in Serum or Plasma by VAP",mg/dL,2.27,false,"Cholesterol.in LDL:MCnc:Pt:Ser/Plas:Qn:VAP"
57698-3,"Lipid panel with direct LDL",-,Pt,Ser/Plas,Qn,,PANEL.CHEM,2.73,ACTIVE,1,Order,,,"Lipid panel with direct LDL - Serum or Plasma",,2.29,true,"Lipid panel with direct LDL:-:Pt:Ser/Plas:Qn:"
92715-2,"Lipoprotein.beta.subparticle.very small-a",SCnc,Pt,Ser,Qn,,CHEM,2.66,ACTIVE,1,Observation,,nmol/L,"Lipoprotein.beta.subparticle.very small-a [Moles/volume] in Serum",nmol/L,2.66,false,"Lipoprotein.beta.subparticle.very small-a:SCnc:Pt:Ser:Qn:"
92714-5,"Lipoprotein.beta.subparticle.very small-b",SCnc,Pt,Ser,Qn,,CHEM,2.66,ACTIVE,1,Observation,,nmol/L,"Lipoprotein.beta.subparticle.very small-b [Moles/volume] in Serum",nmol/L,2.66,false,"Lipoprotein.beta.subparticle.very small-b:SCnc:Pt:Ser:Qn:"
92713-7,"Lipoprotein.beta.subparticle.very small-c",SCnc,Pt,Ser,Qn,,CHEM,2.66,ACTIVE,1,Observation,,nmol/L,"Lipoprotein.beta.subparticle.very small-c [Moles/volume] in Serum",nmol/L,2.66,false,"Lipoprotein.beta.subparticle.very small-c:SCnc:Pt:Ser:Qn:"
3046-0,"Triglyceride+ester.in LDL",MCnc,Pt,Ser/Plas,Qn,,CHEM,2.73,ACTIVE,1,Both,,mg/dL,"Triglyceride+ester in LDL [Mass/volume] in Serum or Plasma",mg/dL,1.0,false,"Triglyceride+ester.in LDL:MCnc:Pt:Ser/Plas:Qn:"
43727-7,Lipoprotein.beta.subparticle.small,SCnc,Pt,Ser/Plas,Qn,,CHEM,2.73,ACTIVE,1,Both,,nmol/L,"Lipoprotein.beta.subparticle.small [Moles/volume] in Serum or Plasma",nmol/L,2.17,false,Lipoprotein.beta.subparticle.small:SCnc:Pt:Ser/Plas:Qn:
92712-9,"Lipoprotein.beta.subparticle.very small-d",SCnc,Pt,Ser,Qn,,CHEM,2.66,ACTIVE,1,Observation,,nmol/L,"Lipoprotein.beta.subparticle.very small-d [Moles/volume] in Serum",nmol/L,2.66,false,"Lipoprotein.beta.subparticle.very small-d:SCnc:Pt:Ser:Qn:"
14155-6,"Cholesterol.in LDL",Prctl,Pt,Ser/Plas,SemiQn,,CHEM,2.75,ACTIVE,1,Observation,,,"Cholesterol in LDL [Percentile]",,1.0k,false,"Cholesterol.in LDL:Prctl:Pt:Ser/Plas:SemiQn:"
54434-6,Lipoprotein.beta.subparticle,SCnc,Pt,Ser/Plas,Qn,,CHEM,2.73,ACTIVE,1,Observation,,nmol/L,"Lipoprotein.beta.subparticle [Moles/volume] in Serum or Plasma",nmol/L,2.27,false,Lipoprotein.beta.subparticle:SCnc:Pt:Ser/Plas:Qn:
14815-5,Lipoprotein.beta,SCnc,Pt,Ser/Plas,Qn,Calculated,CHEM,2.73,ACTIVE,1,Observation,,mmol/L,"Lipoprotein.beta [Moles/volume] in Serum or Plasma by calculation",mmol/L,1.0k,false,Lipoprotein.beta:SCnc:Pt:Ser/Plas:Qn:Calculated
14814-8,Lipoprotein.beta,SCnc,Pt,Ser/Plas,Qn,Electrophoresis,CHEM,2.40,ACTIVE,1,Observation,,mmol/L,"Lipoprotein.beta [Moles/volume] in Serum or Plasma by Electrophoresis",mmol/L,1.0k,false,Lipoprotein.beta:SCnc:Pt:Ser/Plas:Qn:Electrophoresis
2089-1,"Cholesterol.in LDL",MCnc,Pt,Ser/Plas,Qn,,CHEM,2.73,ACTIVE,1,Both,,mg/dL,"Cholesterol in LDL [Mass/volume] in Serum or Plasma",mg/dL,1.0,false,"Cholesterol.in LDL:MCnc:Pt:Ser/Plas:Qn:"
53133-5,"Cholesterol.in LDL",SCnc,Pt,"Body fld",Qn,,CHEM,2.38,ACTIVE,1,Both,,mmol/L,"Cholesterol in LDL [Moles/volume] in Body fluid",mmol/L,2.24,false,"Cholesterol.in LDL:SCnc:Pt:Body fld:Qn:"
22748-8,"Cholesterol.in LDL",SCnc,Pt,Ser/Plas,Qn,,CHEM,2.73,ACTIVE,1,Both,,mmol/L,"Cholesterol in LDL [Moles/volume] in Serum or Plasma",mmol/L,1.0n,false,"Cholesterol.in LDL:SCnc:Pt:Ser/Plas:Qn:"
91105-7,"Cholesterol.in LDL 1",MCnc,Pt,Ser/Plas,Qn,,CHEM,2.73,ACTIVE,1,Observation,,mg/dL,"Cholesterol in LDL 1 [Mass/volume] in Serum or Plasma",mg/dL,2.65,false,"Cholesterol.in LDL 1:MCnc:Pt:Ser/Plas:Qn:"
91112-3,"Cholesterol.in LDL 1",SCnc,Pt,Ser/Plas,Qn,,CHEM,2.73,ACTIVE,1,Observation,,mmol/L,"Cholesterol in LDL 1 [Moles/volume] in Serum or Plasma",mmol/L,2.65,false,"Cholesterol.in LDL 1:SCnc:Pt:Ser/Plas:Qn:"
