system,code,display
http://loinc.org,101952-0,"MTTP gene targeted mutation analysis, Blood or tissue specimen"
http://loinc.org,12228-3,"Triglyceride, Body fluid"
http://loinc.org,12950-2,"Triglyceride, Body fluid"
http://loinc.org,12951-0,"Triglyceride, Blood"
http://loinc.org,13899-0,"Triglyceride, Body fluid"
http://loinc.org,14445-1,"Triglyceride, Amniotic fluid"
http://loinc.org,14446-9,"Triglyceride, Spinal fluid"
http://loinc.org,14447-7,"Triglyceride, Peritoneal fluid"
http://loinc.org,14448-5,"Triglyceride, Semen"
http://loinc.org,14449-3,"Triglyceride, Synovial fluid"
http://loinc.org,14450-1,"Triglyceride, Urine"
http://loinc.org,14927-8,"Triglyceride, Blood"
http://loinc.org,1644-4,"Triglyceride after 12 hr Fast, Blood"
http://loinc.org,17081-1,"Triglyceride after Fast, Blood"
http://loinc.org,2096-6,"Cholesterol/Triglyceride, Blood"
http://loinc.org,22731-4,"Triglyceride, Specimen"
http://loinc.org,2571-8,"Triglyceride, Blood"
http://loinc.org,28554-4,"Triglyceride, Blood"
http://loinc.org,29766-3,"Triglyceride, Body fluid"
http://loinc.org,3043-7,"Triglyceride, Blood"
http://loinc.org,3044-5,"Triglyceride+ester in HDL, Blood"
http://loinc.org,3045-2,"Triglyceride+ester in IDL, Blood"
http://loinc.org,3046-0,"Triglyceride+ester in LDL, Blood"
http://loinc.org,3047-8,"Triglyceride+ester in VLDL, Blood"
http://loinc.org,3048-6,"Triglyceride after Fast, Blood"
http://loinc.org,3049-4,"Triglyceride, Blood"
http://loinc.org,30524-3,"Triglyceride after 12 hr Fast, Blood"
http://loinc.org,30570-6,"Triglyceride, Blood"
http://loinc.org,34695-7,"VLDL cholesterol/Triglyceride, Blood"
http://loinc.org,35217-9,"Triglyceride, Blood"
http://loinc.org,35360-7,"Triglyceride in Lipoprotein A, Blood"
http://loinc.org,35361-5,"Triglyceride in Lipoprotein A, Blood"
http://loinc.org,35362-3,"Triglyceride in chylomicrons, Blood"
http://loinc.org,35363-1,"Triglyceride in chylomicrons, Blood"
http://loinc.org,39801-6,"Triglyceride, Pleural fluid"
http://loinc.org,44718-5,"Lipoprotein.pre-beta/Triglyceride, Blood"
http://loinc.org,44733-4,"Triglyceride/HDL Cholesterol, Blood"
http://loinc.org,47210-0,"Triglyceride after Fast, Blood"
http://loinc.org,51605-4,"Triglyceride, Synovial fluid"
http://loinc.org,53526-0,"Triglyceride in VLDL, Blood"
http://loinc.org,53527-8,"Triglyceride in HDL 2, Blood"
http://loinc.org,53528-6,"Triglyceride in HDL 3, Blood"
http://loinc.org,55607-6,"Triglyceride/HDL Cholesterol, Blood"
http://loinc.org,59036-4,"Triglyceride, Peritoneal dialysis fluid"
http://loinc.org,59571-0,"Triglyceride, Urine"
http://loinc.org,59572-8,"Triglyceride, Urine"
http://loinc.org,66769-1,"Triglyceride, Peritoneal fluid"
http://loinc.org,69947-0,"Triglyceride, Pericardial fluid"
http://loinc.org,70218-3,"Triglyceride, Blood"
http://loinc.org,70259-7,"Triglyceride in pericardial fluid/Triglyceride in Serum, Pericardial Fluid+Blood"
http://loinc.org,70260-5,"Triglyceride in peritoneal fluid/Triglyceride in Serum, Peritoneal Fluid+Blood"
http://loinc.org,70269-6,"Triglyceride in pleural fluid/Triglyceride in Serum, S/P+Pleur Fld"
http://loinc.org,77360-6,"Triglyceride, Stool"
http://loinc.org,77361-4,"Triglyceride, Stool"
http://loinc.org,78361-3,"Fatty acid and Triglyceride panel, Stool"
http://loinc.org,94859-6,"Glycerol and glycerol-corrected triglyceride panel, Blood"
http://loinc.org,94865-3,"Triglyceride Corrected for Glycerol, Blood"
http://loinc.org,94872-9,"Cholesterol and Triglyceride panel, Body fluid"
http://loinc.org,95808-2,"Chyluria screen, Urine"
http://loinc.org,9619-8,"Triglyceride, Pleural fluid"
http://loinc.org,96598-8,"Triglyceride, Dried blood spot"
