code	display
1164265	Alemtuzumab Injectable Product
117055	Alemtuzumab
1172298	Campath Injectable Product
1594657	Alemtuzumab 10 MG/ML
1594658	1.2 ML Alemtuzumab 10 MG/ML Injection
1594659	Lemtrada
1594660	Alemtuzumab 10 MG/ML [Lemtrada]
1594662	Lemtrada Injectable Product
1594663	Lemtrada 12 MG in 1.2 ML Injection
1656628	Alemtuzumab 30 MG/ML
1656629	Alemtuzumab Injection
1656631	Alemtuzumab 30 MG/ML [Campath]
1656632	Alemtuzumab Injection [Campath]
1656634	Alemtuzumab 30 MG/ML Injection
1656635	Campath 30 MG/ML Injection
1656637	Alemtuzumab Injection [Lemtrada]
1656639	Alemtuzumab 10 MG/ML Injection
1656640	Lemtrada 10 MG/ML Injection
284679	Campath
828265	1 ML Alemtuzumab 30 MG/ML Injection
828267	Campath 30 MG in 1 ML Injection
