"system","code","display"
"http://www.nlm.nih.gov/research/umls/rxnorm","1011","lymphocyte immune globulin, anti-thymocyte globulin"
"http://www.nlm.nih.gov/research/umls/rxnorm","107047","anti-thymocyte globulin (rabbit) 25 MG Injection"
"http://www.nlm.nih.gov/research/umls/rxnorm","107050","Thymoglobulin 25 MG Injection"
"http://www.nlm.nih.gov/research/umls/rxnorm","1165939","ATGAM Injectable Product"
"http://www.nlm.nih.gov/research/umls/rxnorm","1177887","Thymoglobulin Injectable Product"
"http://www.nlm.nih.gov/research/umls/rxnorm","1204","ATGAM"
"http://www.nlm.nih.gov/research/umls/rxnorm","1870645","lymphocyte immune globulin, anti-thymocyte globulin, equine 50 MG/ML Injection"
"http://www.nlm.nih.gov/research/umls/rxnorm","1870646","ATGAM 50 MG/ML Injection"
"http://www.nlm.nih.gov/research/umls/rxnorm","197906","lymphocyte immune globulin, anti-thymocyte, equine 250 MG in 5 mL Injection"
"http://www.nlm.nih.gov/research/umls/rxnorm","206289","5 ML ATGAM 50 MG/ML Injection"
"http://www.nlm.nih.gov/research/umls/rxnorm","225741","Thymoglobulin"
"http://www.nlm.nih.gov/research/umls/rxnorm","2282514","lymphocyte immune globulin, anti-thymocyte globulin, equine 50 MG/ML"
"http://www.nlm.nih.gov/research/umls/rxnorm","2282515","lymphocyte immune globulin, anti-thymocyte globulin Injectable Product"
"http://www.nlm.nih.gov/research/umls/rxnorm","2282516","lymphocyte immune globulin, anti-thymocyte globulin Injection"
"http://www.nlm.nih.gov/research/umls/rxnorm","2282518","lymphocyte immune globulin, anti-thymocyte globulin, equine 50 MG/ML [ATGAM]"
"http://www.nlm.nih.gov/research/umls/rxnorm","2282519","lymphocyte immune globulin, anti-thymocyte globulin Injection [ATGAM]"
"http://www.nlm.nih.gov/research/umls/rxnorm","2282527","rabbit anti-human T-lymphocyte globulin 25 MG [Thymoglobulin]"
"http://www.nlm.nih.gov/research/umls/rxnorm","2282528","lymphocyte immune globulin, anti-thymocyte globulin Injection [Thymoglobulin]"
"http://www.nlm.nih.gov/research/umls/rxnorm","2645851","lymphocyte immune globulin, anti-thymocyte globulin, equine Injection"
"http://www.nlm.nih.gov/research/umls/rxnorm","2656074","lymphocyte immune globulin, anti-thymocyte globulin, equine Injection [ATGAM]"
"http://www.nlm.nih.gov/research/umls/rxnorm","2658842","rabbit anti-human T-lymphocyte globulin Injection [Thymoglobulin]"
"http://www.nlm.nih.gov/research/umls/rxnorm","2659841","lymphocyte immune globulin, anti-thymocyte globulin, equine Injectable Product"
"http://www.nlm.nih.gov/research/umls/rxnorm","91601","lymphocyte immune globulin, anti-thymocyte globulin, equine"
