code	display
1011	lymphocyte immune globulin, anti-thymocyte globulin
107047	anti-thymocyte globulin (rabbit) 25 MG Injection
107050	Thymoglobulin 25 MG Injection
1165939	ATGAM Injectable Product
1177887	Thymoglobulin Injectable Product
1204	ATGAM
1870645	lymphocyte immune globulin, anti-thymocyte globulin, equine 50 MG/ML Injection
1870646	ATGAM 50 MG/ML Injection
197906	lymphocyte immune globulin, anti-thymocyte, equine 250 MG in 5 mL Injection
206289	5 ML ATGAM 50 MG/ML Injection
225741	Thymoglobulin
2282514	lymphocyte immune globulin, anti-thymocyte globulin, equine 50 MG/ML
2282515	lymphocyte immune globulin, anti-thymocyte globulin Injectable Product
2282516	lymphocyte immune globulin, anti-thymocyte globulin Injection
2282518	lymphocyte immune globulin, anti-thymocyte globulin, equine 50 MG/ML [ATGAM]
2282519	lymphocyte immune globulin, anti-thymocyte globulin Injection [ATGAM]
2282527	rabbit anti-human T-lymphocyte globulin 25 MG [Thymoglobulin]
2282528	lymphocyte immune globulin, anti-thymocyte globulin Injection [Thymoglobulin]
2645851	lymphocyte immune globulin, anti-thymocyte globulin, equine Injection
2656074	lymphocyte immune globulin, anti-thymocyte globulin, equine Injection [ATGAM]
2658842	rabbit anti-human T-lymphocyte globulin Injection [Thymoglobulin]
2659841	lymphocyte immune globulin, anti-thymocyte globulin, equine Injectable Product
91601	lymphocyte immune globulin, anti-thymocyte globulin, equine
