code	display
404475	AZASAN 75 MG Oral Tablet
404476	AZASAN 100 MG Oral Tablet
404872	Azasan
405819	Azathioprine Oral Tablet [Azasan]
105609	Azathioprine 50 MG Oral Tablet [Azamune]
105610	Imuran 25 MG Oral Tablet
105612	Azathioprine 50 MG Oral Tablet [Immunoprin]
105613	Azathioprine 50 MG Oral Tablet [Berkaprine]
267476	Azathioprine sodium
576332	Azathioprine 50 MG [Azasan]
565180	Azathioprine 10 MG [Imuran]
369525	Azathioprine Oral Tablet [Azamune]
1155001	Azathioprine Oral Product
1172007	Imuran Pill
199310	Azathioprine 25 MG Oral Tablet
360265	Azathioprine 75 MG
701338	Azasan 25 MG Oral Tablet
701337	Azathioprine 25 MG [Azasan]
329313	Azathioprine 25 MG
108922	Azathioprine 50 MG Oral Tablet [Oprisine]
564118	Azathioprine 50 MG [Azamune]
564122	Azathioprine 50 MG [Berkaprine]
1155002	Azathioprine Pill
385562	Azathioprine 10 MG
404351	Azasan 50 MG Oral Tablet
105611	IMURAN 50 MG Oral Tablet
197388	Azathioprine 50 MG Oral Tablet
153130	Imuran 10 MG Oral Tablet
564119	Azathioprine 25 MG [Imuran]
564121	Azathioprine 50 MG [Immunoprin]
564655	Azathioprine 50 MG [Oprisine]
368521	Azathioprine Oral Tablet [Berkaprine]
369534	Azathioprine Oral Tablet [Immunoprin]
1172006	Imuran Oral Product
1176318	Azasan Oral Product
1176319	Azasan Pill
1789839	Azathioprine Injection
315447	Azathioprine 50 MG
359229	Azathioprine 75 MG Oral Tablet
202559	Imuran
403109	Azathioprine Oral Tablet [Oprisine]
410148	Azathioprine 250 MG Oral Capsule
239983	Azathioprine 100 MG Injection
434684	Azathioprine 250 MG
434685	Azathioprine Oral Capsule
1256	Azathioprine
153129	Azathioprine 10 MG Oral Tablet
576426	Azathioprine 75 MG [Azasan]
576427	Azathioprine 100 MG [Azasan]
564120	Azathioprine 50 MG [Imuran]
368214	Azathioprine Oral Tablet [Imuran]
370973	Azathioprine Oral Tablet
1155000	Azathioprine Injectable Product
359228	Azathioprine 100 MG Oral Tablet
360266	Azathioprine 100 MG
