code	display
835927	Cyclosporine, modified 50 MG Oral Capsule [Atopica]
2662711	Cyclosporine, modified Pill
2665979	Cyclosporine Oral Capsule [Sporimune]
2665983	Cyclosporine, modified 25 MG Oral Capsule [Sporimune]
2665984	Cyclosporine, modified 50 MG [Sporimune]
2055021	Cyclosporine 0.09 % Ophthalmic Solution
2470534	Cyclosporine Oral Solution [Cyclavance]
486331	Cyclosporine 100 MG/ML [SandIMMUNE]
1185408	SandIMMUNE Injectable Product
1185409	SandIMMUNE Oral Liquid Product
2590608	Cyclosporine 0.1 % Ophthalmic Suspension
835787	Cyclosporine, modified 100 MG [Gengraf]
835885	Cyclosporine, modified 100 MG/ML
835895	Cyclosporine, modified 25 MG [Gengraf]
202816	SandIMMUNE
670177	Cyclosporine 50 MG/ML Oral Solution
1093176	Cyclosporine 0.002 MG/MG [Optimmune]
1093177	Cyclosporine Ophthalmic Ointment [Optimmune]
197552	SandIMMUNE 100 MG Oral Capsule
2590612	Cyclosporine Ophthalmic Suspension [Verkazia]
2657141	Cyclosporine, modified Oral Capsule [Neoral]
212957	SandIMMUNE 100 MG/ML Oral Solution
1732369	SandIMMUNE 50 MG/ML Injection
1732364	Cyclosporine Injection
835926	Cyclosporine, modified 50 MG [Atopica]
539499	Cyclosporine Oral Capsule [Atopica]
835916	Cyclosporine, modified 100 MG [Atopica]
572889	Cyclosporine 25 MG [SandIMMUNE]
572895	Cyclosporine 50 MG [SandIMMUNE]
572915	Cyclosporine 50 MG/ML [SandIMMUNE]
371666	Cyclosporine Oral Capsule
583288	Cyclosporine 100 MG [Cyslosporine]
1169824	Gengraf Oral Liquid Product
2639936	Cyclosporine 0.1 % Ophthalmic Solution
2639941	Cyclosporine 1 MG/ML Ophthalmic Solution [Vevye]
835835	GENGRAF 100 MG Oral Capsule
309632	Cyclosporine 100 MG/ML Oral Solution
315751	Cyclosporine 25 MG
2665976	Cyclosporine, modified 100 MG [Sporimune]
2665985	Cyclosporine, modified 50 MG Oral Capsule [Sporimune]
334294	Cyclosporine, modified 100 MG
2055020	Cyclosporine Ophthalmic Solution
2055022	Cequa
2055026	Cequa 0.09 % Ophthalmic Solution
363942	Cyclosporine Oral Solution [Neoral]
364418	Cyclosporine Oral Solution [Sangcya]
1156188	Cyclosporine Oral Liquid Product
1185410	SandIMMUNE Oral Product
835887	Cyclosporine, modified 100 MG/ML [Gengraf]
835897	Cyclosporine, modified 100 MG/ML [Neoral]
835918	Cyclosporine, modified 10 MG
835925	Cyclosporine, modified 50 MG Oral Capsule
2645340	Cyclosporine, modified Oral Capsule
3008	Cyclosporine
353400	Cyclosporine 0.5 MG/ML
583290	Cyclosporine 100 MG Oral Capsule [Cyslosporine]
378766	Cyclosporine Ophthalmic Suspension
241834	Cyclosporine, modified 100 MG Oral Capsule
2657509	Cyclosporine, modified Oral Solution [Neoral]
2657747	Cyclosporine, modified Oral Solution [Gengraf]
212810	SandIMMUNE 25 MG Oral Capsule
212958	Cyclosporine 100 MG/ML Oral Solution [Sangcya]
1732368	Cyclosporine 50 MG/ML Injection
565430	Cyclosporine 100 MG [SandIMMUNE]
835920	Cyclosporine, modified 10 MG [Atopica]
366173	Cyclosporine Oral Capsule [Gengraf]
371667	Cyclosporine Oral Solution
1169826	Gengraf Pill
2639938	Cyclosporine 1 MG/ML [Vevye]
315749	Cyclosporine 100 MG
315752	Cyclosporine 50 MG
402330	Cyclosporine Ophthalmic Suspension [Restasis]
835923	Cyclosporine, modified 25 MG Oral Capsule [Atopica]
2572293	Restasis 0.05 % in 0.4 ML Ophthalmic Emulsion
205168	Cyclosporine 50 MG Oral Capsule
205175	5 ML Cyclosporine 50 MG/ML Injection
2665980	Cyclosporine, modified Oral Capsule [Sporimune]
328160	Cyclosporine 100 MG Oral Capsule
2055023	Cyclosporine 0.9 MG/ML [Cequa]
2055024	Cyclosporine Ophthalmic Solution [Cequa]
2055025	Cequa Ophthalmic Product
2470537	Cyclosporine, modified 100 MG/ML Oral Solution [Cyclavance]
484788	Cyclosporine microemulsion
835911	Neoral 100 MG Oral Capsule
835909	Neoral 25 MG Oral Capsule
1156189	Cyclosporine Oral Product
1156190	Cyclosporine Pill
1181673	Neoral Oral Product
835886	Cyclosporine, modified 100 MG/ML Oral Solution
835893	Cyclosporine, modified 25 MG
835894	Cyclosporine, modified 25 MG Oral Capsule
835900	Cyclosporine, modified 100 MG [Neoral]
835901	Cyclosporine, modified 25 MG [Neoral]
261530	Gengraf
202817	Neoral
1093172	Cyclosporine 0.002 MG/MG
348431	Cyclosporine 1000 MG/ML Oral Solution
402092	Restasis 0.05 % Ophthalmic Emulsion
1233905	Cyclosporine, modified 100 MG/ML [Atopica]
1233908	Cyclosporine, modified 100 MG/ML Oral Solution [Atopica]
197553	Cyclosporine 25 MG Oral Capsule
2590610	Cyclosporine 1 MG/ML [Verkazia]
2656813	Cyclosporine, modified Oral Capsule [Gengraf]
2657003	Cyclosporine, modified Oral Solution [Cyclavance]
2660112	Cyclosporine, modified Oral Product
212821	SandIMMUNE 50 MG Oral Capsule
212844	5 ML SandIMMUNE 50 MG/ML Injection
1732366	Cyclosporine Injection [SandIMMUNE]
2689928	Cyclosporine, modified 100 MG/ML Oral Solution [Modulis]
2689927	Cyclosporine, modified Oral Solution [Modulis]
94035	Cyclosporine Oral Solution [SandIMMUNE]
835922	Cyclosporine, modified 25 MG [Atopica]
572919	Cyclosporine 100 MG/ML [Sangcya]
1169825	Gengraf Oral Product
835896	GENGRAF 25 MG Oral Capsule
315753	Cyclosporine 50 MG/ML
358763	Cyclosporine 1000 MG/ML
835892	GENGRAF 100 MG in 1 mL Oral Solution
835921	Cyclosporine, modified 10 MG Oral Capsule [Atopica]
835917	Cyclosporine, modified 100 MG Oral Capsule [Atopica]
2572292	Cyclosporine 0.05 % in 0.4 ML Ophthalmic Emulsion
2590607	Cyclosporine 1 MG/ML
2663521	Cyclosporine, modified Oral Liquid Product
2665981	Cyclosporine, modified 100 MG Oral Capsule [Sporimune]
2665982	Cyclosporine, modified 25 MG [Sporimune]
2055019	Cyclosporine 0.9 MG/ML
2470533	Cyclosporine, modified 100 MG/ML [Cyclavance]
363914	Cyclosporine Oral Solution [Gengraf]
1156186	Cyclosporine Injectable Product
1156187	Cyclosporine Ophthalmic Product
1181672	Neoral Oral Liquid Product
1181674	Neoral Pill
1182527	Restasis Ophthalmic Product
1185411	SandIMMUNE Pill
835924	Cyclosporine, modified 50 MG
2647505	Cyclosporine, modified Oral Solution
2654174	Cyclosporine, modified Oral Capsule [Atopica]
1093173	Cyclosporine Ophthalmic Ointment
1093174	Cyclosporine 0.2 % Ophthalmic Ointment
1093178	Cyclosporine 0.002 MG/MG Ophthalmic Ointment [Optimmune]
351291	Cyclosporine 0.05 % Ophthalmic Emulsion
352951	Restasis
583289	Cyclosporine Oral Capsule [Cyslosporine]
1233906	Cyclosporine Oral Solution [Atopica]
2590613	Cyclosporine 1 MG/ML Ophthalmic Suspension [Verkazia]
2658601	Cyclosporine, modified Oral Solution [Atopica]
835899	NEORAL 100 MG in 1 mL Oral Solution
2689923	Cyclosporine, modified 100 MG/ML [Modulis]
2689926	Cyclosporine Oral Solution [Modulis]
576100	Cyclosporine 0.5 MG/ML [Restasis]
366479	Cyclosporine Oral Capsule [Neoral]
366488	Cyclosporine Oral Capsule [SandIMMUNE]
2639940	Cyclosporine Ophthalmic Solution [Vevye]
1797521	GENGRAF 50 MG Oral Capsule
1797520	Cyclosporine, modified 50 MG [Gengraf]
835919	Cyclosporine, modified 10 MG Oral Capsule
236077	Cyclosporine, modified
315750	Cyclosporine 100 MG/ML
