code	display
1156645	cytomegalovirus immune globulin Injectable Product
1174483	Cytogam Injectable Product
1806659	cytomegalovirus immune globulin Injection
1806661	cytomegalovirus immune globulin Injection [Cytogam]
1806663	cytomegalovirus immune globulin 50 MG/ML Injection
1806664	Cytogam 50 MG/ML Injection
1997443	cytomegalovirus immune globulin, human
1999436	cytomegalovirus immune globulin, human 50 MG/ML
1999438	cytomegalovirus immune globulin, human 50 MG/ML [Cytogam]
1999440	cytomegalovirus immune globulin, human 50 MG/ML Injection
1999441	cytomegalovirus immune globulin, human 50 MG/ML Injection [Cytogam]
204528	50 ML cytomegalovirus immune globulin, human 50 MG/ML Injection
209029	50 ML Cytogam 50 MG/ML Injection
216315	Cytogam
22178	cytomegalovirus immune globulin
2648654	cytomegalovirus immune globulin, human Injection
2654836	cytomegalovirus immune globulin, human Injection [Cytogam]
2662844	cytomegalovirus immune globulin, human Injectable Product
342915	cytomegalovirus immune globulin 50 MG/ML
376867	cytomegalovirus immune globulin Injectable Solution
413186	cytomegalovirus immune globulin 100 MG/ML Injectable Solution
413187	cytomegalovirus immune globulin 95 MG/ML Injectable Solution
415182	cytomegalovirus immune globulin 60 MG/ML Injectable Solution
438887	cytomegalovirus immune globulin 100 MG/ML
438888	cytomegalovirus immune globulin 95 MG/ML
451377	cytomegalovirus immune globulin 60 MG/ML
569664	cytomegalovirus immune globulin 50 MG/ML [Cytogam]
