code	display
2685204	Everolimus 10 MG Oral Tablet [Torpenz]
2685205	Everolimus 5 MG [Torpenz]
2685201	Everolimus Oral Tablet [Torpenz]
1308428	Everolimus 2 MG Tablet for Oral Suspension
998189	Everolimus 2.5 MG Oral Tablet
977436	Zortress 0.5 MG Oral Tablet
845509	Afinitor
845514	Everolimus 5 MG
845517	Everolimus 5 MG [Afinitor]
2056896	Everolimus 1 MG [Zortress]
1119399	Everolimus 7.5 MG
1163787	Everolimus Pill
2685206	Everolimus 5 MG Oral Tablet [Torpenz]
2685208	Everolimus 7.5 MG Oral Tablet [Torpenz]
2685207	Everolimus 7.5 MG [Torpenz]
1310137	Afinitor Oral Liquid Product
1310144	Afinitor DISPERZ 3 MG Tablet for Oral Suspension
1310147	Afinitor DISPERZ 5 MG Tablet for Oral Suspension
998188	Everolimus 2.5 MG
977428	Zortress
977430	Everolimus Oral Tablet [Zortress]
977431	Zortress 0.25 MG Oral Tablet
977434	Everolimus 0.5 MG Oral Tablet
977435	Everolimus 0.5 MG [Zortress]
977438	Everolimus 0.75 MG Oral Tablet
977439	Everolimus 0.75 MG [Zortress]
977440	Zortress 0.75 MG Oral Tablet
1172066	Afinitor Oral Product
845515	Everolimus 5 MG Oral Tablet
845518	Afinitor 5 MG Oral Tablet
2056897	ZORTRESS 1 MG Oral Tablet
1119400	Everolimus 7.5 MG Oral Tablet
2685197	Everolimus [Torpenz]
2685198	Everolimus 2.5 MG [Torpenz]
2685199	Everolimus Oral Product [Torpenz]
2685200	Everolimus Pill [Torpenz]
1308430	Everolimus 3 MG Tablet for Oral Suspension
1310138	Afinitor DISPERZ 2 MG Tablet for Oral Suspension
1869520	Everolimus 3 MG [Afinitor]
1869515	Everolimus 2 MG [Afinitor]
1869512	Everolimus 2 MG
1186316	Zortress Oral Product
1186317	Zortress Pill
977426	Everolimus 0.25 MG
977429	Everolimus 0.25 MG [Zortress]
845510	Everolimus 10 MG [Afinitor]
845511	Everolimus Oral Tablet [Afinitor]
2056894	Everolimus 1 MG
1163786	Everolimus Oral Product
1869513	Everolimus Tablet for Oral Suspension
141704	Everolimus
2685202	Everolimus 2.5 MG Oral Tablet [Torpenz]
2685203	Everolimus 10 MG [Torpenz]
1308426	Everolimus Oral Liquid Product
1308432	Everolimus 5 MG Tablet for Oral Suspension
1869516	Everolimus Tablet for Oral Suspension [Afinitor]
1869518	Everolimus 3 MG
998190	Everolimus 2.5 MG [Afinitor]
998191	Afinitor 2.5 MG Oral Tablet
977427	Everolimus 0.25 MG Oral Tablet
977433	Everolimus 0.5 MG
977437	Everolimus 0.75 MG
1172067	Afinitor Pill
845505	Everolimus 10 MG
845506	Everolimus Oral Tablet
845507	Everolimus 10 MG Oral Tablet
845508	{28 (Everolimus 10 MG Oral Tablet) } Pack
845512	Afinitor 10 MG Oral Tablet
845516	{28 (Everolimus 5 MG Oral Tablet) } Pack
2056895	Everolimus 1 MG Oral Tablet
1119401	Everolimus 7.5 MG [Afinitor]
1119402	Afinitor 7.5 MG Oral Tablet
