"system","code","display"
"http://www.nlm.nih.gov/research/umls/rxnorm","1171272","Hizentra Injectable Product"
"http://www.nlm.nih.gov/research/umls/rxnorm","142061","IgG, human subcutaneous 16 % Injectable Solution"
"http://www.nlm.nih.gov/research/umls/rxnorm","1549688","HYQVIA 30 GM / 300 ML Kit"
"http://www.nlm.nih.gov/research/umls/rxnorm","1549690","HYQVIA 2.5 GM / 25 ML Kit"
"http://www.nlm.nih.gov/research/umls/rxnorm","1549692","HYQVIA 5 GM / 50 ML Kit"
"http://www.nlm.nih.gov/research/umls/rxnorm","1549694","HYQVIA 10 GM / 100 ML Kit"
"http://www.nlm.nih.gov/research/umls/rxnorm","1549696","HYQVIA 20 GM / 200 ML Kit"
"http://www.nlm.nih.gov/research/umls/rxnorm","1809062","immunoglobulin G Injection [Hizentra]"
"http://www.nlm.nih.gov/research/umls/rxnorm","1809063","Hizentra 20 % in 50 ML Injection"
"http://www.nlm.nih.gov/research/umls/rxnorm","1809065","Hizentra 20 % Injection"
"http://www.nlm.nih.gov/research/umls/rxnorm","1809067","Hizentra 20 % in 20 ML Injection"
"http://www.nlm.nih.gov/research/umls/rxnorm","1809069","Hizentra 20 % in 10 ML Injection"
"http://www.nlm.nih.gov/research/umls/rxnorm","1809077","Hizentra 20 % in 5 ML Injection"
"http://www.nlm.nih.gov/research/umls/rxnorm","1809578","gamunex-C 10 % in 50 mL Injection"
"http://www.nlm.nih.gov/research/umls/rxnorm","1809579","Gamunex-C 10 % Injection"
"http://www.nlm.nih.gov/research/umls/rxnorm","1809580","gamunex-C 10 % in 10 mL Injection"
"http://www.nlm.nih.gov/research/umls/rxnorm","1809581","gamunex-C 10 % in 25 mL Injection"
"http://www.nlm.nih.gov/research/umls/rxnorm","1809582","gamunex-C 10 % in 100 mL Injection"
"http://www.nlm.nih.gov/research/umls/rxnorm","1809583","gamunex-C 10 % in 200 mL Injection"
"http://www.nlm.nih.gov/research/umls/rxnorm","1809584","gamunex-C 10 % in 400 mL Injection"
"http://www.nlm.nih.gov/research/umls/rxnorm","1813407","Cuvitru"
"http://www.nlm.nih.gov/research/umls/rxnorm","1813409","immunoglobulin G Injection [Cuvitru]"
"http://www.nlm.nih.gov/research/umls/rxnorm","1813410","Cuvitru Injectable Product"
"http://www.nlm.nih.gov/research/umls/rxnorm","1813414","immunoglobulin G, human 200 MG/ML [Cuvitru]"
"http://www.nlm.nih.gov/research/umls/rxnorm","1813415","CUVITRU 20 % in 5 mL Injection"
