"system","code","display"
"http://www.nlm.nih.gov/research/umls/rxnorm","1009211","immunoglobulin G, human 100 MG/ML [Flebogamma]"
"http://www.nlm.nih.gov/research/umls/rxnorm","106479","immunoglobulin G, human 160 MG/ML Injectable Solution [Kabiglobulin]"
"http://www.nlm.nih.gov/research/umls/rxnorm","106483","varicella-zoster immune globulin 50 MG/ML Injectable Solution"
"http://www.nlm.nih.gov/research/umls/rxnorm","106486","Rho(D) immune globulin 1250 UNT/ML Injectable Solution"
"http://www.nlm.nih.gov/research/umls/rxnorm","107047","lymphocyte immune globulin, anti-thymocyte globulin, rabbit 25 MG Injection"
"http://www.nlm.nih.gov/research/umls/rxnorm","1117548","Gammaked"
"http://www.nlm.nih.gov/research/umls/rxnorm","1117549","immunoglobulin G, human 100 MG/ML [Gammaked]"
"http://www.nlm.nih.gov/research/umls/rxnorm","1154733","botulism immune globulin IV human Injectable Product"
"http://www.nlm.nih.gov/research/umls/rxnorm","1156296","immunoglobulin G Injectable Product"
"http://www.nlm.nih.gov/research/umls/rxnorm","1156645","cytomegalovirus immune globulin Injectable Product"
"http://www.nlm.nih.gov/research/umls/rxnorm","1157422","respiratory syncytial virus immune globulin intravenous Injectable Product"
"http://www.nlm.nih.gov/research/umls/rxnorm","1159500","hepatitis B immune globulin Injectable Product"
"http://www.nlm.nih.gov/research/umls/rxnorm","1164569","varicella-zoster immune globulin Injectable Product"
"http://www.nlm.nih.gov/research/umls/rxnorm","1164836","Rho(D) immune globulin Injectable Product"
"http://www.nlm.nih.gov/research/umls/rxnorm","1169034","Flebogamma Injectable Product"
"http://www.nlm.nih.gov/research/umls/rxnorm","1175386","Gammagard Injectable Product"
"http://www.nlm.nih.gov/research/umls/rxnorm","1175388","Gammaked Injectable Product"
"http://www.nlm.nih.gov/research/umls/rxnorm","1175389","Gammaplex Injectable Product"
"http://www.nlm.nih.gov/research/umls/rxnorm","1175395","Gamunex Injectable Product"
"http://www.nlm.nih.gov/research/umls/rxnorm","1175770","Carimune Injectable Product"
"http://www.nlm.nih.gov/research/umls/rxnorm","1178922","Privigen Injectable Product"
"http://www.nlm.nih.gov/research/umls/rxnorm","1180526","Octagam Injectable Product"
"http://www.nlm.nih.gov/research/umls/rxnorm","119246","respiratory syncytial virus immune globulin intravenous"
"http://www.nlm.nih.gov/research/umls/rxnorm","1364424","Bivigam"
"http://www.nlm.nih.gov/research/umls/rxnorm","1364425","immunoglobulin G, human 100 MG/ML [Bivigam]"
"http://www.nlm.nih.gov/research/umls/rxnorm","1364427","Bivigam Injectable Product"
"http://www.nlm.nih.gov/research/umls/rxnorm","1365979","1.2 ML varicella-zoster immune globulin 104 UNT/ML Injection [Varizig]"
"http://www.nlm.nih.gov/research/umls/rxnorm","142061","IgG, human subcutaneous 16 % Injectable Solution"
"http://www.nlm.nih.gov/research/umls/rxnorm","150955","Rho(D) immune globulin 1250 UNT/ML Injectable Solution [Partobulin]"
"http://www.nlm.nih.gov/research/umls/rxnorm","1535999","coagulation factor IX recombinant immunoglobulin G1 fusion protein Injectable Product"
"http://www.nlm.nih.gov/research/umls/rxnorm","1549687","{1 (15 ML hyaluronidase, human recombinant 160 UNT/ML Injection) / 1 (300 ML immunoglobulin G, human 100 MG/ML Injection) } Pack"
"http://www.nlm.nih.gov/research/umls/rxnorm","1549688","{1 (15 ML hyaluronidase, human recombinant 160 UNT/ML Injection) / 1 (300 ML immunoglobulin G, human 100 MG/ML Injection) } Pack [Hyqvia 30 G / 300 ML Kit]"
"http://www.nlm.nih.gov/research/umls/rxnorm","1549689","{1 (1.25 ML hyaluronidase, human recombinant 160 UNT/ML Injection) / 1 (25 ML immunoglobulin G, human 100 MG/ML Injection) } Pack"
"http://www.nlm.nih.gov/research/umls/rxnorm","1549690","{1 (1.25 ML hyaluronidase, human recombinant 160 UNT/ML Injection) / 1 (25 ML immunoglobulin G, human 100 MG/ML Injection) } Pack [Hyqvia 2.5 G / 25 ML Kit]"
"http://www.nlm.nih.gov/research/umls/rxnorm","1549691","{1 (2.5 ML hyaluronidase, human recombinant 160 UNT/ML Injection) / 1 (50 ML immunoglobulin G, human 100 MG/ML Injection) } Pack"
"http://www.nlm.nih.gov/research/umls/rxnorm","1549692","{1 (2.5 ML hyaluronidase, human recombinant 160 UNT/ML Injection) / 1 (50 ML immunoglobulin G, human 100 MG/ML Injection) } Pack [Hyqvia 5 G / 50 ML Kit]"
"http://www.nlm.nih.gov/research/umls/rxnorm","1549693","{1 (100 ML immunoglobulin G, human 100 MG/ML Injection) / 1 (5 ML hyaluronidase, human recombinant 160 UNT/ML Injection) } Pack"
"http://www.nlm.nih.gov/research/umls/rxnorm","1549694","{1 (100 ML immunoglobulin G, human 100 MG/ML Injection) / 1 (5 ML hyaluronidase, human recombinant 160 UNT/ML Injection) } Pack [Hyqvia 10 G / 100 ML Kit]"
"http://www.nlm.nih.gov/research/umls/rxnorm","1549695","{1 (10 ML hyaluronidase, human recombinant 160 UNT/ML Injection) / 1 (200 ML immunoglobulin G, human 100 MG/ML Injection) } Pack"
"http://www.nlm.nih.gov/research/umls/rxnorm","1549696","{1 (10 ML hyaluronidase, human recombinant 160 UNT/ML Injection) / 1 (200 ML immunoglobulin G, human 100 MG/ML Injection) } Pack [Hyqvia 20 G / 200 ML Kit]"
"http://www.nlm.nih.gov/research/umls/rxnorm","1549698","immunoglobulin G, human 100 MG/ML [Octagam]"
