code	display
1009211	immunoglobulin G, human 100 MG/ML [Flebogamma]
106479	immunoglobulin G, human 160 MG/ML Injectable Solution [Kabiglobulin]
106483	varicella-zoster immune globulin 50 MG/ML Injectable Solution
106486	Rho(D) immune globulin 1250 UNT/ML Injectable Solution
107047	lymphocyte immune globulin, anti-thymocyte globulin, rabbit 25 MG Injection
1117548	Gammaked
1117549	immunoglobulin G, human 100 MG/ML [Gammaked]
1154733	botulism immune globulin IV human Injectable Product
1156296	immunoglobulin G Injectable Product
1156645	cytomegalovirus immune globulin Injectable Product
1157422	respiratory syncytial virus immune globulin intravenous Injectable Product
1159500	hepatitis B immune globulin Injectable Product
1164569	varicella-zoster immune globulin Injectable Product
1164836	Rho(D) immune globulin Injectable Product
1169034	Flebogamma Injectable Product
1175386	Gammagard Injectable Product
1175388	Gammaked Injectable Product
1175389	Gammaplex Injectable Product
1175395	Gamunex Injectable Product
1175770	Carimune Injectable Product
1178922	Privigen Injectable Product
1180526	Octagam Injectable Product
119246	respiratory syncytial virus immune globulin intravenous
1364424	Bivigam
1364425	immunoglobulin G, human 100 MG/ML [Bivigam]
1364427	Bivigam Injectable Product
1365979	1.2 ML varicella-zoster immune globulin 104 UNT/ML Injection [Varizig]
142061	IgG, human subcutaneous 16 % Injectable Solution
150955	Rho(D) immune globulin 1250 UNT/ML Injectable Solution [Partobulin]
1535999	coagulation factor IX recombinant immunoglobulin G1 fusion protein Injectable Product
1549687	{1 (15 ML hyaluronidase, human recombinant 160 UNT/ML Injection) / 1 (300 ML immunoglobulin G, human 100 MG/ML Injection) } Pack
1549688	{1 (15 ML hyaluronidase, human recombinant 160 UNT/ML Injection) / 1 (300 ML immunoglobulin G, human 100 MG/ML Injection) } Pack [Hyqvia 30 G / 300 ML Kit]
1549689	{1 (1.25 ML hyaluronidase, human recombinant 160 UNT/ML Injection) / 1 (25 ML immunoglobulin G, human 100 MG/ML Injection) } Pack
1549690	{1 (1.25 ML hyaluronidase, human recombinant 160 UNT/ML Injection) / 1 (25 ML immunoglobulin G, human 100 MG/ML Injection) } Pack [Hyqvia 2.5 G / 25 ML Kit]
1549691	{1 (2.5 ML hyaluronidase, human recombinant 160 UNT/ML Injection) / 1 (50 ML immunoglobulin G, human 100 MG/ML Injection) } Pack
1549692	{1 (2.5 ML hyaluronidase, human recombinant 160 UNT/ML Injection) / 1 (50 ML immunoglobulin G, human 100 MG/ML Injection) } Pack [Hyqvia 5 G / 50 ML Kit]
1549693	{1 (100 ML immunoglobulin G, human 100 MG/ML Injection) / 1 (5 ML hyaluronidase, human recombinant 160 UNT/ML Injection) } Pack
1549694	{1 (100 ML immunoglobulin G, human 100 MG/ML Injection) / 1 (5 ML hyaluronidase, human recombinant 160 UNT/ML Injection) } Pack [Hyqvia 10 G / 100 ML Kit]
1549695	{1 (10 ML hyaluronidase, human recombinant 160 UNT/ML Injection) / 1 (200 ML immunoglobulin G, human 100 MG/ML Injection) } Pack
1549696	{1 (10 ML hyaluronidase, human recombinant 160 UNT/ML Injection) / 1 (200 ML immunoglobulin G, human 100 MG/ML Injection) } Pack [Hyqvia 20 G / 200 ML Kit]
1549698	immunoglobulin G, human 100 MG/ML [Octagam]
1658017	varicella-zoster immune globulin Injection
1658019	varicella-zoster immune globulin Injection [Varizig]
1658021	varicella-zoster immune globulin 100 UNT/ML Injection
1658022	varicella-zoster immune globulin 100 UNT/ML Injection [Varizig]
1658124	hepatitis B immune globulin Injection
1658125	5 ML hepatitis B immune globulin 312 UNT/ML Injection
1658126	hepatitis B immune globulin Injection [Nabi-HB]
1658127	5 ML hepatitis B immune globulin 312 UNT/ML Injection [Nabi-HB]
1658128	hepatitis B immune globulin 312 UNT/ML Injection
1658129	hepatitis B immune globulin 312 UNT/ML Injection [Nabi-HB]
1658147	1 ML hepatitis B immune globulin 312 UNT/ML Injection
1658148	1 ML hepatitis B immune globulin 312 UNT/ML Injection [Nabi-HB]
1658158	hepatitis B immune globulin Injection [HepaGam B]
1658159	1 ML hepatitis B immune globulin 312 UNT/ML Injection [HepaGam B]
1658160	hepatitis B immune globulin 312 UNT/ML Injection [HepaGam B]
1658163	1 ML hepatitis B immune globulin 220 UNT/ML Injection
