"system","code","display"
"http://www.nlm.nih.gov/research/umls/rxnorm","1005830","{48 (prednisoLONE 5 MG Oral Tablet) } Pack"
"http://www.nlm.nih.gov/research/umls/rxnorm","1005831","Millipred DP 12 Day Pack"
"http://www.nlm.nih.gov/research/umls/rxnorm","1007035","dequalinium / polidocanol / prednisoLONE"
"http://www.nlm.nih.gov/research/umls/rxnorm","1007257","phenylephrine / prednisoLONE"
"http://www.nlm.nih.gov/research/umls/rxnorm","1007260","oxytetracycline / prednisoLONE"
"http://www.nlm.nih.gov/research/umls/rxnorm","1007261","prednisoLONE / rifamycins"
"http://www.nlm.nih.gov/research/umls/rxnorm","1007263","estradiol / prednisoLONE"
"http://www.nlm.nih.gov/research/umls/rxnorm","1007264","oxyquinoline / prednisoLONE"
"http://www.nlm.nih.gov/research/umls/rxnorm","1007725","idoxuridine / prednisoLONE"
"http://www.nlm.nih.gov/research/umls/rxnorm","1007726","bisdequalinium / prednisoLONE"
"http://www.nlm.nih.gov/research/umls/rxnorm","1008055","prednisoLONE / trimeprazine"
"http://www.nlm.nih.gov/research/umls/rxnorm","1008236","chloramphenicol / prednisoLONE"
"http://www.nlm.nih.gov/research/umls/rxnorm","1008241","prednisoLONE / zinc oxide"
"http://www.nlm.nih.gov/research/umls/rxnorm","1008244","prednisoLONE / propylene glycol salicylate"
"http://www.nlm.nih.gov/research/umls/rxnorm","1008245","menthol / prednisoLONE / thymol"
"http://www.nlm.nih.gov/research/umls/rxnorm","1008247","niacinamide / prednisoLONE"
"http://www.nlm.nih.gov/research/umls/rxnorm","1008294","miconazole / polymyxin B / prednisoLONE"
"http://www.nlm.nih.gov/research/umls/rxnorm","1008474","clotrimazole / hexamidine / prednisoLONE"
"http://www.nlm.nih.gov/research/umls/rxnorm","1008707","bismuth chloride oxide / prednisoLONE / zinc oxide"
"http://www.nlm.nih.gov/research/umls/rxnorm","1008863","dexpanthenol / prednisoLONE / salicylic acid"
"http://www.nlm.nih.gov/research/umls/rxnorm","1008864","polidocanol / prednisoLONE / promethazine"
"http://www.nlm.nih.gov/research/umls/rxnorm","1008890","dibucaine / prednisoLONE"
"http://www.nlm.nih.gov/research/umls/rxnorm","1009010","prednisoLONE / salicylic acid"
"http://www.nlm.nih.gov/research/umls/rxnorm","1011978","prednisoLONE acetate 0.0025 MG/MG"
"http://www.nlm.nih.gov/research/umls/rxnorm","1011979","prednisoLONE acetate 0.25 % / sulfacetamide sodium 10 % Ophthalmic Ointment"
"http://www.nlm.nih.gov/research/umls/rxnorm","1011980","prednisoLONE acetate 0.0025 MG/MG / sulfacetamide sodium 0.1 MG/MG [Cetapred]"
"http://www.nlm.nih.gov/research/umls/rxnorm","1011981","Cetapred (prednisoLONE acetate 0.25 % / sulfacetamide sodium 10 % ) Ophthalmic Ointment"
"http://www.nlm.nih.gov/research/umls/rxnorm","1011984","prednisoLONE acetate 0.002 MG/MG"
"http://www.nlm.nih.gov/research/umls/rxnorm","1011985","prednisoLONE acetate 0.2 % / sulfacetamide sodium 10 % Ophthalmic Ointment"
"http://www.nlm.nih.gov/research/umls/rxnorm","1011986","prednisoLONE acetate 0.002 MG/MG / sulfacetamide sodium 0.1 MG/MG [Blephamide]"
"http://www.nlm.nih.gov/research/umls/rxnorm","1011987","Blephamide (prednisoLONE acetate 0.2 % / sulfacetamide sodium 10 % ) Ophthalmic Ointment"
"http://www.nlm.nih.gov/research/umls/rxnorm","1011999","prednisoLONE acetate 0.005 MG/MG"
"http://www.nlm.nih.gov/research/umls/rxnorm","1012000","prednisoLONE acetate 0.5 % / sulfacetamide sodium 10 % Ophthalmic Ointment"
"http://www.nlm.nih.gov/research/umls/rxnorm","1012001","prednisoLONE acetate 0.005 MG/MG / sulfacetamide sodium 0.1 MG/MG [AK-Cide]"
"http://www.nlm.nih.gov/research/umls/rxnorm","1012002","AK-Cide (prednisoLONE acetate 0.5 % / sulfacetamide sodium 10 % ) Ophthalmic Ointment"
"http://www.nlm.nih.gov/research/umls/rxnorm","1012003","prednisoLONE acetate 0.005 MG/MG / sulfacetamide sodium 0.1 MG/MG [Metimyd]"
"http://www.nlm.nih.gov/research/umls/rxnorm","1012004","Metimyd (prednisoLONE acetate 0.5 % / sulfacetamide sodium 10 % ) Ophthalmic Ointment"
"http://www.nlm.nih.gov/research/umls/rxnorm","1012005","prednisoLONE acetate 0.005 MG/MG / sulfacetamide sodium 0.1 MG/MG [Predsulfair]"
"http://www.nlm.nih.gov/research/umls/rxnorm","1012006","Predsulfair (prednisoLONE acetate 0.5 % / sulfacetamide sodium 10 % ) Ophthalmic Ointment"
"http://www.nlm.nih.gov/research/umls/rxnorm","1012007","prednisoLONE acetate 0.005 MG/MG / sulfacetamide sodium 0.1 MG/MG [Vasocidin]"
"http://www.nlm.nih.gov/research/umls/rxnorm","1012008","Vasocidin (prednisoLONE acetate 0.5 % / sulfacetamide sodium 10 % ) Ophthalmic Ointment"
"http://www.nlm.nih.gov/research/umls/rxnorm","1012014","prednisoLONE acetate 2 MG/ML"
"http://www.nlm.nih.gov/research/umls/rxnorm","1012015","prednisoLONE acetate 0.2 % / sulfacetamide sodium 10 % Ophthalmic Suspension"
"http://www.nlm.nih.gov/research/umls/rxnorm","1012016","prednisoLONE acetate 2 MG/ML / sulfacetamide sodium 100 MG/ML [Blephamide]"
"http://www.nlm.nih.gov/research/umls/rxnorm","1012017","Blephamide (prednisoLONE acetate 0.2 % / sulfacetamide sodium 10 % ) Ophthalmic Suspension"
"http://www.nlm.nih.gov/research/umls/rxnorm","1012020","prednisoLONE sodium phosphate 2.5 MG/ML"
"http://www.nlm.nih.gov/research/umls/rxnorm","1012021","prednisoLONE sodium phosphate 0.25 % / sulfacetamide sodium 10 % Ophthalmic Solution"
"http://www.nlm.nih.gov/research/umls/rxnorm","1012022","prednisoLONE sodium phosphate 2.5 MG/ML / sulfacetamide sodium 100 MG/ML [Sulster]"
"http://www.nlm.nih.gov/research/umls/rxnorm","1012023","Sulster (prednisoLONE sodium phosphate 0.25 % / sulfacetamide sodium 10 % ) Ophthalmic Solution"
"http://www.nlm.nih.gov/research/umls/rxnorm","1012024","prednisoLONE sodium phosphate 2.5 MG/ML / sulfacetamide sodium 100 MG/ML [Vasocidin]"
"http://www.nlm.nih.gov/research/umls/rxnorm","1012025","Vasocidin (prednisoLONE sodium phosphate 0.25 % / sulfacetamide sodium 10 % ) Ophthalmic Solution"
"http://www.nlm.nih.gov/research/umls/rxnorm","1012079","prednisoLONE acetate 2.5 MG/ML"
"http://www.nlm.nih.gov/research/umls/rxnorm","1012080","prednisoLONE acetate 0.25 % / sulfacetamide sodium 10 % Ophthalmic Suspension"
"http://www.nlm.nih.gov/research/umls/rxnorm","1012084","prednisoLONE sodium phosphate 0.25 % / sulfacetamide sodium 10 % Ophthalmic Suspension"
"http://www.nlm.nih.gov/research/umls/rxnorm","1012085","prednisoLONE sodium phosphate 2.5 MG/ML / sulfacetamide sodium 100 MG/ML [Cetapred]"
"http://www.nlm.nih.gov/research/umls/rxnorm","1012086","prednisoLONE / sulfacetamide Ophthalmic Suspension [Cetapred]"
"http://www.nlm.nih.gov/research/umls/rxnorm","1012087","Cetapred (prednisoLONE sodium phosphate 0.25 % / sulfacetamide sodium 10 % ) Ophthalmic Suspension"
"http://www.nlm.nih.gov/research/umls/rxnorm","1012098","Sulster (prednisoLONE sodium phosphate 0.25 % / sulfacetamide sodium 10 % ) Ophthalmic Suspension"
"http://www.nlm.nih.gov/research/umls/rxnorm","1012117","prednisoLONE sodium phosphate 2.5 MG/ML / sulfacetamide sodium 100 MG/ML [Supred]"
"http://www.nlm.nih.gov/research/umls/rxnorm","1012118","Supred (prednisoLONE sodium phosphate 0.25 % / sulfacetamide sodium 10 % ) Ophthalmic Suspension"
"http://www.nlm.nih.gov/research/umls/rxnorm","1012149","prednisoLONE sodium phosphate 5 MG/ML"
"http://www.nlm.nih.gov/research/umls/rxnorm","1012150","prednisoLONE sodium phosphate 0.5 % / sulfacetamide sodium 10 % Ophthalmic Solution"
"http://www.nlm.nih.gov/research/umls/rxnorm","1012151","prednisoLONE sodium phosphate 5 MG/ML / sulfacetamide sodium 100 MG/ML [Optimyd]"
"http://www.nlm.nih.gov/research/umls/rxnorm","1012152","Optimyd (prednisoLONE sodium phosphate 0.5 % / sulfacetamide sodium 10 % ) Ophthalmic Solution"
"http://www.nlm.nih.gov/research/umls/rxnorm","1012175","prednisoLONE sodium phosphate 0.5 % / sulfacetamide sodium 10 % Ophthalmic Suspension"
"http://www.nlm.nih.gov/research/umls/rxnorm","1012176","prednisoLONE sodium phosphate 5 MG/ML / sulfacetamide sodium 100 MG/ML [AK-Cide]"
"http://www.nlm.nih.gov/research/umls/rxnorm","1012177","AK-Cide (prednisoLONE sodium phosphate 0.5 % / sulfacetamide sodium 10 % ) Ophthalmic Suspension"
"http://www.nlm.nih.gov/research/umls/rxnorm","1012187","prednisoLONE sodium phosphate 5 MG/ML / sulfacetamide sodium 100 MG/ML [Metimyd]"
"http://www.nlm.nih.gov/research/umls/rxnorm","1012188","Metimyd (prednisoLONE sodium phosphate 0.5 % / sulfacetamide sodium 10 % ) Ophthalmic Suspension"
"http://www.nlm.nih.gov/research/umls/rxnorm","1012206","prednisoLONE 3 MG/ML [AsmalPred Plus]"
"http://www.nlm.nih.gov/research/umls/rxnorm","1012207","prednisoLONE Oral Solution [AsmalPred Plus]"
"http://www.nlm.nih.gov/research/umls/rxnorm","1012208","prednisoLONE 3 MG/ML Oral Solution [AsmalPred Plus]"
"http://www.nlm.nih.gov/research/umls/rxnorm","1012213","prednisoLONE sodium phosphate 5 MG/ML / sulfacetamide sodium 100 MG/ML [Vasocidin]"
"http://www.nlm.nih.gov/research/umls/rxnorm","1012214","Vasocidin (prednisoLONE sodium phosphate 0.5 % / sulfacetamide sodium 10 % ) Ophthalmic Suspension"
"http://www.nlm.nih.gov/research/umls/rxnorm","1012224","prednisoLONE acetate 0.5 % / sulfacetamide sodium 10 % Ophthalmic Suspension"
