"system","code","display"
"http://www.nlm.nih.gov/research/umls/rxnorm","1008942","chloramphenicol / predniSONE"
"http://www.nlm.nih.gov/research/umls/rxnorm","105412","predniSONE 5 MG Oral Tablet [Decortisyl]"
"http://www.nlm.nih.gov/research/umls/rxnorm","1153052","chloramphenicol / predniSONE Topical Product"
"http://www.nlm.nih.gov/research/umls/rxnorm","1159297","piroxicam / predniSONE Oral Product"
"http://www.nlm.nih.gov/research/umls/rxnorm","1159298","piroxicam / predniSONE Pill"
"http://www.nlm.nih.gov/research/umls/rxnorm","1159299","piroxicam / predniSONE Rectal Product"
"http://www.nlm.nih.gov/research/umls/rxnorm","1161704","predniSONE Oral Liquid Product"
"http://www.nlm.nih.gov/research/umls/rxnorm","1161705","predniSONE Oral Product"
"http://www.nlm.nih.gov/research/umls/rxnorm","1161706","predniSONE Pill"
"http://www.nlm.nih.gov/research/umls/rxnorm","1161707","predniSONE Rectal Product"
"http://www.nlm.nih.gov/research/umls/rxnorm","1165700","meprednisone Oral Liquid Product"
"http://www.nlm.nih.gov/research/umls/rxnorm","1165701","meprednisone Oral Product"
"http://www.nlm.nih.gov/research/umls/rxnorm","1165702","meprednisone Pill"
"http://www.nlm.nih.gov/research/umls/rxnorm","1172410","Deltasone Oral Product"
"http://www.nlm.nih.gov/research/umls/rxnorm","1172411","Deltasone Pill"
"http://www.nlm.nih.gov/research/umls/rxnorm","1178982","Sterapred DS Oral Product"
"http://www.nlm.nih.gov/research/umls/rxnorm","1178983","Sterapred DS Pill"
"http://www.nlm.nih.gov/research/umls/rxnorm","1178984","Sterapred Oral Product"
"http://www.nlm.nih.gov/research/umls/rxnorm","1178985","Sterapred Pill"
"http://www.nlm.nih.gov/research/umls/rxnorm","1185258","Prednicot Oral Product"
"http://www.nlm.nih.gov/research/umls/rxnorm","1185259","Prednicot Pill"
"http://www.nlm.nih.gov/research/umls/rxnorm","1185261","Prednisone Intensol Oral Liquid Product"
"http://www.nlm.nih.gov/research/umls/rxnorm","1185262","Prednisone Intensol Oral Product"
"http://www.nlm.nih.gov/research/umls/rxnorm","1303124","predniSONE Delayed Release Oral Tablet"
"http://www.nlm.nih.gov/research/umls/rxnorm","1303125","predniSONE 1 MG Delayed Release Oral Tablet"
"http://www.nlm.nih.gov/research/umls/rxnorm","1303126","Rayos"
"http://www.nlm.nih.gov/research/umls/rxnorm","1303127","predniSONE 1 MG [Rayos]"
"http://www.nlm.nih.gov/research/umls/rxnorm","1303128","predniSONE Delayed Release Oral Tablet [Rayos]"
"http://www.nlm.nih.gov/research/umls/rxnorm","1303129","Rayos Oral Product"
"http://www.nlm.nih.gov/research/umls/rxnorm","1303130","Rayos Pill"
"http://www.nlm.nih.gov/research/umls/rxnorm","1303131","Rayos 1 MG Delayed Release Oral Tablet"
"http://www.nlm.nih.gov/research/umls/rxnorm","1303132","predniSONE 2 MG Delayed Release Oral Tablet"
"http://www.nlm.nih.gov/research/umls/rxnorm","1303133","predniSONE 2 MG [Rayos]"
"http://www.nlm.nih.gov/research/umls/rxnorm","1303134","Rayos 2 MG Delayed Release Oral Tablet"
"http://www.nlm.nih.gov/research/umls/rxnorm","1303135","predniSONE 5 MG Delayed Release Oral Tablet"
"http://www.nlm.nih.gov/research/umls/rxnorm","1303136","predniSONE 5 MG [Rayos]"
"http://www.nlm.nih.gov/research/umls/rxnorm","1303137","Rayos 5 MG Delayed Release Oral Tablet"
"http://www.nlm.nih.gov/research/umls/rxnorm","1742508","meprednisone disodium phosphate"
"http://www.nlm.nih.gov/research/umls/rxnorm","198144","predniSONE 1 MG Oral Tablet"
"http://www.nlm.nih.gov/research/umls/rxnorm","198145","predniSONE 10 MG Oral Tablet"
"http://www.nlm.nih.gov/research/umls/rxnorm","198146","predniSONE 2.5 MG Oral Tablet"
"http://www.nlm.nih.gov/research/umls/rxnorm","198148","predniSONE 50 MG Oral Tablet"
"http://www.nlm.nih.gov/research/umls/rxnorm","201082","predniSONE 1 MG Oral Tablet [Econosone]"
"http://www.nlm.nih.gov/research/umls/rxnorm","201083","predniSONE 5 MG Oral Tablet [Econosone]"
"http://www.nlm.nih.gov/research/umls/rxnorm","205301","predniSONE 5 MG/ML Oral Solution"
"http://www.nlm.nih.gov/research/umls/rxnorm","206199","predniSONE 1 MG/ML Oral Solution [Liquid Pred]"
"http://www.nlm.nih.gov/research/umls/rxnorm","206754","predniSONE 1 MG Oral Tablet [Meticorten]"
"http://www.nlm.nih.gov/research/umls/rxnorm","206755","predniSONE 1 MG Oral Tablet [Orasone]"
"http://www.nlm.nih.gov/research/umls/rxnorm","206837","Deltasone 2.5 MG Oral Tablet"
"http://www.nlm.nih.gov/research/umls/rxnorm","206954","Deltasone 5 MG Oral Tablet"
"http://www.nlm.nih.gov/research/umls/rxnorm","206955","predniSONE 5 MG Oral Tablet [Orasone]"
"http://www.nlm.nih.gov/research/umls/rxnorm","206956","predniSONE 5 MG Oral Tablet [Prednicen-M]"
"http://www.nlm.nih.gov/research/umls/rxnorm","206957","Sterapred 5 MG Oral Tablet"
"http://www.nlm.nih.gov/research/umls/rxnorm","206988","Deltasone 10 MG Oral Tablet"
"http://www.nlm.nih.gov/research/umls/rxnorm","206989","predniSONE 10 MG Oral Tablet [Orasone]"
"http://www.nlm.nih.gov/research/umls/rxnorm","206990","Sterapred DS 10 MG Oral Tablet"
"http://www.nlm.nih.gov/research/umls/rxnorm","206997","Deltasone 20 MG Oral Tablet"
"http://www.nlm.nih.gov/research/umls/rxnorm","206998","predniSONE 20 MG Oral Tablet [Orasone]"
"http://www.nlm.nih.gov/research/umls/rxnorm","207048","Deltasone 50 MG Oral Tablet"
"http://www.nlm.nih.gov/research/umls/rxnorm","207049","predniSONE 50 MG Oral Tablet [Orasone]"
"http://www.nlm.nih.gov/research/umls/rxnorm","220028","Sterapred"
