code	display
1008942	chloramphenicol / predniSONE
105412	predniSONE 5 MG Oral Tablet [Decortisyl]
1153052	chloramphenicol / predniSONE Topical Product
1159297	piroxicam / predniSONE Oral Product
1159298	piroxicam / predniSONE Pill
1159299	piroxicam / predniSONE Rectal Product
1161704	predniSONE Oral Liquid Product
1161705	predniSONE Oral Product
1161706	predniSONE Pill
1161707	predniSONE Rectal Product
1165700	meprednisone Oral Liquid Product
1165701	meprednisone Oral Product
1165702	meprednisone Pill
1172410	Deltasone Oral Product
1172411	Deltasone Pill
1178982	Sterapred DS Oral Product
1178983	Sterapred DS Pill
1178984	Sterapred Oral Product
1178985	Sterapred Pill
1185258	Prednicot Oral Product
1185259	Prednicot Pill
1185261	Prednisone Intensol Oral Liquid Product
1185262	Prednisone Intensol Oral Product
1303124	predniSONE Delayed Release Oral Tablet
1303125	predniSONE 1 MG Delayed Release Oral Tablet
1303126	Rayos
1303127	predniSONE 1 MG [Rayos]
1303128	predniSONE Delayed Release Oral Tablet [Rayos]
1303129	Rayos Oral Product
1303130	Rayos Pill
1303131	Rayos 1 MG Delayed Release Oral Tablet
1303132	predniSONE 2 MG Delayed Release Oral Tablet
1303133	predniSONE 2 MG [Rayos]
1303134	Rayos 2 MG Delayed Release Oral Tablet
1303135	predniSONE 5 MG Delayed Release Oral Tablet
1303136	predniSONE 5 MG [Rayos]
1303137	Rayos 5 MG Delayed Release Oral Tablet
1742508	meprednisone disodium phosphate
198144	predniSONE 1 MG Oral Tablet
198145	predniSONE 10 MG Oral Tablet
198146	predniSONE 2.5 MG Oral Tablet
198148	predniSONE 50 MG Oral Tablet
201082	predniSONE 1 MG Oral Tablet [Econosone]
201083	predniSONE 5 MG Oral Tablet [Econosone]
205301	predniSONE 5 MG/ML Oral Solution
206199	predniSONE 1 MG/ML Oral Solution [Liquid Pred]
206754	predniSONE 1 MG Oral Tablet [Meticorten]
206755	predniSONE 1 MG Oral Tablet [Orasone]
206837	Deltasone 2.5 MG Oral Tablet
206954	Deltasone 5 MG Oral Tablet
206955	predniSONE 5 MG Oral Tablet [Orasone]
206956	predniSONE 5 MG Oral Tablet [Prednicen-M]
206957	Sterapred 5 MG Oral Tablet
206988	Deltasone 10 MG Oral Tablet
206989	predniSONE 10 MG Oral Tablet [Orasone]
206990	Sterapred DS 10 MG Oral Tablet
206997	Deltasone 20 MG Oral Tablet
206998	predniSONE 20 MG Oral Tablet [Orasone]
207048	Deltasone 50 MG Oral Tablet
207049	predniSONE 50 MG Oral Tablet [Orasone]
220028	Sterapred
220029	Sterapred DS
227730	Deltasone
248682	meprednisone 8 MG Oral Tablet
248702	meprednisone 40 MG Oral Tablet
248725	meprednisone 4 MG Oral Tablet
248794	meprednisone 4 MG/ML Oral Solution
250996	piroxicam 10 MG / predniSONE 2 MG Delayed Release Oral Tablet
251947	piroxicam 10 MG / predniSONE 2 MG Oral Tablet
29523	meprednisone
312615	predniSONE 20 MG Oral Tablet
312616	predniSONE 25 MG Oral Tablet
312617	predniSONE 5 MG Oral Tablet
315187	predniSONE 1 MG/ML Oral Solution
316580	predniSONE 1 MG/ML
316581	predniSONE 2.5 MG
316582	predniSONE 20 MG
316583	predniSONE 25 MG
316584	predniSONE 5 MG
316585	predniSONE 5 MG/ML
316586	predniSONE 50 MG
317475	predniSONE 1 MG
317663	predniSONE 10 MG
334021	meprednisone 4 MG/ML
334022	meprednisone 4 MG
334023	meprednisone 40 MG
334024	meprednisone 8 MG
335473	predniSONE 2 MG
351399	PREDNICOT 5 MG Oral Tablet
351400	PREDNICOT 10 MG Oral Tablet
351401	PREDNICOT 20 MG Oral Tablet
352903	Prednicot
364008	predniSONE Oral Solution [Liquid Pred]
368654	predniSONE Oral Tablet [Prednicot]
368790	predniSONE Oral Tablet [Orasone]
368806	predniSONE Oral Tablet [Sterapred DS]
368812	predniSONE Oral Tablet [Sterapred]
368813	predniSONE Oral Tablet [Prednicen-M]
368867	predniSONE Oral Tablet [Meticorten]
372772	meprednisone Oral Solution
372773	meprednisone Oral Tablet
373495	piroxicam / predniSONE Delayed Release Oral Tablet
373583	predniSONE Oral Solution
373585	predniSONE Oral Tablet
376283	piroxicam / predniSONE Oral Tablet
380827	predniSONE Oral Tablet [Econosone]
380828	predniSONE Oral Tablet [Decortisyl]
418863	chloramphenicol 0.002 MG/MG / predniSONE 0.005 MG/MG Topical Ointment
420639	piroxicam 10 MG / predniSONE 2 MG Rectal Suppository
420771	predniSONE 5 MG Rectal Suppository
420772	predniSONE 30 MG Rectal Suppository
420773	predniSONE 100 MG Rectal Suppository
420774	predniSONE 10 MG Rectal Suppository
429331	predniSONE 8 MG Oral Tablet
429332	predniSONE 40 MG Oral Tablet
438434	predniSONE 0.005 MG/MG
438435	chloramphenicol / predniSONE Topical Ointment
450881	piroxicam / predniSONE Rectal Suppository
451141	predniSONE 100 MG
451142	predniSONE Rectal Suppository
451143	predniSONE 30 MG
451144	predniSONE 40 MG
451147	predniSONE 8 MG
539946	predniSONE 1 MG/ML [Liquid Pred]
541813	predniSONE 10 MG [Predone]
541814	predniSONE Oral Tablet [Predone]
541815	predniSONE 10 MG Oral Tablet [Predone]
541871	predniSONE 20 MG [Predone]
541872	predniSONE 20 MG Oral Tablet [Predone]
564054	predniSONE 5 MG [Decortisyl]
565678	predniSONE 1 MG [Econosone]
565679	predniSONE 5 MG [Econosone]
567565	predniSONE 1 MG [Meticorten]
567566	predniSONE 1 MG [Orasone]
567645	predniSONE 2.5 MG [Deltasone]
567755	predniSONE 5 MG [Deltasone]
567756	predniSONE 5 MG [Orasone]
567757	predniSONE 5 MG [Prednicen-M]
567758	predniSONE 5 MG [Sterapred]
567784	predniSONE 10 MG [Deltasone]
567785	predniSONE 10 MG [Orasone]
567786	predniSONE 10 MG [Sterapred DS]
567793	predniSONE 20 MG [Deltasone]
567794	predniSONE 20 MG [Orasone]
567841	predniSONE 50 MG [Deltasone]
567842	predniSONE 50 MG [Orasone]
575330	predniSONE 5 MG [Prednicot]
575331	predniSONE 10 MG [Prednicot]
575332	predniSONE 20 MG [Prednicot]
582600	Prednisone Intensol
582601	predniSONE 5 MG/ML [predniSONE Intensol]
582602	predniSONE Oral Solution [predniSONE Intensol]
582603	Prednisone Intensol 5 MG/ML Oral Solution
746379	predniSONE Oral Capsule
746380	predniSONE 10 MG Oral Capsule
746836	predniSONE 20 MG Oral Capsule
746837	predniSONE 5 MG Oral Capsule
763179	{48 (predniSONE 5 MG Oral Tablet) } Pack
763181	predniSONE 5 MG Tablet 21 Count Pack
763183	{48 (predniSONE 10 MG Oral Tablet) } Pack
763185	{21 (predniSONE 10 MG Oral Tablet) } Pack
795854	{12 (predniSONE 5 MG Oral Tablet) } Pack
795855	Sterapred Uni-Pak 12 Day
795856	{6 (predniSONE 5 MG Oral Tablet) } Pack
795857	Sterapred Uni-Pak 6 Day
795860	{6 (predniSONE 10 MG Oral Tablet) } Pack
795861	Sterapred DS Uni-Pak 6 Day
815961	piroxicam / predniSONE
834395	{25 (predniSONE 10 MG Oral Tablet) } Pack
845491	Sterapred 5 MG 12 Day Uni-Pak
845492	Sterapred 5 MG Uni-Pak
