code	display
1157967	Rituximab Injectable Product
1185345	Rituxan Injectable Product
121191	Rituximab
1657861	Rituximab Injection
1657862	10 ML Rituximab 10 MG/ML Injection
1657863	Rituximab Injection [Rituxan]
1657864	Rituxan 100 MG in 10 ML Injection
1657865	Rituximab 10 MG/ML Injection
1657866	Rituxan 10 MG/ML Injection
1657867	50 ML Rituximab 10 MG/ML Injection
1657868	Rituxan 500 MG in 50 ML Injection
1927881	Rituximab 120 MG/ML
1927882	hyaluronidase / Rituximab Injectable Product
1927883	hyaluronidase / Rituximab Injection
1927884	hyaluronidase / Rituximab
1927885	11.7 ML hyaluronidase, human recombinant 2000 UNT/ML / Rituximab 120 MG/ML Injection
1927886	Rituxan Hycela
1927887	hyaluronidase, human recombinant 2000 UNT/ML / Rituximab 120 MG/ML [Rituxan Hycela]
1927888	hyaluronidase / Rituximab Injection [Rituxan Hycela]
1927889	Rituxan Hycela Injectable Product
1927890	Rituxan Hycela 1400 MG / 23,400 UNT in 11.7 ML Injection
1927891	hyaluronidase, human recombinant 2000 UNT/ML / Rituximab 120 MG/ML Injection
1927892	hyaluronidase, human recombinant 2000 UNT/ML / Rituximab 120 MG/ML Injection [Rituxan Hycela]
1927893	13.4 ML hyaluronidase, human recombinant 2000 UNT/ML / Rituximab 120 MG/ML Injection
1927894	Rituxan Hycela 1600 MG / 26,800 UNT in 13.4 ML Injection
2105824	Rituximab-abbs
2105825	Rituximab-abbs 10 MG/ML
2105826	10 ML Rituximab-abbs 10 MG/ML Injection
2105827	Truxima
2105828	Rituximab-abbs 10 MG/ML [Truxima]
2105829	Rituximab Injection [Truxima]
2105830	Truxima Injectable Product
2105831	10 ML Truxima 10 MG/ML Injection
2105832	Rituximab-abbs 10 MG/ML Injection
2105833	Truxima 10 MG/ML Injection
2105834	50 ML Rituximab-abbs 10 MG/ML Injection
2105835	50 ML Truxima 10 MG/ML Injection
226754	Rituxan
2273510	Rituximab-pvvr
2273511	Rituximab-pvvr 10 MG/ML
2273512	10 ML Rituximab-pvvr 10 MG/ML Injection
2273513	Ruxience
2273514	Rituximab-pvvr 10 MG/ML [Ruxience]
2273515	Rituximab Injection [Ruxience]
2273516	Ruxience Injectable Product
2273517	10 ML Ruxience 10 MG/ML Injection
2273518	Rituximab-pvvr 10 MG/ML Injection
2273519	Ruxience 10 MG/ML Injection
2273520	50 ML Rituximab-pvvr 10 MG/ML Injection
2273521	50 ML Ruxience 10 MG/ML Injection
2472325	Rituximab-arrx
2472326	Rituximab-arrx 10 MG/ML
2472327	10 ML Rituximab-arrx 10 MG/ML Injection
2472329	Rituximab-arrx 10 MG/ML [Riabni]
2472330	Rituximab Injection [Riabni]
2472332	10 ML Rituximab-arrx 10 MG/ML Injection [Riabni]
2472333	Rituximab-arrx 10 MG/ML Injection
2472334	Rituximab-arrx 10 MG/ML Injection [Riabni]
2472335	50 ML Rituximab-arrx 10 MG/ML Injection
2472336	50 ML Rituximab-arrx 10 MG/ML Injection [Riabni]
2646070	hyaluronidase, human recombinant / Rituximab Injection
2646375	Rituximab-abbs Injection
2647172	Rituximab-pvvr Injection
2647548	Rituximab-arrx Injection
2654386	hyaluronidase, human recombinant / Rituximab Injection [Rituxan Hycela]
2654837	Rituximab-pvvr Injection [Ruxience]
2655716	Rituximab-abbs Injection [Truxima]
2657079	Rituximab-arrx Injection [Riabni]
2660105	Rituximab-arrx Injectable Product
2662462	Rituximab-abbs Injectable Product
2663237	hyaluronidase, human recombinant / Rituximab Injectable Product
2663424	Rituximab-pvvr Injectable Product
316648	Rituximab 10 MG/ML
573051	Rituximab 10 MG/ML [Rituxan]
