"system","code","display"
"http://www.nlm.nih.gov/research/umls/rxnorm","108513","Prograf 1 MG Oral Capsule"
"http://www.nlm.nih.gov/research/umls/rxnorm","108514","Prograf 5 MG Oral Capsule"
"http://www.nlm.nih.gov/research/umls/rxnorm","108515","Prograf 5 MG in 1 ML Injection"
"http://www.nlm.nih.gov/research/umls/rxnorm","1163655","tacrolimus Injectable Product"
"http://www.nlm.nih.gov/research/umls/rxnorm","1164202","tacrolimus Oral Product"
"http://www.nlm.nih.gov/research/umls/rxnorm","1164203","tacrolimus Pill"
"http://www.nlm.nih.gov/research/umls/rxnorm","1164204","tacrolimus Topical Product"
"http://www.nlm.nih.gov/research/umls/rxnorm","1180662","Prograf Injectable Product"
"http://www.nlm.nih.gov/research/umls/rxnorm","1180663","Prograf Oral Product"
"http://www.nlm.nih.gov/research/umls/rxnorm","1180664","Prograf Pill"
"http://www.nlm.nih.gov/research/umls/rxnorm","1182458","Protopic Topical Product"
"http://www.nlm.nih.gov/research/umls/rxnorm","1235237","tacrolimus 0.5 MG [Hecoria]"
"http://www.nlm.nih.gov/research/umls/rxnorm","1235238","tacrolimus Oral Capsule [Hecoria]"
"http://www.nlm.nih.gov/research/umls/rxnorm","1235241","tacrolimus 0.5 MG Oral Capsule [Hecoria]"
"http://www.nlm.nih.gov/research/umls/rxnorm","1235242","tacrolimus 1 MG [Hecoria]"
"http://www.nlm.nih.gov/research/umls/rxnorm","1235243","tacrolimus 1 MG Oral Capsule [Hecoria]"
"http://www.nlm.nih.gov/research/umls/rxnorm","1235244","tacrolimus 5 MG [Hecoria]"
"http://www.nlm.nih.gov/research/umls/rxnorm","1235245","tacrolimus 5 MG Oral Capsule [Hecoria]"
"http://www.nlm.nih.gov/research/umls/rxnorm","1431970","tacrolimus Extended Release Oral Capsule"
"http://www.nlm.nih.gov/research/umls/rxnorm","1431971","tacrolimus 0.5 MG 24HR Extended Release Oral Capsule"
"http://www.nlm.nih.gov/research/umls/rxnorm","1431973","tacrolimus 0.5 MG [Astagraf]"
"http://www.nlm.nih.gov/research/umls/rxnorm","1431974","tacrolimus Extended Release Oral Capsule [Astagraf]"
"http://www.nlm.nih.gov/research/umls/rxnorm","1431977","24 HR tacrolimus 0.5 MG Extended Release Oral Capsule [Astagraf]"
"http://www.nlm.nih.gov/research/umls/rxnorm","1431978","tacrolimus 0.5 MG Extended Release Oral Capsule"
"http://www.nlm.nih.gov/research/umls/rxnorm","1431979","tacrolimus 0.5 MG Extended Release Oral Capsule [Astagraf]"
"http://www.nlm.nih.gov/research/umls/rxnorm","1431980","tacrolimus 1 MG 24HR Extended Release Oral Capsule"
"http://www.nlm.nih.gov/research/umls/rxnorm","1431981","tacrolimus 1 MG [Astagraf]"
"http://www.nlm.nih.gov/research/umls/rxnorm","1431982","24 HR tacrolimus 1 MG Extended Release Oral Capsule [Astagraf]"
"http://www.nlm.nih.gov/research/umls/rxnorm","1431983","tacrolimus 1 MG Extended Release Oral Capsule"
