code	display
108513	Prograf 1 MG Oral Capsule
108513	tacrolimus 1 MG Oral Capsule [Prograf]
108514	Prograf 5 MG Oral Capsule
108514	tacrolimus 5 MG Oral Capsule [Prograf]
108515	1 ML tacrolimus 5 MG/ML Injection [Prograf]
108515	Prograf 5 MG in 1 ML Injection
108515	Prograf 5 MG per 1 ML Injection
1163655	tacrolimus Injectable Product
1164202	tacrolimus Oral Product
1164203	tacrolimus Pill
1164204	tacrolimus Topical Product
1180662	Prograf Injectable Product
1180663	Prograf Oral Product
1180664	Prograf Pill
1431970	tacrolimus Extended Release Oral Capsule
1431971	24 HR tacrolimus 0.5 MG Extended Release Oral Capsule
1431971	tacrolimus 0.5 MG (as anhydrous tacrolimus) 24 HR Extended Release Oral Capsule
1431971	tacrolimus 0.5 MG 24HR Extended Release Oral Capsule
1431973	tacrolimus 0.5 MG [Astagraf]
1431974	tacrolimus Extended Release Oral Capsule [Astagraf]
1431977	24 HR tacrolimus 0.5 MG Extended Release Oral Capsule [Astagraf]
1431980	24 HR tacrolimus 1 MG Extended Release Oral Capsule
1431980	tacrolimus 1 MG (as anhydrous tacrolimus) 24 HR Extended Release Oral Capsule
1431980	tacrolimus 1 MG 24HR Extended Release Oral Capsule
1431981	tacrolimus 1 MG [Astagraf]
1431982	24 HR tacrolimus 1 MG Extended Release Oral Capsule [Astagraf]
1431982	Astagraf XL 1 MG (as anhydrous tacrolimus) 24 HR Extended Release Oral Capsule
1431985	24 HR tacrolimus 5 MG Extended Release Oral Capsule
1431985	tacrolimus 5 MG (as anhydrous tacrolimus) 24 HR Extended Release Oral Capsule
1431985	tacrolimus 5 MG 24HR Extended Release Oral Capsule
1431986	tacrolimus 5 MG [Astagraf]
1431987	24 HR tacrolimus 5 MG Extended Release Oral Capsule [Astagraf]
1431987	Astagraf XL 5 MG (as anhydrous tacrolimus) 24 HR Extended Release Oral Capsule
1664432	tacrolimus 4 MG
1664433	tacrolimus Extended Release Oral Tablet
1664434	24 HR tacrolimus 4 MG Extended Release Oral Tablet
1664434	tacrolimus 4 MG (as anhydrous tacrolimus) 24HR Extended Release Tablet
1664434	tacrolimus 4 MG 24HR Extended Release Tablet
1664435	Envarsus
1664436	tacrolimus 4 MG [Envarsus]
1664437	tacrolimus Extended Release Oral Tablet [Envarsus]
1664438	Envarsus Oral Product
1664439	Envarsus Pill
1664440	24 HR Envarsus 4 MG Extended Release Oral Tablet
1664440	24 HR tacrolimus 4 MG Extended Release Oral Tablet [Envarsus]
1664440	Envarsus XR 4 MG 24HR Extended Release Oral Tablet
1664455	tacrolimus 0.75 MG
1664456	24 HR tacrolimus 0.75 MG Extended Release Oral Tablet
1664456	tacrolimus 0.75 MG (as anhydrous tacrolimus) 24 HR Extended Release Oral Tablet
1664456	tacrolimus 0.75 MG 24HR Extended Release Oral Tablet
1664457	tacrolimus 0.75 MG [Envarsus]
1664458	24 HR Envarsus 0.75 MG Extended Release Oral Tablet
1664458	24 HR tacrolimus 0.75 MG Extended Release Oral Tablet [Envarsus]
1664458	Envarsus XR 0.75 MG 24HR Extended Release Oral Tablet
1664461	24 HR tacrolimus 1 MG Extended Release Oral Tablet
1664461	tacrolimus 1 MG (as anhydrous tacrolimus) 24 HR Extended Release Oral Tablet
1664461	tacrolimus 1 MG 24HR Extended Release Oral Tablet
1664462	tacrolimus 1 MG [Envarsus]
1664463	24 HR Envarsus 1 MG Extended Release Oral Tablet
1664463	24 HR tacrolimus 1 MG Extended Release Oral Tablet [Envarsus]
1664463	Envarsus XR 1 MG 24HR Extended Release Oral Tablet
1738334	tacrolimus Injection
1738336	tacrolimus Injection [Prograf]
196463	Prograf
198377	tacrolimus 1 MG (as anhydrous tacrolimus) Oral Capsule
198377	tacrolimus 1 MG Oral Capsule
198378	tacrolimus 5 MG (as anhydrous tacrolimus) Oral Capsule
198378	tacrolimus 5 MG Oral Capsule
198379	1 ML tacrolimus 5 MG/ML Injection
198379	tacrolimus 5 MG in 1 ML Injection
198379	tacrolimus 5 MG per 1 ML Injection
2052503	tacrolimus 0.2 MG
2052603	tacrolimus Granule Product
2052604	tacrolimus Granules for Oral Suspension
2052605	tacrolimus 0.2 MG Granules for Oral Suspension
2052606	tacrolimus 0.2 MG [Prograf]
2052607	tacrolimus Granules for Oral Suspension [Prograf]
