code	display
1011	lymphocyte immune globulin, anti-thymocyte globulin
107047	anti-thymocyte globulin (rabbit) 25 MG Injection
107047	lymphocyte immune globulin, anti-thymocyte globulin, rabbit 25 MG Injection
197906	5 ML lymphocyte immune globulin, anti-thymocyte globulin, equine 50 MG/ML Injection
206289	5 ML lymphocyte immune globulin, anti-thymocyte globulin, equine 50 MG/ML Injection [ATGAM]
2282514	lymphocyte immune globulin, anti-thymocyte globulin, equine 50 MG/ML
2282515	lymphocyte immune globulin, anti-thymocyte globulin Injectable Product
2282516	lymphocyte immune globulin, anti-thymocyte globulin Injection
2282518	lymphocyte immune globulin, anti-thymocyte globulin, equine 50 MG/ML [ATGAM]
2282519	lymphocyte immune globulin, anti-thymocyte globulin Injection [ATGAM]
2282528	lymphocyte immune globulin, anti-thymocyte globulin Injection [Thymoglobulin]
2645851	lymphocyte immune globulin, anti-thymocyte globulin, equine Injection
2656074	lymphocyte immune globulin, anti-thymocyte globulin, equine Injection [ATGAM]
2659841	lymphocyte immune globulin, anti-thymocyte globulin, equine Injectable Product
91601	lymphocyte immune globulin, anti-thymocyte globulin, equine
