code	display
1158757	sirolimus Oral Liquid Product
1158758	sirolimus Oral Product
1158759	sirolimus Pill
1161488	temsirolimus Injectable Product
1177701	Rapamune Oral Liquid Product
1177702	Rapamune Oral Product
1177703	Rapamune Pill
1724304	temsirolimus Injection
1724306	temsirolimus Injection [Torisel]
258355	Rapamune
2586860	sirolimus 100 MG
2586861	sirolimus Injectable Product
2586862	sirolimus Injection
2586863	sirolimus 100 MG Injection
2586865	sirolimus 100 MG [Fyarro]
2586867	sirolimus Injection [Fyarro]
2586868	sirolimus 100 MG Injection [Fyarro]
2596861	sirolimus 0.002 MG/MG
2596862	sirolimus Topical Product
2596863	sirolimus Topical Gel
2596864	sirolimus 0.002 MG/MG Topical Gel
2596864	sirolimus 0.2 % Topical Gel
2596866	sirolimus 0.002 MG/MG [Hyftor]
2596868	sirolimus Topical Gel [Hyftor]
2596869	sirolimus 0.002 MG/MG Topical Gel [Hyftor]
314230	sirolimus 1 MG in 1 mL Oral Solution
314230	sirolimus 1 MG per 1 ML Oral Solution
314230	sirolimus 1 MG/ML Oral Solution
333296	sirolimus 1 MG/ML
349208	sirolimus 1 MG Oral Tablet
350512	sirolimus 1 MG
351901	Rapamune 1 MG in 1 mL Oral Solution
351901	Rapamune 1 MG per 1 ML Oral Solution
351901	Rapamune 1 MG/ML Oral Solution
351901	sirolimus 1 MG/ML Oral Solution [Rapamune]
351989	Rapamune 1 MG Oral Tablet
351989	sirolimus 1 MG Oral Tablet [Rapamune]
35302	sirolimus
360110	sirolimus 2 MG Oral Tablet
360318	sirolimus 2 MG
364904	sirolimus Oral Solution [Rapamune]
368672	sirolimus Oral Tablet [Rapamune]
375278	sirolimus Oral Solution
378277	sirolimus Oral Tablet
404432	Rapamune 2 MG Oral Tablet
404432	sirolimus 2 MG Oral Tablet [Rapamune]
575659	sirolimus 1 MG/ML [Rapamune]
575733	sirolimus 1 MG [Rapamune]
576390	sirolimus 2 MG [Rapamune]
657797	temsirolimus
722287	temsirolimus 25 MG/ML
722289	1.2 ML temsirolimus 25 MG/ML Injection
722289	temsirolimus 25 MG/ML in 1.2 ML Injection
722289	temsirolimus 25 MG/ML per 1.2 ML Injection
725106	temsirolimus 25 MG/ML [Torisel]
725108	1.2 ML temsirolimus 25 MG/ML Injection [Torisel]
905157	sirolimus 0.5 MG
905158	sirolimus 0.5 MG Oral Tablet
905159	sirolimus 0.5 MG [Rapamune]
905160	Rapamune 0.5 MG Oral Tablet
905160	sirolimus 0.5 MG Oral Tablet [Rapamune]
