"system","code","display","include","likely","preop","transplant","lab","imaging","outcome","rejection","failure"
"http://snomed.info/sct","113127005","Kidney transplant evaluation (procedure)","true","true","false","false","false","false","false","false","false"
"http://snomed.info/sct","152210002","Renal transplant planned (situation)","true","true","false","false","false","false","false","false","false"
"http://snomed.info/sct","1721000119108","Patient awaiting renal transplant","true","true","false","false","false","false","false","false","false"
"http://snomed.info/sct","183985008","Renal transplant planned (situation)","true","true","false","false","false","false","false","false","false"
"http://snomed.info/sct","313030004","Donor renal transplantation (procedure)","true","true","false","false","false","false","false","false","false"
"http://snomed.info/sct","420970005","Donor kidney graft (substance)","true","true","false","false","false","false","false","false","false"
"http://snomed.info/sct","420970005","Donor transplant kidney (substance)","true","true","false","false","false","false","false","false","false"
"http://snomed.info/sct","428629007","Pretransplant evaluation of live kidney donor","true","true","false","false","false","false","false","false","false"
"http://snomed.info/sct","429496005","Examination of live donor after kidney transplant","true","true","false","false","false","false","false","false","false"
"http://snomed.info/sct","49201000175103","On waiting list for renal transplant (finding)","true","true","false","false","false","false","false","false","false"
"http://snomed.info/sct","697982000","Referral to surgical transplant service for renal transplant evaluation (procedure)","true","true","false","false","false","false","false","false","false"
"http://snomed.info/sct","698306007","Awaiting renal transplant","true","true","false","false","false","false","false","false","false"
"http://snomed.info/sct","698306007","Awaiting transplantation of kidney (situation)","true","true","false","false","false","false","false","false","false"
"http://snomed.info/sct","763471008","Fluoroscopic venogram of renal vein using contrast with insertion of metallic stent graft","true","true","false","false","false","false","false","false","false"
"http://snomed.info/sct","763471008","Fluoroscopic venography of renal vein using contrast with insertion of metallic stent graft","true","true","false","false","false","false","false","false","false"
"http://snomed.info/sct","763471008","Fluoroscopic venography of renal vein using contrast with insertion of metallic stent graft (procedure)","true","true","false","false","false","false","false","false","false"
"http://www.ama-assn.org/go/cpt","0319U","RNA expression by select transcriptome sequencing in pre-kidney transplant peripheral blood specimen, algorithm reported as risk score for early acute rejection","true","true","false","false","false","false","false","false","false"
"http://www.ama-assn.org/go/cpt","50323","Backbench standard preparation of cadaver donor renal allograft prior to transplantation, including dissection and removal of perinephric fat, diaphragmatic and retroperitoneal attachments, excision of adrenal gland, and preparation of ureter(s), renal vein(s), and renal artery(s), ligating branches, as necessary","true","true","false","false","false","false","false","false","false"
"http://snomed.info/sct","23137002","Anaesthesia for renal transplant, recipient","true","false","true","false","false","false","false","false","false"
"http://www.ama-assn.org/go/cpt","0018M","Measurement of kidney donor and third-party-induced CD154+T-cytotoxic memory cells in whole peripheral blood specimen, algorithm reported as kidney transplant rejection risk score","true","false","true","false","false","false","false","false","false"
"http://www.ama-assn.org/go/cpt","00862","Anesthesia for procedure on upper urinary tubes or removal of kidney for transplant","true","false","true","false","false","false","false","false","false"
"http://www.ama-assn.org/go/cpt","00868","Anesthesia for kidney transplant","true","false","true","false","false","false","false","false","false"
"http://www.ama-assn.org/go/cpt","1008104","Backbench reconstruction of cadaver or living donor renal allograft prior to transplantation","true","false","true","false","false","false","false","false","false"
"http://www.ama-assn.org/go/cpt","50323","BKBENCH PREPJ CADAVER DONOR RENAL ALLOGRAFT","true","false","true","false","false","false","false","false","false"
"http://www.ama-assn.org/go/cpt","50323","Preparation of donor kidney for transplantation","true","false","true","false","false","false","false","false","false"
"http://www.ama-assn.org/go/cpt","50325","PREP DONOR RENAL GRAFT","true","false","true","false","false","false","false","false","false"
"http://www.ama-assn.org/go/cpt","50325","Preparation of living donor kidney for transplantation","true","false","true","false","false","false","false","false","false"
"http://www.ama-assn.org/go/cpt","50327","PREP RENAL GRAFT/VENOUS","true","false","true","false","false","false","false","false","false"
"http://www.ama-assn.org/go/cpt","50328","PREP RENAL GRAFT/ARTERIAL","true","false","true","false","false","false","false","false","false"
"http://www.ama-assn.org/go/cpt","50329","PREP RENAL GRAFT/URETERAL","true","false","true","false","false","false","false","false","false"
"http://snomed.info/sct","1334075008","Ultrasonography of transplanted left kidney with contrast","true","false","false","false","false","true","false","false","false"
"http://snomed.info/sct","1334076009","Ultrasonography of transplanted right kidney with contrast","true","false","false","false","false","true","false","false","false"
"http://snomed.info/sct","1334077000","Ultrasonography of transplanted bilateral kidneys with contrast","true","false","false","false","false","true","false","false","false"
"http://snomed.info/sct","1339028005","CT angiography of transplanted renal artery with contrast","true","false","false","false","false","true","false","false","false"
"http://snomed.info/sct","1344862006","Fluoroscopy guided percutaneous transluminal angioplasty of renal transplant with contrast","true","false","false","false","false","true","false","false","false"
"http://snomed.info/sct","241249008","Renal transplant arteriogram","true","false","false","false","false","true","false","false","false"
