"system","code","display","include","likely","preop","transplant","rejection","failure","outcome","lab","imaging"
"http://www.ama-assn.org/go/cpt","50327","PREP RENAL GRAFT/VENOUS","true",,"true",,,,,,
"http://www.cms.gov/Medicare/Coding/ICD10","0TY00Z1","Transplantation of Right Kidney, Syngeneic, Open Approach","true",,,"true",,,,,
"http://www.cms.gov/Medicare/Coding/ICD10","B40M0Z","Imaging @ Lower Arteries @ Plain Radiography @ Renal Artery Transplant @ High Osmolar @ None","true",,,,,,,,"true"
"http://www.cms.gov/Medicare/Coding/ICD10","BT290","Imaging @ Urinary System @ Computerized Tomography (CT Scan) @ Kidney Transplant @ High Osmolar","true",,,,,,,,"true"
"http://www.cms.gov/Medicare/Coding/ICD10","BT2910Z","CT Scan Kidney Transplant w L Osm Contrast, Unenh, Enhance","true",,,,,,,,"true"
"http://www.cms.gov/Medicare/Coding/ICD10","BT29Y0Z","Computerized Tomography (CT Scan) of Kidney Transplant using Other Contrast, Unenhanced and Enhanced","true",,,,,,,,"true"
"http://www.cms.gov/Medicare/Coding/ICD10","BT39","Imaging @ Urinary System @ Magnetic Resonance Imaging (MRI) @ Kidney Transplant","true",,,,,,,,"true"
"http://snomed.info/sct","1334061001","Retrograde insertion of stent into right ureter of transplanted kidney using fluoroscopic guidance","true",,,"true",,,,,
"http://www.cms.gov/Medicare/Coding/ICD10","0TY10Z0","Transplantation of Left Kidney, Allogeneic, Open Approach","true",,,"true",,,,,
"http://www.cms.gov/Medicare/Coding/ICD10","B42M","Imaging @ Lower Arteries @ Computerized Tomography (CT Scan) @ Renal Artery Transplant","true",,,,,,,,"true"
"http://www.cms.gov/Medicare/Coding/ICD10","B42MZ2Z","Computerized Tomography (CT Scan) of Renal Artery Transplant using Intravascular Optical Coherence","true",,,,,,,,"true"
"http://www.cms.gov/Medicare/Coding/ICD10","BT290ZZ","CT Scan of Kidney Transplant using H Osm Contrast","true",,,,,,,,"true"
"http://www.cms.gov/Medicare/Coding/ICD10","BT2910","Imaging @ Urinary System @ Computerized Tomography (CT Scan) @ Kidney Transplant @ Low Osmolar @ Unenhanced and Enhanced","true",,,,,,,,"true"
"http://www.cms.gov/Medicare/Coding/ICD10","BT29ZZZ","Computerized Tomography (CT Scan) of Kidney Transplant","true",,,,,,,,"true"
"http://www.cms.gov/Medicare/Coding/ICD10","BT39Y0","Imaging @ Urinary System @ Magnetic Resonance Imaging (MRI) @ Kidney Transplant @ Other Contrast @ Unenhanced and Enhanced","true",,,,,,,,"true"
"http://www.cms.gov/Medicare/Coding/ICD10","BT49ZZZ","Ultrasonography of Kidney Transplant","true",,,,,,,,"true"
"http://snomed.info/sct","1334075008","Ultrasonography of transplanted left kidney with contrast","true",,,,,,,,"true"
"http://snomed.info/sct","1334076009","Ultrasonography of transplanted right kidney with contrast","true",,,,,,,,"true"
"http://snomed.info/sct","152210002","Renal transplant planned (situation)","true","true",,,,,,,
"http://www.ama-assn.org/go/cpt","50323","BKBENCH PREPJ CADAVER DONOR RENAL ALLOGRAFT","true",,"true",,,,,,
"http://www.ama-assn.org/go/cpt","76776","Ultrasound scan of transplanted kidney","true",,,,,,,,"true"
"http://hl7.org/fhir/sid/icd-10-cm","Z94.0","Kidney transplant status","true",,,"true",,,,,
"http://www.cms.gov/Medicare/Coding/ICD10","BT29","Imaging @ Urinary System @ Computerized Tomography (CT Scan) @ Kidney Transplant","true",,,,,,,,"true"
"http://snomed.info/sct","161665007","History of renal transplant (situation)","true",,,"true",,,,,
"http://snomed.info/sct","286624003","Allograft kidney (substance)","true",,,"true",,,,,
"http://snomed.info/sct","428575007","Hypertension secondary to kidney transplant","false",,,,,,"true",,
"http://snomed.info/sct","764643003","Fluoroscopy guided removal of nephrostomy tube from transplanted kidney","true",,,,,,,,"true"
"http://www.ama-assn.org/go/cpt","00862","Anesthesia for procedure on upper urinary tubes or removal of kidney for transplant","true",,"true",,,,,,
"http://www.cms.gov/Medicare/Coding/ICD10","B42M0","Imaging @ Lower Arteries @ Computerized Tomography (CT Scan) @ Renal Artery Transplant @ High Osmolar","true",,,,,,,,"true"
"http://www.cms.gov/Medicare/Coding/ICD10","B42M1Z","Imaging @ Lower Arteries @ Computerized Tomography (CT Scan) @ Renal Artery Transplant @ Low Osmolar @ None","true",,,,,,,,"true"
"http://www.cms.gov/Medicare/Coding/ICD10","BT39Y","Imaging @ Urinary System @ Magnetic Resonance Imaging (MRI) @ Kidney Transplant @ Other Contrast","true",,,,,,,,"true"
"http://hl7.org/fhir/sid/icd-9-cm","V42.0","Kidney transplant status","true",,,"true",,,,,
"http://snomed.info/sct","1344862006","Fluoroscopy guided percutaneous transluminal angioplasty of renal transplant with contrast","false",,,,,,"true",,
"http://snomed.info/sct","428629007","Pretransplant evaluation of live kidney donor","true","true",,,,,,,
"http://snomed.info/sct","698306007","Awaiting transplantation of kidney (situation)","true","true",,,,,,,
"http://snomed.info/sct","711411006","Allotransplantation of kidney from beating heart cadaver (procedure)","true",,,"true",,,,,
"http://hl7.org/fhir/sid/icd-9-cm","55.53","Removal of transplanted or rejected kidney","false",,,,,"true",,,
"http://snomed.info/sct","128631000119109","Chronic graft-versus-host disease following kidney transplant","false",,,,,,"true",,
"http://snomed.info/sct","145781000119106","Infection of transplanted kidney","false",,,,,,"true",,
"http://snomed.info/sct","236568008","Kidney transplant disorder","false",,,,,,"true",,
"http://snomed.info/sct","429933006","Fluoroscopy guided percutaneous transluminal cutting balloon angioplasty of transplanted renal artery with contrast","false",,,,,,"true",,
"http://snomed.info/sct","713825007","Renal artery stenosis of transplanted kidney","false",,,,,,"true",,
"http://hl7.org/fhir/sid/icd-10-cm","T86.1","Complications of kidney transplant","false",,,,,,"true",,
"http://hl7.org/fhir/sid/icd-10-cm","T86.12","Kidney transplant failure","false",,,,,"true",,,
