system,code,display
http://loinc.org,100746-7,"Glucose, Blood"
http://loinc.org,101132-9,"Glucose post XXX challenge panel, Blood"
http://loinc.org,101308-5,"Glucose post arginine stimulation panel, Blood"
http://loinc.org,101309-3,"Glucose 2 hr after Arginine, Blood"
http://loinc.org,101476-0,"Glucose after Fast, Blood"
http://loinc.org,101652-6,"Somatotropin and glucose post glucose stimulation panel, Blood"
http://loinc.org,101977-7,"Cortisol, glucose and somatotropin post glucagon stimulation panel, Blood"
http://loinc.org,101978-5,"Glucose and somatotropin post glucagon stimulation panel, Blood"
http://loinc.org,101980-1,"Glucose, somatotropin and cortisol post insulin administration, Blood"
http://loinc.org,102018-9,"Glucose 1 hr after Glucagon, Blood"
http://loinc.org,102019-7,"Glucose 1.5 hr after Glucagon, Blood"
http://loinc.org,102020-5,"Glucose 2 hr after Glucagon, Blood"
http://loinc.org,102021-3,"Glucose 2.5 hr after Glucagon, Blood"
http://loinc.org,102022-1,"Glucose 3 hr after Glucagon, Blood"
http://loinc.org,102032-0,"Glucose 2 hr after Insulin intravenous, Blood"
http://loinc.org,102076-7,"Insulin 3.5 hr after 75 g glucose by mouth, Blood"
http://loinc.org,10449-7,"Glucose 1 hr after Meal, Blood"
http://loinc.org,10450-5,"Glucose after 10 hr Fast, Blood"
http://loinc.org,104597-0,"Glucose, Blood"
http://loinc.org,104598-8,"Glucose, Blood"
http://loinc.org,104655-6,"Glucose, Blood"
http://loinc.org,104708-3,"Estimated average glucose, Blood"
http://loinc.org,104873-5,"Glucose dumping syndrome panel, Blood"
http://loinc.org,104875-0,"Hematocrit 30 min after glucose, Blood"
http://loinc.org,104876-8,"Hematocrit 1 hr after glucose, Blood"
http://loinc.org,104877-6,"Hematocrit 1.5 hr after glucose, Blood"
http://loinc.org,104878-4,"Hematocrit 2 hr after glucose, Blood"
http://loinc.org,104879-2,"Hematocrit 2.5 hr after glucose, Blood"
http://loinc.org,104880-0,"Hematocrit 3 hr after glucose, Blood"
http://loinc.org,105272-9,"Glucose, Interstitial fluid"
http://loinc.org,105273-7,"Glucose, Interstitial fluid"
http://loinc.org,10832-4,"Glucose 15 min after 50 g lactose by mouth, Blood"
http://loinc.org,10833-2,"Insulin 7 hr after 75 g glucose by mouth, Blood"
http://loinc.org,10966-0,"Glucose 2.5 hr after 75 g glucose by mouth, Urine"
http://loinc.org,10967-8,"Glucose 3.5 hr after 75 g glucose by mouth, Urine"
http://loinc.org,10968-6,"Glucose 4.5 hr after 75 g glucose by mouth, Urine"
http://loinc.org,11032-0,"Glucose 45 min after 50 g lactose by mouth, Blood"
http://loinc.org,11047-8,"Glucose phosphate isomerase, Red blood cells"
http://loinc.org,11142-7,"Glucose 15 min after 100 g glucose by mouth, Blood"
http://loinc.org,11143-5,"Glucose 45 min after 100 g glucose by mouth, Blood"
http://loinc.org,12218-4,"Glucose 2 hr after PD, Peritoneal fluid"
http://loinc.org,12219-2,"Glucose 4 hr after PD, Peritoneal fluid"
http://loinc.org,12220-0,"Glucose 12 hr after PD, Peritoneal fluid"
http://loinc.org,12607-8,"Glucose before Dialysis, Peritoneal dialysis fluid"
http://loinc.org,12608-6,"Glucose 2 hr Dwell specimen, Peritoneal dialysis fluid"
http://loinc.org,12609-4,"Glucose 4 Hour Dwell specimen, Peritoneal dialysis fluid"
http://loinc.org,12610-2,"Glucose 2 hr after challenge, Blood"
http://loinc.org,12611-0,"Glucose 4 hr specimen, Blood"
http://loinc.org,12612-8,"Glucose 2 Hour specimen, Dialysis fluid"
http://loinc.org,12613-6,"Glucose 4 hr specimen, Dialysis fluid"
http://loinc.org,12614-4,"Glucose 7 hr after Meal, Blood"
http://loinc.org,12615-1,"Glucose 1st specimen after challenge, Blood"
http://loinc.org,12616-9,"Glucose 2nd specimen after challenge, Blood"
http://loinc.org,12617-7,"Glucose 3rd specimen after challenge, Blood"
http://loinc.org,12618-5,"Glucose 4th specimen after challenge, Blood"
http://loinc.org,12619-3,"Glucose 5th specimen after challenge, Blood"
http://loinc.org,12620-1,"Glucose 6th specimen after challenge, Blood"
http://loinc.org,12621-9,"Glucose 9th specimen after challenge, Blood"
http://loinc.org,12622-7,"Glucose 10th specimen after challenge, Blood"
http://loinc.org,12623-5,"Glucose 11th specimen after challenge, Blood"
http://loinc.org,12624-3,"Glucose 12th specimen after challenge, Blood"
http://loinc.org,12625-0,"Glucose 13th specimen after challenge, Blood"
http://loinc.org,12626-8,"Glucose 14th specimen after challenge, Blood"
http://loinc.org,12627-6,"Glucose 15th specimen after challenge, Blood"
http://loinc.org,12628-4,"Glucose, Peritoneal dialysis fluid"
http://loinc.org,12629-2,"Glucose, Peritoneal dialysis fluid"
http://loinc.org,12630-0,"Glucose specimen 1, Peritoneal dialysis fluid"
http://loinc.org,12631-8,"Glucose specimen 2, Peritoneal dialysis fluid"
http://loinc.org,12632-6,"Glucose specimen 3, Peritoneal dialysis fluid"
http://loinc.org,12633-4,"Glucose specimen 4, Peritoneal dialysis fluid"
http://loinc.org,12634-2,"Glucose specimen 5, Peritoneal dialysis fluid"
http://loinc.org,12635-9,"Glucose specimen 6, Peritoneal dialysis fluid"
http://loinc.org,12636-7,"Glucose specimen 7, Peritoneal dialysis fluid"
http://loinc.org,12637-5,"Glucose 8th specimen after challenge, Peritoneal dialysis fluid"
http://loinc.org,12638-3,"Glucose before dose lactose by mouth, Blood"
http://loinc.org,12639-1,"Glucose 15 min after challenge, Blood"
http://loinc.org,12640-9,"Glucose 6.5 hr after challenge, Blood"
http://loinc.org,12641-7,"Glucose 7 hr after challenge, Blood"
http://loinc.org,12642-5,"Glucose 7.5 hr after challenge, Blood"
http://loinc.org,12643-3,"Glucose 8 hr after challenge, Blood"
http://loinc.org,12644-1,"Glucose 9 hr after challenge, Blood"
http://loinc.org,12645-8,"Glucose 10 hr after challenge, Blood"
http://loinc.org,12646-6,"Glucose 1 hr after challenge, Blood"
http://loinc.org,12647-4,"Glucose 12 hr after challenge, Blood"
http://loinc.org,12648-2,"Glucose 15 min after lactose by mouth, Blood"
http://loinc.org,12649-0,"Glucose 6th specimen after lactose, Blood"
http://loinc.org,12650-8,"Glucose 3.5 hr after lactose by mouth, Blood"
http://loinc.org,12651-6,"Glucose 10 min before challenge, Blood"
http://loinc.org,12652-4,"Glucose 2 min after challenge, Blood"
http://loinc.org,12653-2,"Glucose 8 min after challenge, Blood"
http://loinc.org,12654-0,"Glucose 10 min after challenge, Blood"
http://loinc.org,12655-7,"Glucose 20 min after challenge, Blood"
http://loinc.org,12656-5,"Glucose 4 min after challenge, Blood"
http://loinc.org,12657-3,"Glucose 40 min after challenge, Blood"
http://loinc.org,12658-1,"Glucose 50 min after challenge, Blood"
http://loinc.org,12659-9,"Glucose 70 min after challenge, Blood"
http://loinc.org,13453-6,"Glucose Mean Value, Blood"
http://loinc.org,13606-9,"Glucose 3 hr after 50 g lactose by mouth, Blood"
http://loinc.org,13607-7,"Glucose 4 hr after 50 g lactose by mouth, Blood"
http://loinc.org,13608-5,"Insulin 1.5 hr after 75 g glucose by mouth, Blood"
http://loinc.org,13609-3,"Insulin 2.5 hr after 75 g glucose by mouth, Blood"
http://loinc.org,13865-1,"Glucose 2.5 hr after 50 g lactose by mouth, Blood"
http://loinc.org,13866-9,"Glucose 5 hr after 50 g lactose by mouth, Blood"
http://loinc.org,14137-4,"Glucose 5.5 hr after 75 g glucose by mouth, Blood"
http://loinc.org,14386-7,"Glucose, Stomach fluid"
http://loinc.org,14743-9,"Glucose, Blood"
http://loinc.org,14744-7,"Glucose, Spinal fluid"
http://loinc.org,14745-4,"Glucose, Body fluid"
http://loinc.org,14746-2,"Glucose, Peritoneal dialysis fluid"
http://loinc.org,14747-0,"Glucose, Pleural fluid"
