system,code,display,keyword,include_reason
http://loinc.org,"100516-4","Pediatric urology Outpatient Progress note",urology,domain
http://loinc.org,"100542-0","Urology Outpatient Progress note",urology,domain
http://loinc.org,"100646-9","Urology Hospital Progress note",urology,domain
http://loinc.org,"34851-6","Urology Consult note",urology,domain
http://loinc.org,"34852-4","Urology Note",urology,domain
http://loinc.org,"57168-7","Urology Referral note",urology,domain
http://loinc.org,"68804-4","Pediatric urology Diagnostic study note",urology,domain
http://loinc.org,"68805-1","Pediatric urology Discharge summary",urology,domain
http://loinc.org,"68807-7","Pediatric urology History and physical note",urology,domain
http://loinc.org,"68809-3","Pediatric urology procedure note",urology,domain
http://loinc.org,"68810-1","Pediatric urology Progress note",urology,domain
http://loinc.org,"68811-9","Pediatric urology Transfer summary note",urology,domain
http://loinc.org,"68812-7","Pediatric urology Hospital Consult note",urology,domain
http://loinc.org,"68813-5","Pediatric urology Hospital Letter",urology,domain
http://loinc.org,"68882-0","Pediatric urology Note",urology,domain
http://loinc.org,"75220-4","Urology Progress note",urology,domain
http://loinc.org,"75501-7","Urology Outpatient Note",urology,domain
http://loinc.org,"78576-6","Urology Diagnostic study note",urology,domain
http://loinc.org,"78603-8","Urology Education note",urology,domain
http://loinc.org,"78622-8","Urology Flowsheet",urology,domain
http://loinc.org,"78645-9","Urology Initial evaluation note",urology,domain
http://loinc.org,"78659-0","Urology procedure note",urology,domain
http://loinc.org,"78733-3","Urology Admission history and physical note",urology,domain
http://loinc.org,"78734-1","Urology Checklist",urology,domain
http://loinc.org,"78736-6","Urology Transfer summary note",urology,domain
http://loinc.org,"80783-4","Urology Plan of care note",urology,domain
http://loinc.org,"83563-7","Urology Nurse practitioner Note",urology,domain
http://loinc.org,"83597-5","Urology Nurse Note",urology,domain
http://loinc.org,"83598-3","Urology Nurse Outpatient Note",urology,domain
http://loinc.org,"83599-1","Urology Nurse procedure note",urology,domain
http://loinc.org,"83699-9","Urology Attending Admission evaluation note",urology,domain
http://loinc.org,"83700-5","Urology Attending Note",urology,domain
http://loinc.org,"83751-8","Urology Physician assistant Note",urology,domain
http://loinc.org,"83781-5","Urology Resident Note",urology,domain
http://loinc.org,"84038-9","Urology Administrative note",urology,domain
http://loinc.org,"84039-7","Urology Admission evaluation note",urology,domain
http://loinc.org,"84040-5","Urology Discharge summary",urology,domain
http://loinc.org,"84041-3","Urology History and physical note",urology,domain
http://loinc.org,"84042-1","Urology Hospital Note",urology,domain
http://loinc.org,"84043-9","Urology Interdisciplinary Note",urology,domain
http://loinc.org,"84044-7","Urology Outpatient procedure note",urology,domain
http://loinc.org,"84046-2","Urology Telephone encounter Note",urology,domain
http://loinc.org,"89033-5","Urology Telehealth Consult note",urology,domain
http://loinc.org,"89903-9","Urology Telehealth Note",urology,domain
http://loinc.org,"96158-1","Urology Evaluation note",urology,domain
http://loinc.org,"100445-6","Bone Marrow Transplant Outpatient Progress note",transplant,domain
http://loinc.org,"100472-0","Heart failure+Transplant cardiology Outpatient Progress note",transplant,domain
http://loinc.org,"100515-6","Pediatric transplant hepatology Outpatient Progress note",transplant,domain
http://loinc.org,"100533-9","Solid Organ Transplant Outpatient Progress note",transplant,domain
http://loinc.org,"100554-5","Bone Marrow Transplant Hospital Progress note",transplant,domain
http://loinc.org,"100580-0","Heart failure+Transplant cardiology Hospital Progress note",transplant,domain
http://loinc.org,"100623-8","Pediatric transplant hepatology Hospital Progress note",transplant,domain
http://loinc.org,"100640-2","Solid Organ Transplant Hospital Progress note",transplant,domain
http://loinc.org,"101896-9","Heart failure+Transplant cardiology procedure note",transplant,domain
http://loinc.org,"103816-5","Bone Marrow Transplant Medication management note",transplant,domain
http://loinc.org,"107949-0","Solid Organ Transplant Medication management note",transplant,domain
http://loinc.org,"68621-2","Heart failure+Transplant cardiology Note",transplant,domain
http://loinc.org,"68622-0","Heart failure+Transplant cardiology History and physical note",transplant,domain
http://loinc.org,"68624-6","Heart failure+Transplant cardiology Hospital Letter",transplant,domain
http://loinc.org,"68855-6","Pediatric transplant hepatology Diagnostic study note",transplant,domain
http://loinc.org,"68856-4","Pediatric transplant hepatology Discharge summary",transplant,domain
http://loinc.org,"68858-0","Pediatric transplant hepatology History and physical note",transplant,domain
http://loinc.org,"68859-8","Pediatric transplant hepatology Note",transplant,domain
http://loinc.org,"68861-4","Pediatric transplant hepatology procedure note",transplant,domain
http://loinc.org,"68862-2","Pediatric transplant hepatology Progress note",transplant,domain
http://loinc.org,"68863-0","Pediatric transplant hepatology Transfer summary note",transplant,domain
http://loinc.org,"68864-8","Pediatric transplant hepatology Hospital Consult note",transplant,domain
http://loinc.org,"68865-5","Pediatric transplant hepatology Hospital Letter",transplant,domain
http://loinc.org,"90717-0","Heart failure+Transplant cardiology Consult note",transplant,domain
http://loinc.org,"93956-1","Heart failure+Transplant cardiology Letter",transplant,domain
http://loinc.org,"93959-5","Heart failure+Transplant cardiology Diagnostic study note",transplant,domain
http://loinc.org,"94461-1","Solid Organ Transplant Consult note",transplant,domain
http://loinc.org,"94463-7","Bone Marrow Transplant Consult note",transplant,domain
http://loinc.org,"94464-5","Solid Organ Transplant Discharge summary",transplant,domain
http://loinc.org,"94465-2","Bone Marrow Transplant Discharge summary",transplant,domain
http://loinc.org,"94466-0","Solid Organ Transplant Progress note",transplant,domain
http://loinc.org,"94468-6","Bone Marrow Transplant Progress note",transplant,domain
http://loinc.org,"96373-6","Bone Marrow Transplant Admission evaluation note",transplant,domain
http://loinc.org,"97577-1","Heart failure+Transplant cardiology Progress note",transplant,domain
http://loinc.org,"97695-1","Solid Organ Transplant Evaluation note",transplant,domain
http://loinc.org,"97707-4","Solid Organ Transplant procedure note",transplant,domain
http://loinc.org,"99480-6","Solid Organ Transplant History and physical note",transplant,domain
http://loinc.org,"78446-2","Surgical critical care Flowsheet",surgical,domain
http://loinc.org,"80790-9","Surgical critical care Plan of care note",surgical,domain
http://loinc.org,"100540-4","Transplant surgery Outpatient Progress note",surgery|transplant,domain
http://loinc.org,"100730-1","Transplant surgery Discharge summary",surgery|transplant,domain
http://loinc.org,"68848-1","Transplant surgery Note",surgery|transplant,domain
http://loinc.org,"68849-9","Transplant surgery History and physical note",surgery|transplant,domain
http://loinc.org,"68851-5","Transplant surgery procedure note",surgery|transplant,domain
http://loinc.org,"68852-3","Transplant surgery Hospital Consult note",surgery|transplant,domain
http://loinc.org,"68853-1","Transplant surgery Hospital Letter",surgery|transplant,domain
http://loinc.org,"70238-1","Transplant surgery Hospital Progress note",surgery|transplant,domain
http://loinc.org,"78539-4","Transplant surgery Checklist",surgery|transplant,domain
http://loinc.org,"78598-0","Transplant surgery Education note",surgery|transplant,domain
http://loinc.org,"78629-3","Transplant surgery Flowsheet",surgery|transplant,domain
http://loinc.org,"78677-2","Transplant surgery Referral note",surgery|transplant,domain
http://loinc.org,"78683-0","Transplant surgery Transfer summary note",surgery|transplant,domain
http://loinc.org,"78731-7","Transplant surgery Admission history and physical note",surgery|transplant,domain
http://loinc.org,"80763-6","Transplant surgery Plan of care note",surgery|transplant,domain
http://loinc.org,"82835-0","Transplant surgery Initial evaluation note",surgery|transplant,domain
http://loinc.org,"83676-7","Transplant surgery Attending Note",surgery|transplant,domain
http://loinc.org,"83780-7","Transplant surgery Resident Note",surgery|transplant,domain
http://loinc.org,"83841-7","Transplant surgery Case manager Note",surgery|transplant,domain
http://loinc.org,"84035-5","Transplant surgery Consult note",surgery|transplant,domain
http://loinc.org,"84036-3","Transplant surgery Outpatient Note",surgery|transplant,domain
http://loinc.org,"84037-1","Transplant surgery Telephone encounter Note",surgery|transplant,domain
http://loinc.org,"96148-2","Transplant surgery Evaluation note",surgery|transplant,domain
http://loinc.org,"100514-9","Pediatric surgery Outpatient Progress note",surgery,domain
http://loinc.org,"100544-6","Vascular surgery Outpatient Progress note",surgery,domain
http://loinc.org,"100622-0","Pediatric surgery Hospital Progress note",surgery,domain
http://loinc.org,"100648-5","Vascular surgery Hospital Progress note",surgery,domain
http://loinc.org,"101887-8","Surgery Telephone encounter Consult note",surgery,domain
http://loinc.org,"103803-3","Surgery Outpatient Progress note",surgery,domain
http://loinc.org,"104591-3","Vascular surgery Letter",surgery,domain
http://loinc.org,"107919-3","Surgery Medication management note",surgery,domain
http://loinc.org,"34773-2","Surgery Attending Note",surgery,domain
http://loinc.org,"34774-0","Surgery History and physical note",surgery,domain
http://loinc.org,"34847-4","Surgery Consult note",surgery,domain
http://loinc.org,"34848-2","Surgery Note",surgery,domain
http://loinc.org,"34853-2","Vascular surgery Consult note",surgery,domain
http://loinc.org,"34854-0","Vascular surgery Outpatient Note",surgery,domain
http://loinc.org,"34873-0","Surgery Admission evaluation note",surgery,domain
http://loinc.org,"57166-1","Surgery Referral note",surgery,domain
http://loinc.org,"57169-5","Vascular surgery Referral note",surgery,domain
http://loinc.org,"64057-3","Surgery Hospital Progress note",surgery,domain
http://loinc.org,"64066-4","Surgery Medical student Hospital Admission evaluation note",surgery,domain
http://loinc.org,"64067-2","Surgery Medical student Hospital Progress note",surgery,domain
http://loinc.org,"64068-0","Surgery Medical student Hospital Consult note",surgery,domain
http://loinc.org,"68480-3","Surgery Attending Hospital Progress note",surgery,domain
http://loinc.org,"68794-7","Pediatric surgery Diagnostic study note",surgery,domain
http://loinc.org,"68795-4","Pediatric surgery Discharge summary",surgery,domain
http://loinc.org,"68797-0","Pediatric surgery History and physical note",surgery,domain
http://loinc.org,"68799-6","Pediatric surgery procedure note",surgery,domain
http://loinc.org,"68800-2","Pediatric surgery Progress note",surgery,domain
http://loinc.org,"68801-0","Pediatric surgery Transfer summary note",surgery,domain
http://loinc.org,"68802-8","Pediatric surgery Hospital Consult note",surgery,domain
http://loinc.org,"68803-6","Pediatric surgery Hospital Letter",surgery,domain
http://loinc.org,"68881-2","Pediatric surgery Note",surgery,domain
http://loinc.org,"75493-7","Surgery Outpatient Note",surgery,domain
http://loinc.org,"78247-4","Surgery Admission history and physical note",surgery,domain
http://loinc.org,"78280-5","Surgery Education note",surgery,domain
http://loinc.org,"78292-0","Surgery Flowsheet",surgery,domain
http://loinc.org,"78322-5","Surgery procedure note",surgery,domain
http://loinc.org,"78503-0","Surgery Checklist",surgery,domain
http://loinc.org,"78510-5","Vascular surgery Admission history and physical note",surgery,domain
http://loinc.org,"78542-8","Vascular surgery Checklist",surgery,domain
http://loinc.org,"78544-4","Pediatric surgery Checklist",surgery,domain
http://loinc.org,"78597-2","Vascular surgery Education note",surgery,domain
http://loinc.org,"78606-1","Pediatric surgery Education note",surgery,domain
http://loinc.org,"78620-2","Vascular surgery Flowsheet",surgery,domain
http://loinc.org,"78627-7","Pediatric surgery Flowsheet",surgery,domain
http://loinc.org,"78673-1","Pediatric surgery Referral note",surgery,domain
http://loinc.org,"78680-6","Vascular surgery Transfer summary note",surgery,domain
http://loinc.org,"78724-2","Pediatric surgery Admission history and physical note",surgery,domain
http://loinc.org,"78729-1","Surgery Transfer summary note",surgery,domain
http://loinc.org,"80753-7","Surgery Plan of care note",surgery,domain
http://loinc.org,"80767-7","Pediatric surgery Plan of care note",surgery,domain
http://loinc.org,"80768-5","Vascular surgery Plan of care note",surgery,domain
http://loinc.org,"82836-8","Pediatric surgery Initial evaluation note",surgery,domain
http://loinc.org,"82838-4","Vascular surgery Initial evaluation note",surgery,domain
http://loinc.org,"83562-9","Surgery Nurse practitioner Note",surgery,domain
http://loinc.org,"83564-5","Vascular surgery Nurse practitioner Note",surgery,domain
http://loinc.org,"83612-2","Surgery Nurse Hospital Note",surgery,domain
http://loinc.org,"83613-0","Surgery Nurse Note",surgery,domain
http://loinc.org,"83615-5","Surgery Nurse Outpatient Note",surgery,domain
http://loinc.org,"83616-3","Surgery Nurse Outpatient procedure note",surgery,domain
http://loinc.org,"83617-1","Surgery Nurse procedure note",surgery,domain
http://loinc.org,"83618-9","Vascular surgery Nurse Note",surgery,domain
http://loinc.org,"83619-7","Vascular surgery Nurse Outpatient Note",surgery,domain
http://loinc.org,"83670-0","Surgery Attending Admission evaluation note",surgery,domain
http://loinc.org,"83671-8","Surgery Attending Intensive care unit Admission evaluation note",surgery,domain
http://loinc.org,"83672-6","Surgery Attending Intensive care unit Note",surgery,domain
http://loinc.org,"83674-2","Surgery Attending Outpatient Note",surgery,domain
http://loinc.org,"83677-5","Vascular surgery Attending Admission evaluation note",surgery,domain
http://loinc.org,"83678-3","Vascular surgery Attending Note",surgery,domain
http://loinc.org,"83752-6","Vascular surgery Physician assistant Note",surgery,domain
http://loinc.org,"83778-1","Surgery Resident Admission evaluation note",surgery,domain
http://loinc.org,"83779-9","Surgery Resident Note",surgery,domain
http://loinc.org,"83782-3","Vascular surgery Resident Note",surgery,domain
http://loinc.org,"83792-2","Surgery Intern Admission evaluation note",surgery,domain
http://loinc.org,"83840-9","Vascular surgery Technician Note",surgery,domain
