system,code,display
http://hl7.org/fhir/sid/icd-10-cm,C00.0,Malignant neoplasm of external upper lip
http://hl7.org/fhir/sid/icd-10-cm,C00.1,Malignant neoplasm of external lower lip
http://hl7.org/fhir/sid/icd-10-cm,C00.2,"Malignant neoplasm of external lip, unspecified"
http://hl7.org/fhir/sid/icd-10-cm,C00.3,"Malignant neoplasm of upper lip, inner aspect"
http://hl7.org/fhir/sid/icd-10-cm,C00.4,"Malignant neoplasm of lower lip, inner aspect"
http://hl7.org/fhir/sid/icd-10-cm,C00.5,"Malignant neoplasm of lip, unspecified, inner aspect"
http://hl7.org/fhir/sid/icd-10-cm,C00.6,"Malignant neoplasm of commissure of lip, unspecified"
http://hl7.org/fhir/sid/icd-10-cm,C00.8,Malignant neoplasm of overlapping sites of lip
http://hl7.org/fhir/sid/icd-10-cm,C00.9,"Malignant neoplasm of lip, unspecified"
http://hl7.org/fhir/sid/icd-10-cm,C01,Malignant neoplasm of base of tongue
http://hl7.org/fhir/sid/icd-10-cm,C02.0,Malignant neoplasm of dorsal surface of tongue
http://hl7.org/fhir/sid/icd-10-cm,C02.1,Malignant neoplasm of border of tongue
http://hl7.org/fhir/sid/icd-10-cm,C02.2,Malignant neoplasm of ventral surface of tongue
http://hl7.org/fhir/sid/icd-10-cm,C02.3,"Malignant neoplasm of anterior two-thirds of tongue, part unspecified"
http://hl7.org/fhir/sid/icd-10-cm,C02.4,Malignant neoplasm of lingual tonsil
http://hl7.org/fhir/sid/icd-10-cm,C02.8,Malignant neoplasm of overlapping sites of tongue
http://hl7.org/fhir/sid/icd-10-cm,C02.9,"Malignant neoplasm of tongue, unspecified"
http://hl7.org/fhir/sid/icd-10-cm,C04.0,Malignant neoplasm of anterior floor of mouth
http://hl7.org/fhir/sid/icd-10-cm,C04.1,Malignant neoplasm of lateral floor of mouth
http://hl7.org/fhir/sid/icd-10-cm,C04.8,Malignant neoplasm of overlapping sites of floor of mouth
http://hl7.org/fhir/sid/icd-10-cm,C04.9,"Malignant neoplasm of floor of mouth, unspecified"
http://hl7.org/fhir/sid/icd-10-cm,C05.0,Malignant neoplasm of hard palate
http://hl7.org/fhir/sid/icd-10-cm,C05.1,Malignant neoplasm of soft palate
http://hl7.org/fhir/sid/icd-10-cm,C05.8,Malignant neoplasm of overlapping sites of palate
http://hl7.org/fhir/sid/icd-10-cm,C05.9,"Malignant neoplasm of palate, unspecified"
http://hl7.org/fhir/sid/icd-10-cm,C06.1,Malignant neoplasm of vestibule of mouth
http://hl7.org/fhir/sid/icd-10-cm,C06.80,Malignant neoplasm of overlapping sites of unspecified parts of mouth
http://hl7.org/fhir/sid/icd-10-cm,C06.89,Malignant neoplasm of overlapping sites of other parts of mouth
http://hl7.org/fhir/sid/icd-10-cm,C06.9,"Malignant neoplasm of mouth, unspecified"
http://hl7.org/fhir/sid/icd-10-cm,C09.0,Malignant neoplasm of tonsillar fossa
http://hl7.org/fhir/sid/icd-10-cm,C09.1,Malignant neoplasm of tonsillar pillar (anterior) (posterior)
http://hl7.org/fhir/sid/icd-10-cm,C09.8,Malignant neoplasm of overlapping sites of tonsil
http://hl7.org/fhir/sid/icd-10-cm,C09.9,"Malignant neoplasm of tonsil, unspecified"
http://hl7.org/fhir/sid/icd-10-cm,C10.2,Malignant neoplasm of lateral wall of oropharynx
http://hl7.org/fhir/sid/icd-10-cm,C10.3,Malignant neoplasm of posterior wall of oropharynx
http://hl7.org/fhir/sid/icd-10-cm,C10.8,Malignant neoplasm of overlapping sites of oropharynx
http://hl7.org/fhir/sid/icd-10-cm,C10.9,"Malignant neoplasm of oropharynx, unspecified"
http://hl7.org/fhir/sid/icd-10-cm,C11.0,Malignant neoplasm of superior wall of nasopharynx
http://hl7.org/fhir/sid/icd-10-cm,C11.1,Malignant neoplasm of posterior wall of nasopharynx
http://hl7.org/fhir/sid/icd-10-cm,C11.2,Malignant neoplasm of lateral wall of nasopharynx
http://hl7.org/fhir/sid/icd-10-cm,C11.3,Malignant neoplasm of anterior wall of nasopharynx
http://hl7.org/fhir/sid/icd-10-cm,C11.8,Malignant neoplasm of overlapping sites of nasopharynx
http://hl7.org/fhir/sid/icd-10-cm,C11.9,"Malignant neoplasm of nasopharynx, unspecified"
http://hl7.org/fhir/sid/icd-10-cm,C13.2,Malignant neoplasm of posterior wall of hypopharynx
http://hl7.org/fhir/sid/icd-10-cm,C13.8,Malignant neoplasm of overlapping sites of hypopharynx
http://hl7.org/fhir/sid/icd-10-cm,C13.9,"Malignant neoplasm of hypopharynx, unspecified"
http://hl7.org/fhir/sid/icd-10-cm,C14.0,"Malignant neoplasm of pharynx, unspecified"
http://hl7.org/fhir/sid/icd-10-cm,C14.8,"Malignant neoplasm of overlapping sites of lip, oral cavity and pharynx"
http://hl7.org/fhir/sid/icd-10-cm,C21.0,"Malignant neoplasm of anus, unspecified"
http://hl7.org/fhir/sid/icd-10-cm,C21.1,Malignant neoplasm of anal canal
http://hl7.org/fhir/sid/icd-10-cm,C21.8,"Malignant neoplasm of overlapping sites of rectum, anus and anal canal"
http://hl7.org/fhir/sid/icd-10-cm,C22.0,Liver cell carcinoma
http://hl7.org/fhir/sid/icd-10-cm,C22.1,Intrahepatic bile duct carcinoma
