system,code,display,priority,evidence
http://hl7.org/fhir/sid/icd-10-cm,B25.0,Cytomegaloviral pneumonitis,high,confirmed
http://hl7.org/fhir/sid/icd-10-cm,B25.1,Cytomegaloviral hepatitis,high,confirmed
http://hl7.org/fhir/sid/icd-10-cm,B25.2,Cytomegaloviral pancreatitis,high,confirmed
http://hl7.org/fhir/sid/icd-10-cm,B25.8,Other cytomegaloviral diseases,medium,confirmed
http://hl7.org/fhir/sid/icd-10-cm,B25.9,"Cytomegaloviral disease, unspecified",medium,confirmed
http://hl7.org/fhir/sid/icd-10-cm,B27.10,Cytomegaloviral mononucleosis without complications,medium,confirmed
http://hl7.org/fhir/sid/icd-10-cm,B27.11,Cytomegaloviral mononucleosis with polyneuropathy,medium,confirmed
http://hl7.org/fhir/sid/icd-10-cm,B27.12,Cytomegaloviral mononucleosis with meningitis,medium,confirmed
http://hl7.org/fhir/sid/icd-10-cm,B27.19,Cytomegaloviral mononucleosis with other complication,medium,confirmed
http://hl7.org/fhir/sid/icd-10-cm,P35.1,Congenital cytomegalovirus infection,low,confirmed
http://snomed.info/sct,1085361000119104,Meningitis due to Cytomegaloviral Mononucleosis (disorder),medium,confirmed
http://snomed.info/sct,1085371000119105,Polyneuropathy due to cytomegaloviral mononucleosis (disorder),medium,confirmed
http://snomed.info/sct,1085381000119108,Cytomegalovirus viremia (disorder),high,confirmed
http://snomed.info/sct,1163079004,Polyneuropathy caused by human Cytomegalovirus 5 (disorder),high,confirmed
http://snomed.info/sct,1163082009,Dacryoadenitis caused by Cytomegalovirus (disorder),high,confirmed
http://snomed.info/sct,15677921000119104,Chorioretinitis of right eye caused by Cytomegalovirus humanbeta5 (disorder),high,confirmed
http://snomed.info/sct,15677961000119109,Chorioretinitis of left eye caused by Cytomegalovirus humanbeta5 (disorder),high,confirmed
http://snomed.info/sct,15678001000119106,Chorioretinitis of bilateral eyes caused by Cytomegalovirus humanbeta5 (disorder),high,confirmed
http://snomed.info/sct,15685561000119102,Retinitis of right eye caused by cytomegalovirus (disorder),high,confirmed
http://snomed.info/sct,15685601000119102,Retinitis of bilateral eyes caused by cytomegalovirus (disorder),high,confirmed
http://snomed.info/sct,15685641000119100,Retinitis of left eye caused by cytomegalovirus (disorder),high,confirmed
http://snomed.info/sct,15969461000119103,Large liver due to infectious mononucleosis caused by Cytomegalovirus (disorder),medium,confirmed
http://snomed.info/sct,16196000,Infectious mononucleosis caused by Cytomegalovirus (disorder),medium,confirmed
http://snomed.info/sct,186698009,Cytomegalovirus hepatitis (disorder),high,confirmed
http://snomed.info/sct,22455005,Cytomegaloviral retinitis (disorder),high,confirmed
http://snomed.info/sct,232311007,Endocochlear cytomegalovirus infection (disorder),high,confirmed
http://snomed.info/sct,235749000,Inflammation of colon caused by Cytomegalovirus (disorder),high,confirmed
http://snomed.info/sct,235947007,Cytomegaloviral pancreatitis (disorder),high,confirmed
http://snomed.info/sct,236590008,Cytomegalovirus-induced glomerulonephritis (disorder),high,confirmed
http://snomed.info/sct,276701009,Fetal cytomegalovirus syndrome (disorder),low,confirmed
http://snomed.info/sct,28944009,Infection caused by Cytomegalovirus (disorder),high,confirmed
http://snomed.info/sct,402122002,Infection of skin caused by Cytomegalovirus (disorder),high,confirmed
http://snomed.info/sct,406570003,Infection of central nervous system caused by Cytomegalovirus (disorder),high,confirmed
http://snomed.info/sct,426137009,Cytomegaloviral enteritis (disorder),high,confirmed
http://snomed.info/sct,428217009,Disseminated cytomegalovirus infection (disorder),high,confirmed
http://snomed.info/sct,429300008,Cytomegaloviral gastritis (disorder),high,confirmed
http://snomed.info/sct,500790491000119109,Acute gastric ulcer caused by Cytomegalovirus (disorder),high,confirmed
http://snomed.info/sct,59527008,Congenital cytomegalovirus infection (disorder),low,confirmed
http://snomed.info/sct,689981000119103,Ulcer of skin caused by Cytomegalovirus (disorder),high,confirmed
http://snomed.info/sct,689991000119100,Gastric ulcer caused by cytomegalovirus (disorder),high,confirmed
http://snomed.info/sct,711616006,Chorioretinitis caused by Cytomegalovirus (disorder),high,confirmed
http://snomed.info/sct,713045003,Esophagitis caused by Cytomegalovirus (disorder),high,confirmed
http://snomed.info/sct,713722001,Infection caused by Cytomegalovirus co-occurrent with human immunodeficiency virus infection (disorder),high,confirmed
http://snomed.info/sct,721770002,Meningitis caused by Human cytomegalovirus 5 (disorder),high,confirmed
http://snomed.info/sct,721771003,Infection of intestine caused by Human cytomegalovirus 5 (disorder),high,confirmed
http://snomed.info/sct,7678002,Cytomegaloviral pneumonia (disorder),high,confirmed
http://snomed.info/sct,83159006,Cytomegalovirus encephalitis (disorder),high,confirmed
http://snomed.info/sct,840504006,Duodenitis caused by Cytomegalovirus (disorder),high,confirmed
http://snomed.info/sct,866060005,Myelitis caused by Cytomegalovirus (disorder),high,confirmed
http://snomed.info/sct,93891000119100,Ulcerative cytomegalovirus lesion (disorder),high,confirmed
