system,code,display,priority,evidence
http://hl7.org/fhir/sid/icd-10-cm,B27.00,Gammaherpesviral mononucleosis without complication,high,confirmed
http://hl7.org/fhir/sid/icd-10-cm,B27.01,Gammaherpesviral mononucleosis with polyneuropathy,high,confirmed
http://hl7.org/fhir/sid/icd-10-cm,B27.02,Gammaherpesviral mononucleosis with meningitis,high,confirmed
http://hl7.org/fhir/sid/icd-10-cm,B27.09,Gammaherpesviral mononucleosis with other complication,high,confirmed
http://hl7.org/fhir/sid/icd-10-cm,B27.90,"Infectious mononucleosis, unspecified without complication",medium,confirmed
http://hl7.org/fhir/sid/icd-10-cm,B27.91,"Infectious mononucleosis, unspecified with polyneuropathy",medium,confirmed
http://hl7.org/fhir/sid/icd-10-cm,B27.92,"Infectious mononucleosis, unspecified with meningitis",medium,confirmed
http://hl7.org/fhir/sid/icd-10-cm,B27.99,"Infectious mononucleosis, unspecified with other complication",medium,confirmed
http://snomed.info/sct,402121009,Epstein-Barr virus infection (disorder),high,confirmed
http://snomed.info/sct,240530001,Epstein-Barr virus disease (disorder),high,confirmed
http://snomed.info/sct,773738009,Chronic Epstein-Barr virus infection syndrome (disorder),high,confirmed
http://snomed.info/sct,716660007,Congenital infection caused by Epstein-Barr virus (disorder),high,confirmed
http://snomed.info/sct,302919001,Epstein-Barr virus hepatitis (disorder),high,confirmed
http://snomed.info/sct,416195002,Epstein-Barr virus infection of the retina (disorder),high,confirmed
http://snomed.info/sct,406579002,Epstein Barr virus infection of the central nervous system (disorder),high,confirmed
http://snomed.info/sct,721769003,Meningitis caused by Epstein-Barr virus (disorder),high,confirmed
http://snomed.info/sct,186668002,Gammaherpesviral mononucleosis (disorder),high,confirmed
http://snomed.info/sct,271558008,Infectious mononucleosis (disorder),medium,confirmed
http://snomed.info/sct,61596005,Heterophil-positive mononucleosis syndrome (disorder),medium,confirmed
http://snomed.info/sct,65230006,Heterophil-negative mononucleosis syndrome (disorder),medium,confirmed
http://snomed.info/sct,230175007,Infectious mononucleosis encephalitis (disorder),medium,confirmed
http://snomed.info/sct,232401004,Glandular fever pharyngitis (disorder),medium,confirmed
http://snomed.info/sct,233622005,Infectious mononucleosis pneumonia (disorder),medium,confirmed
http://snomed.info/sct,238370005,Infectious mononucleosis exanthem (disorder),medium,confirmed
http://snomed.info/sct,128872002,Fatal infectious mononucleosis (disorder),medium,confirmed
http://snomed.info/sct,65447009,Pericarditis associated with infectious mononucleosis (disorder),medium,confirmed
