system,code,display,priority,evidence
http://hl7.org/fhir/sid/icd-10-cm,B35.0,Tinea barbae and tinea capitis,low,confirmed
http://hl7.org/fhir/sid/icd-10-cm,B35.1,Tinea unguium,low,confirmed
http://hl7.org/fhir/sid/icd-10-cm,B35.2,Tinea manuum,low,confirmed
http://hl7.org/fhir/sid/icd-10-cm,B35.3,Tinea pedis,low,confirmed
http://hl7.org/fhir/sid/icd-10-cm,B35.4,Tinea corporis,low,confirmed
http://hl7.org/fhir/sid/icd-10-cm,B35.5,Tinea imbricata,low,confirmed
http://hl7.org/fhir/sid/icd-10-cm,B35.6,Tinea cruris,low,confirmed
http://hl7.org/fhir/sid/icd-10-cm,B35.8,Other dermatophytoses,low,confirmed
http://hl7.org/fhir/sid/icd-10-cm,B35.9,"Dermatophytosis, unspecified",low,confirmed
http://hl7.org/fhir/sid/icd-10-cm,B36.0,Pityriasis versicolor,low,confirmed
http://hl7.org/fhir/sid/icd-10-cm,B36.1,Tinea nigra,low,confirmed
http://hl7.org/fhir/sid/icd-10-cm,B36.2,White piedra,low,confirmed
http://hl7.org/fhir/sid/icd-10-cm,B36.3,Black piedra,low,confirmed
http://hl7.org/fhir/sid/icd-10-cm,B36.8,Other specified superficial mycoses,low,confirmed
http://hl7.org/fhir/sid/icd-10-cm,B36.9,"Superficial mycosis, unspecified",low,confirmed
http://hl7.org/fhir/sid/icd-10-cm,B37.0,Candidal stomatitis,medium,confirmed
http://hl7.org/fhir/sid/icd-10-cm,B37.1,Pulmonary candidiasis,high,confirmed
http://hl7.org/fhir/sid/icd-10-cm,B37.2,Candidiasis of skin and nail,low,confirmed
http://hl7.org/fhir/sid/icd-10-cm,B37.31,Acute candidiasis of vulva and vagina,low,confirmed
http://hl7.org/fhir/sid/icd-10-cm,B37.32,Chronic candidiasis of vulva and vagina,low,confirmed
http://hl7.org/fhir/sid/icd-10-cm,B37.41,Candidal cystitis and urethritis,medium,confirmed
http://hl7.org/fhir/sid/icd-10-cm,B37.42,Candidal balanitis,low,confirmed
http://hl7.org/fhir/sid/icd-10-cm,B37.49,Other urogenital candidiasis,medium,confirmed
http://hl7.org/fhir/sid/icd-10-cm,B37.5,Candidal meningitis,high,confirmed
http://hl7.org/fhir/sid/icd-10-cm,B37.6,Candidal endocarditis,high,confirmed
http://hl7.org/fhir/sid/icd-10-cm,B37.7,Candidal sepsis,high,confirmed
http://hl7.org/fhir/sid/icd-10-cm,B37.81,Candidal esophagitis,medium,confirmed
http://hl7.org/fhir/sid/icd-10-cm,B37.82,Candidal enteritis,medium,confirmed
http://hl7.org/fhir/sid/icd-10-cm,B37.83,Candidal cheilitis,low,confirmed
http://hl7.org/fhir/sid/icd-10-cm,B37.84,Candidal otitis externa,medium,confirmed
http://hl7.org/fhir/sid/icd-10-cm,B37.89,Other sites of candidiasis,medium,confirmed
http://hl7.org/fhir/sid/icd-10-cm,B37.9,"Candidiasis, unspecified",medium,confirmed
http://hl7.org/fhir/sid/icd-10-cm,B38.0,Acute pulmonary coccidioidomycosis,high,confirmed
http://hl7.org/fhir/sid/icd-10-cm,B38.1,Chronic pulmonary coccidioidomycosis,high,confirmed
http://hl7.org/fhir/sid/icd-10-cm,B38.2,"Pulmonary coccidioidomycosis, unspecified",high,confirmed
http://hl7.org/fhir/sid/icd-10-cm,B38.3,Cutaneous coccidioidomycosis,medium,confirmed
http://hl7.org/fhir/sid/icd-10-cm,B38.4,Coccidioidomycosis meningitis,high,confirmed
