system,code,display
http://loinc.org,100675-8,"Cytomegalovirus (CMV), Blood"
http://loinc.org,100676-6,"Cytomegalovirus (CMV), Blood"
http://loinc.org,101815-9,"Cytomegalovirus (CMV), Spinal fluid"
http://loinc.org,101816-7,"Cytomegalovirus (CMV), Urine"
http://loinc.org,101947-0,"Cytomegalovirus (CMV), Respiratory system specimen"
http://loinc.org,101948-8,"Cytomegalovirus (CMV), Stool"
http://loinc.org,104760-4,"Cytomegalovirus (CMV), Specimen"
http://loinc.org,105739-7,"Cytomegalovirus (CMV), Pericardial fluid"
http://loinc.org,105879-1,"Cytomegalovirus (CMV), Blood"
http://loinc.org,105880-9,"Cytomegalovirus (CMV), Blood"
http://loinc.org,106028-4,"Cytomegalovirus (CMV), Genital specimen"
http://loinc.org,10660-9,"Cytomegalovirus (CMV) antigen, Tissue"
http://loinc.org,11008-0,"Cytomegalovirus (CMV) IgG antibody, Spinal fluid"
http://loinc.org,13225-8,"Cytomegalovirus (CMV) IgG antibody specimen 1, Blood"
http://loinc.org,13226-6,"Cytomegalovirus (CMV) IgM antibody, Spinal fluid"
http://loinc.org,13949-3,"Cytomegalovirus (CMV) IgG antibody, Blood"
http://loinc.org,15377-5,"Cytomegalovirus (CMV) antibody, Blood"
http://loinc.org,16712-2,"Cytomegalovirus (CMV) antibody, Body fluid"
http://loinc.org,16713-0,"Cytomegalovirus (CMV) antibody, Spinal fluid"
http://loinc.org,16714-8,"Cytomegalovirus (CMV) antibody, Blood"
http://loinc.org,16715-5,"Cytomegalovirus (CMV) IgG antibody, Blood"
http://loinc.org,16716-3,"Cytomegalovirus (CMV) IgG antibody specimen 2, Blood"
http://loinc.org,16717-1,"Cytomegalovirus (CMV) antigen, Urine"
http://loinc.org,16718-9,"Cytomegalovirus (CMV) antigen, Blood"
http://loinc.org,16719-7,"Cytomegalovirus (CMV) Inclusion Bodies, Urine"
http://loinc.org,20475-0,"Cytomegalovirus (CMV) IgG antibody, Blood"
http://loinc.org,21237-3,"Cytomegalovirus (CMV) IgM antibody, Spinal fluid"
http://loinc.org,22239-8,"Cytomegalovirus (CMV) antibody, Blood"
http://loinc.org,22240-6,"Cytomegalovirus (CMV) antibody, Spinal fluid"
http://loinc.org,22241-4,"Cytomegalovirus (CMV) antibody, Blood"
http://loinc.org,22242-2,"Cytomegalovirus (CMV) antibody, Blood"
http://loinc.org,22243-0,"Cytomegalovirus (CMV) IgG antibody, Spinal fluid"
http://loinc.org,22244-8,"Cytomegalovirus (CMV) IgG antibody, Blood"
