system,code,display,priority,evidence
http://loinc.org,16419-4,"azaTHIOprine, Blood",medium,confirmed
http://loinc.org,43924-0,"azaTHIOprine, Blood",medium,confirmed
http://loinc.org,82869-9,6-Thioguanine and 6-methylmercaptopurine panel - Red Blood Cells,high,
http://loinc.org,32660-3,6-Thioguanine [Entitic substance] in Red Blood Cells,high,confirmed
http://loinc.org,32654-6,6-Methylmercaptopurine [Entitic substance] in Red Blood Cells,high,confirmed
http://loinc.org,23905-3,"Mycophenolate, Blood",high,confirmed
http://loinc.org,23906-1,"Mycophenolate glucuronide, Blood",high,confirmed
http://loinc.org,55806-4,"Mycophenolate, Blood",high,confirmed
http://loinc.org,55807-2,"Mycophenolate glucuronide, Blood",high,confirmed
http://loinc.org,70211-8,"Mycophenolate, Blood",high,confirmed
http://loinc.org,72667-9,"Mycophenolate trough, Blood",high,confirmed
http://loinc.org,73680-1,"Mycophenolate Peak, Blood",medium,confirmed
http://loinc.org,80697-6,"Mycophenolate acyl-glucuronide, Blood",high,confirmed
http://loinc.org,87432-1,"Mycophenolate and Mycophenolate glucuronide panel, Blood",high,
http://loinc.org,14978-1,"cycloSPORINE, Blood",high,confirmed
http://loinc.org,15103-5,"cycloSPORINE, Blood",high,confirmed
http://loinc.org,16703-1,"cycloSPORINE, Blood",high,confirmed
http://loinc.org,33955-6,"cycloSPORINE.monoclonal, Blood",high,confirmed
http://loinc.org,33956-4,"cycloSPORINE.polyclonal, Blood",high,confirmed
http://loinc.org,34426-7,"cycloSPORINE.monoclonal, Blood",high,confirmed
http://loinc.org,3520-4,"cycloSPORINE, Blood",high,confirmed
http://loinc.org,3521-2,"cycloSPORINE, Blood",high,confirmed
http://loinc.org,3522-0,"cycloSPORINE+Metabolites, Blood",high,confirmed
http://loinc.org,55805-6,"cycloSPORINE, Blood",high,confirmed
http://loinc.org,78920-6,"cycloSPORINE, Blood",high,confirmed
http://loinc.org,99413-7,"cycloSPORINE, Blood",high,confirmed
http://loinc.org,32997-9,"cycloSPORINE 2 hr after dose, Blood",high,confirmed
http://loinc.org,3523-8,"cycloSPORINE 12 hr after dose, Blood",high,confirmed
http://loinc.org,3524-6,"cycloSPORINE 12 hr after dose, Blood",high,confirmed
http://loinc.org,3525-3,"cycloSPORINE 24 hr after dose, Blood",high,confirmed
http://loinc.org,3526-1,"cycloSPORINE 24 hr after dose, Blood",high,confirmed
http://loinc.org,48597-9,"cycloSPORINE trough, Blood",high,confirmed
http://loinc.org,53573-2,"cycloSPORINE after dose, Blood",high,confirmed
http://loinc.org,53828-0,"cycloSPORINE trough, Blood",high,confirmed
http://loinc.org,53834-8,"cycloSPORINE Peak, Blood",high,confirmed
http://loinc.org,77167-5,"cycloSPORINE 3 hr after dose, Blood",high,confirmed
http://loinc.org,77168-3,"cycloSPORINE 4 hr after dose, Blood",high,confirmed
http://loinc.org,77169-1,"cycloSPORINE 1 hr after dose, Blood",high,confirmed
http://loinc.org,17807-9,"cycloSPORINE, Body fluid",medium,confirmed
http://loinc.org,45058-5,"cycloSPORINE monoclonal and Polyclonal panel, Blood",medium,
http://loinc.org,80561-4,"cycloSPORINE, Dried blood spot",medium,confirmed
http://loinc.org,11253-2,"Tacrolimus, Blood",high,confirmed
http://loinc.org,32721-3,"Tacrolimus, Blood",high,confirmed
http://loinc.org,74096-9,"Tacrolimus, Blood",high,confirmed
http://loinc.org,74097-7,"Tacrolimus, Blood",high,confirmed
http://loinc.org,76494-4,"Tacrolimus, Blood",high,confirmed
http://loinc.org,92727-7,"Tacrolimus, Blood",high,confirmed
