"system","code","display"
"ICD10CM","D82.3","X-linked lymphoproliferative disease"
"LNC","100677-4","EBV DNA NAA+probe [Log #/Vol]"
"LNC","100677-4","EBV DNA SerPl NAA+probe-Log#"
"LNC","100677-4","Epstein Barr virus DNA [Log #/volume] (viral load) in Serum or Plasma by NAA with probe detection"
"LNC","100677-4","Epstein Barr virus DNA:LnCnc:Pt:Ser/Plas:Qn:Probe.amp.tar"
"LNC","100677-4","Epstein Barr virus deoxyribonucleic acid:Log Number Concentration:To identify measures at a point in time:Serum/Plasma:Quantitative:Probe.amp.tar"
"LNC","100678-2","EBV DNA Bld NAA+probe-Log#"
"LNC","100678-2","EBV DNA NAA+probe (Bld) [Log #/Vol]"
"LNC","100678-2","Epstein Barr virus DNA [Log #/volume] (viral load) in Blood by NAA with probe detection"
"LNC","100678-2","Epstein Barr virus DNA:LnCnc:Pt:Bld:Qn:Probe.amp.tar"
"LNC","100678-2","Epstein Barr virus deoxyribonucleic acid:Log Number Concentration:To identify measures at a point in time:Whole blood:Quantitative:Probe.amp.tar"
"LNC","101817-5","EBV DNA CSF NAA+probe-aCnc"
"LNC","101817-5","EBV DNA NAA+probe Qn (CSF)"
"LNC","101817-5","Epstein Barr virus DNA [Units/volume] (viral load) in Cerebral spinal fluid by NAA with probe detection"
"LNC","101817-5","Epstein Barr virus DNA:ACnc:Pt:CSF:Qn:Probe.amp.tar"
"LNC","101817-5","Epstein Barr virus deoxyribonucleic acid:Arbitrary concentration:To identify measures at a point in time:Cerebral spinal fluid:Quantitative:Probe.amp.tar"
"LNC","103739-9","EBV Lymphoproliferation multigene analysis Molgen Doc (Bld/Tiss)"
"LNC","103739-9","EBV Lymphoproliferation multigene analysis in Blood or Tissue by Molecular genetics method"
"LNC","103739-9","EBV Lymphoproliferation multigene analysis:Find:Pt:Bld/Tiss:Doc:Molgen"
"LNC","103739-9","EBV Lymphoproliferation multigene analysis:Finding:To identify measures at a point in time:Whole blood/Tissue, unspecified:Document:Molecular Genetics"
"LNC","103739-9","EBV lymph multi Bld/T"
"LNC","104743-0","EBV DNA # Spec"
"LNC","104743-0","EBV DNA Molgen (Specimen) [#/Vol]"
"LNC","104743-0","Epstein Barr virus DNA [#/volume] in Specimen by Molecular genetics method"
"LNC","104743-0","Epstein Barr virus DNA:NCnc:Pt:XXX:Qn:Molgen"
"LNC","104743-0","Epstein Barr virus deoxyribonucleic acid:Number Concentration (count/vol):To identify measures at a point in time:Not specified:Quantitative:Molecular Genetics"
"LNC","104811-5","EBV DNA Molgen (Specimen) [Log #/Vol]"
"LNC","104811-5","EBV DNA Spec-Log#"
"LNC","104811-5","Epstein Barr virus DNA [Log #/volume] in Specimen by Molecular genetics method"
"LNC","104811-5","Epstein Barr virus DNA:LnCnc:Pt:XXX:Qn:Molgen"
"LNC","104811-5","Epstein Barr virus deoxyribonucleic acid:Log Number Concentration:To identify measures at a point in time:Not specified:Quantitative:Molecular Genetics"
"LNC","105741-3","EBV DNA NAA+probe Ql (Pericard fld)"
