system,code,display
http://loinc.org,102097-3,"GFR, Blood"
http://loinc.org,103542-7,"Tubular reabsorption of phosphorus/Glomerular filtration rate, Urine+Blood"
http://loinc.org,33914-3,"GFR, Blood"
http://loinc.org,45064-3,"Basic Metabolic Panel and Glomerular Filtration Rate.predicted, Blood"
http://loinc.org,45065-0,"Comprehensive Metabolic Panel and Glomerular Filtration Rate.predicted, Blood"
http://loinc.org,45066-8,"Creatinine and Glomerular filtration rate.predicted panel, Blood"
http://loinc.org,48642-3,"GFR, Blood"
http://loinc.org,48643-1,"GFR, Blood"
http://loinc.org,50044-7,"GFR, Blood"
http://loinc.org,50210-4,"GFR, Blood"
http://loinc.org,50261-7,"Renal Function Panel and Glomerular Filtration Rate.predicted, Blood"
http://loinc.org,50383-9,"GFR.predicted, Blood"
http://loinc.org,50384-7,"GFR, Blood"
http://loinc.org,62238-1,"GFR, Blood"
http://loinc.org,69405-9,"GFR, Blood"
http://loinc.org,70969-1,"GFR, Blood"
http://loinc.org,76633-7,"GFR, Blood"
http://loinc.org,77147-7,"GFR, Blood"
http://loinc.org,78006-4,"GFR, Urine+Blood"
http://loinc.org,87430-5,"Cystatin C and Glomerular Filtration Rate by Cystatin C-based Formula Panel, Blood"
http://loinc.org,88293-6,"GFR, Blood"
http://loinc.org,88294-4,"GFR, Blood"
http://loinc.org,90993-7,"Iothalamate clearance panel, Urine+Blood"
http://loinc.org,90994-5,"Iothalamate clearance, Urine+Blood"
http://loinc.org,90995-2,"Iothalamate/Body Surface Area, Urine+Blood"
http://loinc.org,94677-2,"GFR, Blood"
http://loinc.org,96083-1,HEDIS MY 2020 Value Set - Estimated Glomerular Filtration Rate Lab Test
http://loinc.org,96591-3,"GFR, Dried blood spot"
http://loinc.org,96592-1,"GFR, Dried blood spot"
http://loinc.org,97952-6,"GFR/Body Surface Area, Blood"
http://loinc.org,98979-8,"GFR, Blood"
http://loinc.org,98980-6,"GFR, Blood"
