system,code,display,priority
http://loinc.org,46720-9,T cell crossmatch [Presence] in Blood,high
http://loinc.org,48390-9,B cell crossmatch [Presence] in Blood from Donor,high
http://loinc.org,65757-7,Kidney Pathology biopsy report,high
http://loinc.org,77639-3,"HLA Class I and II IgG Panel, Blood",high
http://loinc.org,77640-1,"Interpretation of HLA Class I and II IgG antibody test result, Blood",high
http://loinc.org,80737-0,Calculated panel reactive antibody - Serum,high
http://loinc.org,94428-0,"HLA Class I and II IgG Panel, Blood",high
http://loinc.org,96046-8,B and T cell crossmatch panel - Patient serum and Donor blood by Flow cytometry (FC),high
http://loinc.org,96047-6,T cell crossmatch [Presence] in Patient serum and Donor blood by Flow cytometry (FC),high
http://loinc.org,96048-4,T cell median channel shift in Patient serum and Donor blood by Flow cytometry (FC),high
http://loinc.org,96049-2,B cell crossmatch [Presence] in Patient serum and Donor blood by Flow cytometry (FC),high
http://loinc.org,96050-0,B cell median channel shift in Patient serum and Donor blood by Flow cytometry (FC),high
http://loinc.org,97999-7,"HLA-DP & DQ & DR (class II) Ab.IgG donor specific, Blood",high
http://loinc.org,98003-7,"HLA-A & B & C (class I) Ab.IgG donor specific, Blood",high
http://loinc.org,11529-5,Surgical pathology study,medium
http://loinc.org,22637-3,Pathology report final diagnosis Narrative,medium
http://loinc.org,34960-5,"HLA antibody, Blood",medium
http://loinc.org,35265-8,Pathology report addendum in Specimen Narrative,medium
http://loinc.org,35471-2,"HLA antibody, Blood or tissue specimen",medium
http://loinc.org,40734-6,"HLA antibody, Blood",medium
http://loinc.org,41618-0,"HLA antibody, Blood",medium
http://loinc.org,44534-6,"HLA antibody, Blood",medium
http://loinc.org,45153-4,"HLA antibody, Blood",medium
http://loinc.org,4693-8,"HLA Ag Absent, Blood or tissue specimen",medium
http://loinc.org,46993-2,"HLA Ab panel, Blood",medium
http://loinc.org,46994-0,"HLA-A+B+C (class I) antibody, Blood",medium
