system,code,display,priority,evidence
http://loinc.org,600-7,Bacteria identified in Blood by Culture,high,confirmed
http://loinc.org,610-6,Bacteria identified in Body fluid by Aerobe culture,high,confirmed
http://loinc.org,611-4,Bacteria identified in Body fluid by Culture,high,confirmed
http://loinc.org,88683-8,Bacteria identified in Bronchoalveolar lavage by Anaerobe culture,high,confirmed
http://loinc.org,49543-2,Bacteria identified in Cerebral spinal fluid by Culture,high,confirmed
http://loinc.org,634-6,Bacteria identified in Specimen by Aerobe culture,high,confirmed
http://loinc.org,635-3,Bacteria identified in Specimen by Anaerobe culture,high,confirmed
http://loinc.org,6463-4,Bacteria identified in Specimen by Culture,high,confirmed
http://loinc.org,6460-0,Bacteria identified in Sputum by Culture,high,confirmed
http://loinc.org,624-7,Bacteria identified in Sputum by Respiratory culture,high,confirmed
http://loinc.org,630-4,Bacteria identified in Urine by Culture,high,confirmed
http://loinc.org,6462-6,Bacteria identified in Wound by Culture,high,confirmed
http://loinc.org,42330-1,Bordetella pertussis DNA [Presence] in Nasopharynx by NAA with non-probe detection,high,confirmed
http://loinc.org,29621-0,Bordetella pertussis DNA [Presence] in Nasopharynx by NAA with probe detection,high,confirmed
http://loinc.org,23826-1,Bordetella pertussis DNA [Presence] in Specimen by NAA with probe detection,high,confirmed
http://loinc.org,80684-4,Campylobacter coli+jejuni+lari 16S rRNA [Presence] in Stool by NAA with probe detection,high,confirmed
http://loinc.org,82196-7,Campylobacter coli+jejuni+upsaliensis DNA [Presence] in Stool by NAA with non-probe detection,high,confirmed
http://loinc.org,23859-2,Chlamydophila pneumoniae DNA [Presence] in Specimen by NAA with probe detection,high,confirmed
http://loinc.org,34468-9,Clostridioides difficile toxin A+B [Presence] in Stool by Immunoassay,high,confirmed
http://loinc.org,82197-5,Clostridioides difficile toxin A+B tcdA+tcdB genes [Presence] in Stool by NAA with non-probe detection,high,confirmed
http://loinc.org,80685-1,Clostridioides difficile toxin A+B tcdA+tcdB genes [Presence] in Stool by NAA with probe detection,high,confirmed
http://loinc.org,10895-1,Clostridioides difficile toxin B [Presence] in Stool,high,confirmed
http://loinc.org,54067-4,Clostridioides difficile toxin genes [Presence] in Stool by NAA with probe detection,high,confirmed
http://loinc.org,106061-5,Enteric bacteria panel - Stool by NAA with probe detection,high,confirmed
http://loinc.org,82204-9,Escherichia coli O157 DNA [Presence] in Stool by NAA with non-probe detection,high,confirmed
http://loinc.org,97320-6,Escherichia coli O157 DNA [Presence] in Stool by NAA with probe detection,high,confirmed
http://loinc.org,81285-9,Escherichia coli Stx1 and Stx2 toxin genes [Presence] in Stool by NAA with probe detection,high,confirmed
http://loinc.org,82203-1,Escherichia coli Stx1 and Stx2 toxin stx1+stx2 genes [Presence] in Stool by NAA with non-probe detection,high,confirmed
