system,code,display,priority,evidence
http://loinc.org,601-5,Fungus identified in Blood by Culture,high,confirmed
http://loinc.org,569-4,Fungus identified in Cerebral spinal fluid by Culture,high,confirmed
http://loinc.org,570-2,Fungus identified in Body fluid by Culture,high,confirmed
http://loinc.org,580-1,Fungus identified in Specimen by Culture,high,confirmed
http://loinc.org,40435-0,Fungus identified in Urine by Culture,medium,confirmed
http://loinc.org,575-1,Fungus identified in Skin by Culture,low,confirmed
http://loinc.org,577-7,Fungus identified in Sputum by Culture,high,confirmed
http://loinc.org,6409-7,Fungus identified in Sputum tracheal aspirate by Culture,high,confirmed
http://loinc.org,24009-3,Fungus identified in Bronchial specimen by Culture,high,confirmed
http://loinc.org,88686-1,Fungus identified in Bronchoalveolar lavage by Culture,high,confirmed
http://loinc.org,89656-3,Fungus identified in Lower respiratory specimen by Culture,high,confirmed
http://loinc.org,91812-8,Fungus identified in Upper respiratory specimen by Culture,medium,confirmed
http://loinc.org,105618-3,Fungus identified in Throat by Culture,medium,confirmed
http://loinc.org,76073-6,Fungus identified in Nose by Culture,medium,confirmed
http://loinc.org,87980-9,Fungus identified in Sinus by Culture,medium,confirmed
http://loinc.org,21003-9,Fungus identified in Specimen by Fungus stain,high,confirmed
http://loinc.org,32809-6,Fungus identified in Bronchial specimen by Fungus stain,high,confirmed
http://loinc.org,667-6,Microscopic observation [Identifier] in Specimen by KOH preparation,medium,
http://loinc.org,644-5,Microscopic observation [Identifier] in Skin by KOH preparation,low,
http://loinc.org,68383-9,Microscopic observation [Identifier] in Body fluid by KOH preparation,medium,
http://loinc.org,55303-2,Fungus [Presence] in Skin by KOH preparation,low,confirmed
http://loinc.org,70125-0,Yeast.hyphae [Presence] in Specimen by KOH preparation,medium,confirmed
http://loinc.org,74759-2,Yeast [Presence] in Specimen by Gram stain,medium,confirmed
http://loinc.org,18482-0,Yeast [Presence] in Specimen by Organism specific culture,medium,confirmed
http://loinc.org,90078-7,Yeast identified in Isolate by Organism specific culture,medium,confirmed
http://loinc.org,100903-4,Yeast and Candida sp identification panel - Specimen by Organism specific culture,medium,
http://loinc.org,555-3,Candida sp identified in Specimen by Organism specific culture,medium,confirmed
http://loinc.org,42176-8,"1,3 beta glucan [Mass/volume] in Serum",high,confirmed
http://loinc.org,93812-6,"1,3 beta glucan [Presence] in Serum",high,confirmed
http://loinc.org,92805-1,Blood Fungal Pathogens Panel by NAA with probe detection in Positive blood culture,high,
http://loinc.org,85762-3,Blood pathogens panel by NAA with non-probe detection in Positive blood culture,medium,
http://loinc.org,70022-9,Candida albicans DNA [Presence] in Blood by NAA with probe detection,high,confirmed
http://loinc.org,70023-7,Candida tropicalis DNA [Presence] in Blood by NAA with probe detection,high,confirmed
http://loinc.org,70024-5,Candida parapsilosis DNA [Presence] in Blood by NAA with probe detection,high,confirmed
http://loinc.org,70025-2,Candida krusei DNA [Presence] in Blood by NAA with probe detection,high,confirmed
http://loinc.org,70026-0,Candida glabrata DNA [Presence] in Blood by NAA with probe detection,high,confirmed
http://loinc.org,85781-3,Candida albicans DNA [Presence] by NAA with non-probe detection in Positive blood culture,high,confirmed
http://loinc.org,85782-1,Candida glabrata DNA [Presence] by NAA with non-probe detection in Positive blood culture,high,confirmed
http://loinc.org,92791-3,Candida auris DNA [Presence] by NAA with probe detection in Positive blood culture,high,confirmed
http://loinc.org,92792-1,Candida dubliniensis DNA [Presence] by NAA with probe detection in Positive blood culture,high,confirmed
http://loinc.org,92793-9,Candida famata DNA [Presence] by NAA with probe detection in Positive blood culture,medium,confirmed
http://loinc.org,92799-6,Candida parapsilosis DNA [Presence] by NAA with probe detection in Positive blood culture,high,confirmed
http://loinc.org,95766-2,Candida auris DNA [Presence] in Blood by NAA with non-probe detection,high,confirmed
http://loinc.org,95765-4,Candida auris DNA [Presence] in Specimen by NAA with non-probe detection,high,confirmed
http://loinc.org,95764-7,Candida auris DNA [Presence] in Urine by NAA with non-probe detection,medium,confirmed
http://loinc.org,106583-8,Candida auris DNA [Presence] in Body fluid by NAA with non-probe detection,high,confirmed
http://loinc.org,101781-3,Candida guilliermondii DNA [Presence] in Specimen by NAA with probe detection,medium,confirmed
http://loinc.org,72481-5,Candida sp 6 panel - Vaginal fluid by NAA with probe detection,low,
http://loinc.org,69562-7,Candida albicans DNA [Presence] in Vaginal fluid by NAA with probe detection,low,confirmed
http://loinc.org,69563-5,Candida glabrata DNA [Presence] in Vaginal fluid by NAA with probe detection,low,confirmed
http://loinc.org,72389-0,Candida krusei DNA [Presence] in Vaginal fluid by NAA with probe detection,low,confirmed
http://loinc.org,72390-8,Candida lusitaniae DNA [Presence] in Vaginal fluid by NAA with probe detection,low,confirmed
http://loinc.org,72495-5,Candida parapsilosis DNA [Presence] in Vaginal fluid by NAA with probe detection,low,confirmed
http://loinc.org,72391-6,Candida tropicalis DNA [Presence] in Vaginal fluid by NAA with probe detection,low,confirmed
http://loinc.org,33461-5,Candida albicans Ab [Presence] in Cerebral spinal fluid,medium,confirmed
http://loinc.org,51539-5,Candida albicans IgG Ab [Presence] in Serum,low,
http://loinc.org,44099-0,Galactomannan Ag [Presence] in Serum or Plasma by Immunoassay,high,confirmed
http://loinc.org,35383-9,Galactomannan Ag [Units/volume] in Serum or Plasma,high,confirmed
http://loinc.org,62467-6,Aspergillus Ag [Units/volume] in Serum or Plasma or Bronchoalveolar lavage by Immunoassay,high,confirmed
http://loinc.org,100671-7,Aspergillus sp DNA [Presence] in Blood by NAA with probe detection,high,confirmed
http://loinc.org,49863-4,Aspergillus sp DNA [Presence] in Specimen by NAA with probe detection,high,confirmed
http://loinc.org,62478-3,Aspergillus fumigatus DNA [Presence] in Specimen by NAA with probe detection,high,confirmed
http://loinc.org,100672-5,Aspergillus fumigatus DNA [Presence] in Blood by NAA with probe detection,high,confirmed
