system,code,display,priority,evidence
http://loinc.org,94499-1,Respiratory viral pathogens DNA and RNA panel - Respiratory system specimen Qualitative by NAA with probe detection,high,
http://loinc.org,92143-7,Respiratory pathogens DNA and RNA panel - Respiratory system specimen by NAA with probe detection,medium,
http://loinc.org,92696-4,Gastrointestinal viral pathogens panel - Stool by NAA with probe detection,high,
http://loinc.org,79381-0,Gastrointestinal pathogens panel - Stool by NAA with probe detection,medium,
http://loinc.org,82195-9,Gastrointestinal pathogens DNA and RNA panel - Stool by NAA with non-probe detection,medium,
http://loinc.org,106062-3,Enteric pathogen panel - Stool by NAA with probe detection,medium,
http://loinc.org,49345-2,BK virus DNA [#/volume] (viral load) in Blood by NAA with probe detection,high,confirmed
http://loinc.org,100674-1,BK virus DNA [Log #/volume] (viral load) in Blood by NAA with probe detection,high,confirmed
http://loinc.org,41479-7,BK virus DNA [#/volume] (viral load) in Serum or Plasma by NAA with probe detection,high,confirmed
http://loinc.org,32284-2,BK virus DNA [Units/volume] (viral load) in Serum or Plasma by NAA with probe detection,high,confirmed
http://loinc.org,108224-7,BK virus DNA [log units/volume] (viral load) in Serum or Plasma by NAA with probe detection,high,confirmed
http://loinc.org,41480-5,BK virus DNA [#/volume] (viral load) in Urine by NAA with probe detection,high,confirmed
http://loinc.org,32285-9,BK virus DNA [Units/volume] (viral load) in Urine by NAA with probe detection,high,confirmed
http://loinc.org,80386-6,BK virus DNA [Presence] in Urine by NAA with probe detection,high,confirmed
http://loinc.org,90440-9,BK virus + JC virus DNA [Presence] in Specimen by NAA with probe detection,high,confirmed
http://loinc.org,33295-7,JC virus DNA [Presence] in Cerebral spinal fluid by NAA with probe detection,high,confirmed
http://loinc.org,49410-4,JC virus DNA [#/volume] (viral load) in Cerebral spinal fluid by NAA with probe detection,high,confirmed
http://loinc.org,101732-6,JC virus DNA [log units/volume] (viral load) in Cerebral spinal fluid by NAA with probe detection,high,confirmed
http://loinc.org,101342-4,JC virus DNA [Units/volume] (viral load) in Serum or Plasma by NAA with probe detection,high,confirmed
http://loinc.org,101731-8,JC virus DNA [log units/volume] (viral load) in Serum or Plasma by NAA with probe detection,high,confirmed
http://loinc.org,11483-5,Varicella zoster virus DNA [Presence] in Specimen by NAA with probe detection,high,confirmed
http://loinc.org,94584-0,Varicella zoster virus DNA [Presence] in Specimen by NAA with non-probe detection,high,confirmed
http://loinc.org,49451-8,Varicella zoster virus DNA [#/volume] (viral load) in Specimen by NAA with probe detection,high,confirmed
http://loinc.org,100982-8,Varicella zoster virus DNA [Log #/volume] (viral load) in Specimen by NAA with probe detection,high,confirmed
http://loinc.org,29248-2,Varicella zoster virus DNA [Presence] in Blood by NAA with probe detection,high,confirmed
http://loinc.org,82188-4,Varicella zoster virus DNA [Presence] in Cerebral spinal fluid by NAA with non-probe detection,high,confirmed
http://loinc.org,87961-9,Varicella zoster virus DNA [Presence] in Body fluid by NAA with probe detection,high,confirmed
http://loinc.org,88536-8,Varicella zoster virus DNA [Presence] in Aspirate by NAA with probe detection,high,confirmed
http://loinc.org,35399-5,Varicella zoster virus DNA [Presence] in Eye by NAA with probe detection,high,confirmed
http://loinc.org,35400-1,Varicella zoster virus DNA [Presence] in Tissue by NAA with probe detection,high,confirmed
http://loinc.org,31982-2,Varicella zoster virus Ag [Presence] in Specimen,medium,confirmed
http://loinc.org,5881-8,Varicella zoster virus Ag [Presence] in Skin by Immunofluorescence,high,confirmed
http://loinc.org,5882-6,Varicella zoster virus Ag [Presence] in Specimen by Immunofluorescence,high,confirmed
http://loinc.org,8048-1,Varicella zoster virus IgM Ab [Units/volume] in Serum,medium,confirmed
http://loinc.org,22606-8,Varicella zoster virus IgM Ab [Titer] in Serum,medium,confirmed
http://loinc.org,6570-6,Varicella zoster virus IgM Ab [Titer] in Serum by Immunofluorescence,medium,confirmed
http://loinc.org,38351-3,Herpes virus 6 DNA panel - Specimen by NAA with probe detection,high,
http://loinc.org,33941-6,Herpes virus 6 DNA [Presence] in Blood by NAA with probe detection,high,confirmed
http://loinc.org,33942-4,Herpes virus 6 DNA [Presence] in Cerebral spinal fluid by NAA with probe detection,high,confirmed
http://loinc.org,33940-8,Herpes virus 6 DNA [Presence] in Tissue by NAA with probe detection,high,confirmed
http://loinc.org,101254-1,Herpes virus 6 DNA [Units/volume] (viral load) in Serum or Plasma by NAA with probe detection,high,confirmed
http://loinc.org,97992-2,Herpes virus 6 IgM Ab [Presence] in Serum by Immunofluorescence,medium,confirmed
http://loinc.org,49403-9,Herpes virus 8 DNA [#/volume] (viral load) in Specimen by NAA with probe detection,high,confirmed
http://loinc.org,97873-4,Herpes virus 8 IgM Ab [Presence] in Serum or Plasma,medium,confirmed
http://loinc.org,97863-5,Herpes virus 8 IgM Ab [Presence] in Serum or Plasma by Immunofluorescence,medium,confirmed
http://loinc.org,9571-1,Parvovirus B19 DNA [Presence] in Specimen by NAA with probe detection,high,confirmed
