system,code,display
http://loinc.org,2276-4,Ferritin [Mass/volume] in Serum or Plasma
http://loinc.org,20567-4,Ferritin [Mass/volume] in Serum or Plasma by Immunoassay
http://loinc.org,24373-3,Ferritin [Mass/volume] in Blood
http://loinc.org,14723-1,Ferritin [Moles/volume] in Serum or Plasma
http://loinc.org,35209-6,Ferritin [Mass or Moles/volume] in Serum or Plasma
http://loinc.org,14724-9,Ferritin [Interpretation] in Blood
http://loinc.org,86914-9,Ferritin goal [Mass/volume] Serum or Plasma
http://loinc.org,74807-9,Transferrin receptor.soluble/log Ferritin index [Mass Ratio] in Serum or Plasma
urn:oid:1.2.840.114350.1.13.713.3.7.2.768282,1526444,Ferritin
urn:oid:1.2.840.114350.1.13.713.3.7.2.768282,1230014467,Ferritin
urn:oid:1.2.840.114350.1.13.713.3.7.2.768282,1230108051,External Ferritin
