system,code,display,priority
http://snomed.info/sct,108241001,Dialysis procedure,high
http://snomed.info/sct,14684005,Peritoneal dialysis excluding cannulation,high
http://snomed.info/sct,225230008,Chronic peritoneal dialysis,high
http://snomed.info/sct,233575001,Intermittent hemodialysis,high
http://snomed.info/sct,238318009,Continuous ambulatory peritoneal dialysis,high
http://snomed.info/sct,238319001,Continuous cycling peritoneal dialysis,high
http://snomed.info/sct,238321006,Intermittent peritoneal dialysis,high
http://snomed.info/sct,238322004,"Peritoneal dialysis, tidal",high
http://snomed.info/sct,238323009,Night-time intermittent peritoneal dialysis,high
http://snomed.info/sct,265550007,Transplant nephrectomy (procedure),high
http://snomed.info/sct,265764009,Renal dialysis,high
http://snomed.info/sct,284348003,Excision of rejected transplanted kidney (procedure),high
http://snomed.info/sct,302497006,Hemodialysis procedure,high
http://snomed.info/sct,34897002,"Hemodialysis, maintenance in hospital",high
http://snomed.info/sct,428648006,Automated peritoneal dialysis (procedure),high
http://snomed.info/sct,57274006,Initial hemodialysis,high
http://snomed.info/sct,676002,Peritoneal dialysis including cannulation,high
http://snomed.info/sct,67970008,"Hemodialysis, maintenance at home",high
http://snomed.info/sct,71192002,Peritoneal dialysis,high
http://www.ama-assn.org/go/cpt,50370,Removal of transplanted renal allograft,high
http://www.ama-assn.org/go/cpt,90935,Hemodialysis procedure with single evaluation by physician or other qualified health care professional,high
http://www.ama-assn.org/go/cpt,90937,Hemodialysis procedure requiring repeated evaluations,high
http://www.ama-assn.org/go/cpt,90945,Dialysis procedure other than hemodialysis with single evaluation,high
http://www.ama-assn.org/go/cpt,90947,Dialysis procedure other than hemodialysis requiring repeated evaluations,high
http://www.cms.gov/Medicare/Coding/HCPCSReleaseCodeSets,G0257,Unscheduled or emergency dialysis treatment for an ESRD patient in a hospital outpatient department,high
http://www.cms.gov/Medicare/Coding/ICD10,5A1D70Z,"Performance of urinary filtration, intermittent, less than 6 hours per day",high
http://www.cms.gov/Medicare/Coding/ICD10,5A1D80Z,"Performance of urinary filtration, intermittent, 6-18 hours per day",high
http://www.cms.gov/Medicare/Coding/ICD10,5A1D90Z,"Performance of urinary filtration, continuous, greater than 18 hours per day",high
http://snomed.info/sct,182750009,Ultrafiltration,medium
http://snomed.info/sct,341939001,Extracorporeal haemofiltration,medium
