system,code,display
http://snomed.info/sct,1017216005,"Laparoscopic total excision of right kidney (procedure)"
http://snomed.info/sct,1017217001,"Laparoscopic total excision of left kidney (procedure)"
http://snomed.info/sct,108022006,"Kidney excision (procedure)"
http://snomed.info/sct,116033007,"Radical nephrectomy (procedure)"
http://snomed.info/sct,116166009,"Radical nephrectomy AND ipsilateral adrenalectomy (procedure)"
http://snomed.info/sct,12976005,"Donor nephrectomy (procedure)"
http://snomed.info/sct,175905003,"Total nephrectomy (procedure)"
http://snomed.info/sct,175911000,"Live donor nephrectomy (procedure)"
http://snomed.info/sct,1866009,"Bilateral total nephrectomy (procedure)"
http://snomed.info/sct,265550007,"Transplant nephrectomy (procedure)"
http://snomed.info/sct,361249003,"Nephrectomy with excision of perirenal tissue (procedure)"
http://snomed.info/sct,439235001,"Laparoscopic radical nephrectomy (procedure)"
http://snomed.info/sct,439964001,"Laparoscopic excision of kidney and total excision of ureter (procedure)"
http://snomed.info/sct,440446009,"Laparoscopic excision of kidney and partial excision of ureter (procedure)"
http://snomed.info/sct,442919002,"Adrenal sparing radical nephrectomy (procedure)"
http://snomed.info/sct,444083005,"Total nephrectomy of left kidney (procedure)"
http://snomed.info/sct,446296004,"Laparoscopic total excision of kidney (procedure)"
http://snomed.info/sct,6561000179108,"Open nephrectomy from live donor (procedure)"
http://snomed.info/sct,698869007,"Laparoscopic bilateral total nephrectomy (procedure)"
http://snomed.info/sct,708908003,"Laparoscopic live donor nephrectomy (procedure)"
http://snomed.info/sct,712998006,"Laparoscopic radical nephrectomy using robotic assistance (procedure)"
http://snomed.info/sct,714031000,"Single port laparoscopic nephrectomy (procedure)"
http://snomed.info/sct,765472003,"Excision of left kidney (procedure)"
http://snomed.info/sct,765473008,"Excision of right kidney (procedure)"
http://snomed.info/sct,88930008,"Total nephrectomy in recipient (procedure)"
http://www.cms.gov/Medicare/Coding/ICD10,0TB00ZZ,"Excision of Right Kidney, Open Approach"
http://www.cms.gov/Medicare/Coding/ICD10,0TB03ZZ,"Excision of Right Kidney, Percutaneous Approach"
http://www.cms.gov/Medicare/Coding/ICD10,0TB04ZZ,"Excision of Right Kidney, Percutaneous Endoscopic Approach"
http://www.cms.gov/Medicare/Coding/ICD10,0TB07ZZ,"Excision of Right Kidney, Via Natural or Artificial Opening"
http://www.cms.gov/Medicare/Coding/ICD10,0TB08ZZ,"Excision of Right Kidney, Via Natural or Artificial Opening Endoscopic"
http://www.cms.gov/Medicare/Coding/ICD10,0TB10ZZ,"Excision of Left Kidney, Open Approach"
http://www.cms.gov/Medicare/Coding/ICD10,0TB13ZZ,"Excision of Left Kidney, Percutaneous Approach"
http://www.cms.gov/Medicare/Coding/ICD10,0TB14ZZ,"Excision of Left Kidney, Percutaneous Endoscopic Approach"
http://www.cms.gov/Medicare/Coding/ICD10,0TB17ZZ,"Excision of Left Kidney, Via Natural or Artificial Opening"
http://www.cms.gov/Medicare/Coding/ICD10,0TB18ZZ,"Excision of Left Kidney, Via Natural or Artificial Opening Endoscopic"
http://www.cms.gov/Medicare/Coding/ICD10,0TT00ZZ,"Resection of Right Kidney, Open Approach"
http://www.cms.gov/Medicare/Coding/ICD10,0TT04ZZ,"Resection of Right Kidney, Percutaneous Endoscopic Approach"
http://www.cms.gov/Medicare/Coding/ICD10,0TT10ZZ,"Resection of Left Kidney, Open Approach"
http://www.cms.gov/Medicare/Coding/ICD10,0TT14ZZ,"Resection of Left Kidney, Percutaneous Endoscopic Approach"
http://www.cms.gov/Medicare/Coding/ICD10,0TT20ZZ,"Resection of Bilateral Kidneys, Open Approach"
http://www.cms.gov/Medicare/Coding/ICD10,0TT24ZZ,"Resection of Bilateral Kidneys, Percutaneous Endoscopic Approach"
