system,code,display,priority,evidence
http://www.nlm.nih.gov/research/umls/rxnorm,1156390,mycophenolic acid Oral Product,high,confirmed
http://www.nlm.nih.gov/research/umls/rxnorm,1156391,mycophenolic acid Pill,high,confirmed
http://www.nlm.nih.gov/research/umls/rxnorm,1157869,mycophenolate mofetil Injectable Product,high,confirmed
http://www.nlm.nih.gov/research/umls/rxnorm,1157870,mycophenolate mofetil Oral Liquid Product,high,confirmed
http://www.nlm.nih.gov/research/umls/rxnorm,1157871,mycophenolate mofetil Oral Product,high,confirmed
http://www.nlm.nih.gov/research/umls/rxnorm,1157872,mycophenolate mofetil Pill,high,confirmed
http://www.nlm.nih.gov/research/umls/rxnorm,1166213,Cellcept Injectable Product,high,confirmed
http://www.nlm.nih.gov/research/umls/rxnorm,1166214,Cellcept Oral Liquid Product,high,confirmed
http://www.nlm.nih.gov/research/umls/rxnorm,1166215,Cellcept Oral Product,high,confirmed
http://www.nlm.nih.gov/research/umls/rxnorm,1166216,Cellcept Pill,high,confirmed
http://www.nlm.nih.gov/research/umls/rxnorm,1184447,Myfortic Oral Product,high,confirmed
http://www.nlm.nih.gov/research/umls/rxnorm,1184448,Myfortic Pill,high,confirmed
http://www.nlm.nih.gov/research/umls/rxnorm,152633,Cellcept,high,confirmed
http://www.nlm.nih.gov/research/umls/rxnorm,1726176,mycophenolate mofetil Injection,high,confirmed
http://www.nlm.nih.gov/research/umls/rxnorm,1726179,mycophenolate mofetil Injection [Cellcept],high,confirmed
http://www.nlm.nih.gov/research/umls/rxnorm,199058,mycophenolate mofetil 250 MG Oral Capsule,high,confirmed
http://www.nlm.nih.gov/research/umls/rxnorm,200060,mycophenolate mofetil 500 MG Oral Tablet,high,confirmed
http://www.nlm.nih.gov/research/umls/rxnorm,213394,CellCept 500 MG Injection,high,confirmed
http://www.nlm.nih.gov/research/umls/rxnorm,237112,mycophenolate mofetil hydrochloride,high,confirmed
http://www.nlm.nih.gov/research/umls/rxnorm,265323,mycophenolate,high,confirmed
http://www.nlm.nih.gov/research/umls/rxnorm,2684847,mycophenolate mofetil 200 MG/ML [Myhibbin],high,confirmed
http://www.nlm.nih.gov/research/umls/rxnorm,2684850,mycophenolate mofetil Oral Suspension [Myhibbin],high,confirmed
http://www.nlm.nih.gov/research/umls/rxnorm,2684851,mycophenolate mofetil 200 MG/ML Oral Suspension [Myhibbin],high,confirmed
http://www.nlm.nih.gov/research/umls/rxnorm,311880,mycophenolate mofetil 200 MG/ML Oral Suspension,high,confirmed
http://www.nlm.nih.gov/research/umls/rxnorm,311881,mycophenolate mofetil 500 MG Injection,high,confirmed
http://www.nlm.nih.gov/research/umls/rxnorm,316316,mycophenolate mofetil 250 MG,high,confirmed
http://www.nlm.nih.gov/research/umls/rxnorm,316317,mycophenolate mofetil 500 MG,high,confirmed
http://www.nlm.nih.gov/research/umls/rxnorm,331587,mycophenolate mofetil 200 MG/ML,high,confirmed
http://www.nlm.nih.gov/research/umls/rxnorm,374667,mycophenolate mofetil Oral Tablet,high,confirmed
http://www.nlm.nih.gov/research/umls/rxnorm,374670,mycophenolate mofetil Oral Suspension,high,confirmed
http://www.nlm.nih.gov/research/umls/rxnorm,379060,mycophenolate mofetil Oral Capsule,high,confirmed
http://www.nlm.nih.gov/research/umls/rxnorm,408142,mycophenolate sodium,high,confirmed
http://www.nlm.nih.gov/research/umls/rxnorm,485018,mycophenolic acid 180 MG,high,confirmed
http://www.nlm.nih.gov/research/umls/rxnorm,485019,mycophenolic acid Delayed Release Oral Tablet,high,confirmed
