system,code,display,prority,evidence
http://www.nlm.nih.gov/research/umls/rxnorm,1011,"lymphocyte immune globulin, anti-thymocyte globulin",high,confirmed
http://www.nlm.nih.gov/research/umls/rxnorm,107047,anti-thymocyte globulin (rabbit) 25 MG Injection,high,confirmed
http://www.nlm.nih.gov/research/umls/rxnorm,107050,Thymoglobulin 25 MG Injection,high,confirmed
http://www.nlm.nih.gov/research/umls/rxnorm,1165939,ATGAM Injectable Product,high,confirmed
http://www.nlm.nih.gov/research/umls/rxnorm,1177887,Thymoglobulin Injectable Product,high,confirmed
http://www.nlm.nih.gov/research/umls/rxnorm,1204,ATGAM,high,confirmed
http://www.nlm.nih.gov/research/umls/rxnorm,1870645,"lymphocyte immune globulin, anti-thymocyte globulin, equine 50 MG/ML Injection",high,confirmed
http://www.nlm.nih.gov/research/umls/rxnorm,1870646,ATGAM 50 MG/ML Injection,high,confirmed
http://www.nlm.nih.gov/research/umls/rxnorm,197906,"lymphocyte immune globulin, anti-thymocyte, equine 250 MG in 5 mL Injection",high,confirmed
http://www.nlm.nih.gov/research/umls/rxnorm,206289,5 ML ATGAM 50 MG/ML Injection,high,confirmed
http://www.nlm.nih.gov/research/umls/rxnorm,225741,Thymoglobulin,high,confirmed
http://www.nlm.nih.gov/research/umls/rxnorm,2282514,"lymphocyte immune globulin, anti-thymocyte globulin, equine 50 MG/ML",high,confirmed
http://www.nlm.nih.gov/research/umls/rxnorm,2282515,"lymphocyte immune globulin, anti-thymocyte globulin Injectable Product",high,confirmed
http://www.nlm.nih.gov/research/umls/rxnorm,2282516,"lymphocyte immune globulin, anti-thymocyte globulin Injection",high,confirmed
http://www.nlm.nih.gov/research/umls/rxnorm,2282518,"lymphocyte immune globulin, anti-thymocyte globulin, equine 50 MG/ML [ATGAM]",high,confirmed
http://www.nlm.nih.gov/research/umls/rxnorm,2282519,"lymphocyte immune globulin, anti-thymocyte globulin Injection [ATGAM]",high,confirmed
http://www.nlm.nih.gov/research/umls/rxnorm,2282527,rabbit anti-human T-lymphocyte globulin 25 MG [Thymoglobulin],high,confirmed
http://www.nlm.nih.gov/research/umls/rxnorm,2282528,"lymphocyte immune globulin, anti-thymocyte globulin Injection [Thymoglobulin]",high,confirmed
http://www.nlm.nih.gov/research/umls/rxnorm,2645851,"lymphocyte immune globulin, anti-thymocyte globulin, equine Injection",high,confirmed
http://www.nlm.nih.gov/research/umls/rxnorm,2656074,"lymphocyte immune globulin, anti-thymocyte globulin, equine Injection [ATGAM]",high,confirmed
http://www.nlm.nih.gov/research/umls/rxnorm,2658842,rabbit anti-human T-lymphocyte globulin Injection [Thymoglobulin],high,confirmed
http://www.nlm.nih.gov/research/umls/rxnorm,2659841,"lymphocyte immune globulin, anti-thymocyte globulin, equine Injectable Product",high,confirmed
http://www.nlm.nih.gov/research/umls/rxnorm,91601,"lymphocyte immune globulin, anti-thymocyte globulin, equine",high,confirmed
http://www.nlm.nih.gov/research/umls/rxnorm,2282525,rabbit anti-human T-lymphocyte globulin 25 MG,high,confirmed
http://www.nlm.nih.gov/research/umls/rxnorm,973,antilymphocyte immunoglobulin,medium,suspected
