system,code,display,priority,evidence
http://www.nlm.nih.gov/research/umls/rxnorm,1156186,cycloSPORINE Injectable Product,high,confirmed
http://www.nlm.nih.gov/research/umls/rxnorm,1156188,cycloSPORINE Oral Liquid Product,high,confirmed
http://www.nlm.nih.gov/research/umls/rxnorm,1156189,cycloSPORINE Oral Product,high,confirmed
http://www.nlm.nih.gov/research/umls/rxnorm,1156190,cycloSPORINE Pill,high,confirmed
http://www.nlm.nih.gov/research/umls/rxnorm,1169824,Gengraf Oral Liquid Product,high,confirmed
http://www.nlm.nih.gov/research/umls/rxnorm,1169825,Gengraf Oral Product,high,confirmed
http://www.nlm.nih.gov/research/umls/rxnorm,1169826,Gengraf Pill,high,confirmed
http://www.nlm.nih.gov/research/umls/rxnorm,1181672,Neoral Oral Liquid Product,high,confirmed
http://www.nlm.nih.gov/research/umls/rxnorm,1181673,Neoral Oral Product,high,confirmed
http://www.nlm.nih.gov/research/umls/rxnorm,1181674,Neoral Pill,high,confirmed
http://www.nlm.nih.gov/research/umls/rxnorm,1185408,SandIMMUNE Injectable Product,high,confirmed
http://www.nlm.nih.gov/research/umls/rxnorm,1185409,SandIMMUNE Oral Liquid Product,high,confirmed
http://www.nlm.nih.gov/research/umls/rxnorm,1185410,SandIMMUNE Oral Product,high,confirmed
http://www.nlm.nih.gov/research/umls/rxnorm,1185411,SandIMMUNE Pill,high,confirmed
http://www.nlm.nih.gov/research/umls/rxnorm,1732364,cycloSPORINE Injection,high,confirmed
http://www.nlm.nih.gov/research/umls/rxnorm,1732366,cycloSPORINE Injection [SandIMMUNE],high,confirmed
http://www.nlm.nih.gov/research/umls/rxnorm,1732368,cycloSPORINE 50 MG/ML Injection,high,confirmed
http://www.nlm.nih.gov/research/umls/rxnorm,1732369,SandIMMUNE 50 MG/ML Injection,high,confirmed
http://www.nlm.nih.gov/research/umls/rxnorm,1797520,"cycloSPORINE, modified 50 MG [Gengraf]",high,confirmed
http://www.nlm.nih.gov/research/umls/rxnorm,1797521,GENGRAF 50 MG Oral Capsule,high,confirmed
http://www.nlm.nih.gov/research/umls/rxnorm,197552,SandIMMUNE 100 MG Oral Capsule,high,confirmed
http://www.nlm.nih.gov/research/umls/rxnorm,197553,cycloSPORINE 25 MG Oral Capsule,high,confirmed
http://www.nlm.nih.gov/research/umls/rxnorm,202816,SandIMMUNE,high,confirmed
http://www.nlm.nih.gov/research/umls/rxnorm,202817,Neoral,high,confirmed
http://www.nlm.nih.gov/research/umls/rxnorm,205168,cycloSPORINE 50 MG Oral Capsule,high,confirmed
http://www.nlm.nih.gov/research/umls/rxnorm,205175,5 ML cycloSPORINE 50 MG/ML Injection,high,confirmed
http://www.nlm.nih.gov/research/umls/rxnorm,212810,SandIMMUNE 25 MG Oral Capsule,high,confirmed
http://www.nlm.nih.gov/research/umls/rxnorm,212821,SandIMMUNE 50 MG Oral Capsule,high,confirmed
http://www.nlm.nih.gov/research/umls/rxnorm,212844,5 ML SandIMMUNE 50 MG/ML Injection,high,confirmed
http://www.nlm.nih.gov/research/umls/rxnorm,212957,SandIMMUNE 100 MG/ML Oral Solution,high,confirmed
http://www.nlm.nih.gov/research/umls/rxnorm,212958,cycloSPORINE 100 MG/ML Oral Solution [Sangcya],high,confirmed
http://www.nlm.nih.gov/research/umls/rxnorm,236077,"cycloSPORINE, modified",high,confirmed
http://www.nlm.nih.gov/research/umls/rxnorm,241834,"cycloSPORINE, modified 100 MG Oral Capsule",high,confirmed
http://www.nlm.nih.gov/research/umls/rxnorm,261530,Gengraf,high,confirmed
http://www.nlm.nih.gov/research/umls/rxnorm,2645340,"cycloSPORINE, modified Oral Capsule",high,confirmed
http://www.nlm.nih.gov/research/umls/rxnorm,2647505,"cycloSPORINE, modified Oral Solution",high,confirmed
http://www.nlm.nih.gov/research/umls/rxnorm,2656813,"cycloSPORINE, modified Oral Capsule [Gengraf]",high,confirmed
http://www.nlm.nih.gov/research/umls/rxnorm,2657141,"cycloSPORINE, modified Oral Capsule [Neoral]",high,confirmed
http://www.nlm.nih.gov/research/umls/rxnorm,2657509,"cycloSPORINE, modified Oral Solution [Neoral]",high,confirmed
http://www.nlm.nih.gov/research/umls/rxnorm,2657747,"cycloSPORINE, modified Oral Solution [Gengraf]",high,confirmed
http://www.nlm.nih.gov/research/umls/rxnorm,2660112,"cycloSPORINE, modified Oral Product",high,confirmed
http://www.nlm.nih.gov/research/umls/rxnorm,2662711,"cycloSPORINE, modified Pill",high,confirmed
http://www.nlm.nih.gov/research/umls/rxnorm,2663521,"cycloSPORINE, modified Oral Liquid Product",high,confirmed
http://www.nlm.nih.gov/research/umls/rxnorm,2665976,"cycloSPORINE, modified 100 MG [Sporimune]",high,confirmed
http://www.nlm.nih.gov/research/umls/rxnorm,2665979,cycloSPORINE Oral Capsule [Sporimune],high,confirmed
http://www.nlm.nih.gov/research/umls/rxnorm,2665980,"cycloSPORINE, modified Oral Capsule [Sporimune]",high,confirmed
http://www.nlm.nih.gov/research/umls/rxnorm,2665981,"cycloSPORINE, modified 100 MG Oral Capsule [Sporimune]",high,confirmed
http://www.nlm.nih.gov/research/umls/rxnorm,2665982,"cycloSPORINE, modified 25 MG [Sporimune]",high,confirmed
http://www.nlm.nih.gov/research/umls/rxnorm,2665983,"cycloSPORINE, modified 25 MG Oral Capsule [Sporimune]",high,confirmed
http://www.nlm.nih.gov/research/umls/rxnorm,2665984,"cycloSPORINE, modified 50 MG [Sporimune]",high,confirmed
http://www.nlm.nih.gov/research/umls/rxnorm,2665985,"cycloSPORINE, modified 50 MG Oral Capsule [Sporimune]",high,confirmed
http://www.nlm.nih.gov/research/umls/rxnorm,3008,cycloSPORINE,high,confirmed
http://www.nlm.nih.gov/research/umls/rxnorm,309632,cycloSPORINE 100 MG/ML Oral Solution,high,confirmed
http://www.nlm.nih.gov/research/umls/rxnorm,315749,cycloSPORINE 100 MG,high,confirmed
http://www.nlm.nih.gov/research/umls/rxnorm,315750,cycloSPORINE 100 MG/ML,high,confirmed
http://www.nlm.nih.gov/research/umls/rxnorm,315751,cycloSPORINE 25 MG,high,confirmed
http://www.nlm.nih.gov/research/umls/rxnorm,315752,cycloSPORINE 50 MG,high,confirmed
http://www.nlm.nih.gov/research/umls/rxnorm,315753,cycloSPORINE 50 MG/ML,high,confirmed
http://www.nlm.nih.gov/research/umls/rxnorm,328160,cycloSPORINE 100 MG Oral Capsule,high,confirmed
http://www.nlm.nih.gov/research/umls/rxnorm,334294,"cycloSPORINE, modified 100 MG",high,confirmed
http://www.nlm.nih.gov/research/umls/rxnorm,348431,cycloSPORINE 1000 MG/ML Oral Solution,high,confirmed
http://www.nlm.nih.gov/research/umls/rxnorm,358763,cycloSPORINE 1000 MG/ML,high,confirmed
http://www.nlm.nih.gov/research/umls/rxnorm,363914,cycloSPORINE Oral Solution [Gengraf],high,confirmed
http://www.nlm.nih.gov/research/umls/rxnorm,363942,cycloSPORINE Oral Solution [Neoral],high,confirmed
