system,code,display,priority,evidence
http://www.nlm.nih.gov/research/umls/rxnorm,108513,Prograf 1 MG Oral Capsule,high,confirmed
http://www.nlm.nih.gov/research/umls/rxnorm,108514,Prograf 5 MG Oral Capsule,high,confirmed
http://www.nlm.nih.gov/research/umls/rxnorm,108515,Prograf 5 MG in 1 ML Injection,high,confirmed
http://www.nlm.nih.gov/research/umls/rxnorm,1163655,tacrolimus Injectable Product,high,confirmed
http://www.nlm.nih.gov/research/umls/rxnorm,1164202,tacrolimus Oral Product,high,confirmed
http://www.nlm.nih.gov/research/umls/rxnorm,1164203,tacrolimus Pill,high,confirmed
http://www.nlm.nih.gov/research/umls/rxnorm,1180662,Prograf Injectable Product,high,confirmed
http://www.nlm.nih.gov/research/umls/rxnorm,1180663,Prograf Oral Product,high,confirmed
http://www.nlm.nih.gov/research/umls/rxnorm,1180664,Prograf Pill,high,confirmed
http://www.nlm.nih.gov/research/umls/rxnorm,1235237,tacrolimus 0.5 MG [Hecoria],high,confirmed
http://www.nlm.nih.gov/research/umls/rxnorm,1235238,tacrolimus Oral Capsule [Hecoria],high,confirmed
http://www.nlm.nih.gov/research/umls/rxnorm,1235241,tacrolimus 0.5 MG Oral Capsule [Hecoria],high,confirmed
http://www.nlm.nih.gov/research/umls/rxnorm,1235242,tacrolimus 1 MG [Hecoria],high,confirmed
http://www.nlm.nih.gov/research/umls/rxnorm,1235243,tacrolimus 1 MG Oral Capsule [Hecoria],high,confirmed
http://www.nlm.nih.gov/research/umls/rxnorm,1235244,tacrolimus 5 MG [Hecoria],high,confirmed
http://www.nlm.nih.gov/research/umls/rxnorm,1235245,tacrolimus 5 MG Oral Capsule [Hecoria],high,confirmed
http://www.nlm.nih.gov/research/umls/rxnorm,1431970,tacrolimus Extended Release Oral Capsule,high,confirmed
http://www.nlm.nih.gov/research/umls/rxnorm,1431971,tacrolimus 0.5 MG 24HR Extended Release Oral Capsule,high,confirmed
http://www.nlm.nih.gov/research/umls/rxnorm,1431973,tacrolimus 0.5 MG [Astagraf],high,confirmed
http://www.nlm.nih.gov/research/umls/rxnorm,1431974,tacrolimus Extended Release Oral Capsule [Astagraf],high,confirmed
http://www.nlm.nih.gov/research/umls/rxnorm,1431977,24 HR tacrolimus 0.5 MG Extended Release Oral Capsule [Astagraf],high,confirmed
http://www.nlm.nih.gov/research/umls/rxnorm,1431978,tacrolimus 0.5 MG Extended Release Oral Capsule,high,confirmed
http://www.nlm.nih.gov/research/umls/rxnorm,1431979,tacrolimus 0.5 MG Extended Release Oral Capsule [Astagraf],high,confirmed
http://www.nlm.nih.gov/research/umls/rxnorm,1431980,tacrolimus 1 MG 24HR Extended Release Oral Capsule,high,confirmed
http://www.nlm.nih.gov/research/umls/rxnorm,1431981,tacrolimus 1 MG [Astagraf],high,confirmed
http://www.nlm.nih.gov/research/umls/rxnorm,1431982,24 HR tacrolimus 1 MG Extended Release Oral Capsule [Astagraf],high,confirmed
http://www.nlm.nih.gov/research/umls/rxnorm,1431983,tacrolimus 1 MG Extended Release Oral Capsule,high,confirmed
http://www.nlm.nih.gov/research/umls/rxnorm,1431984,tacrolimus 1 MG Extended Release Oral Capsule [Astagraf],high,confirmed
http://www.nlm.nih.gov/research/umls/rxnorm,1431985,tacrolimus 5 MG 24HR Extended Release Oral Capsule,high,confirmed
http://www.nlm.nih.gov/research/umls/rxnorm,1431986,tacrolimus 5 MG [Astagraf],high,confirmed
http://www.nlm.nih.gov/research/umls/rxnorm,1431987,24 HR tacrolimus 5 MG Extended Release Oral Capsule [Astagraf],high,confirmed
http://www.nlm.nih.gov/research/umls/rxnorm,1431988,tacrolimus 5 MG Extended Release Oral Capsule,high,confirmed
http://www.nlm.nih.gov/research/umls/rxnorm,1431989,tacrolimus 5 MG Extended Release Oral Capsule [Astagraf],high,confirmed
http://www.nlm.nih.gov/research/umls/rxnorm,1664432,tacrolimus 4 MG,high,confirmed
http://www.nlm.nih.gov/research/umls/rxnorm,1664433,tacrolimus Extended Release Oral Tablet,high,confirmed
http://www.nlm.nih.gov/research/umls/rxnorm,1664434,tacrolimus 4 MG 24HR Extended Release Tablet,high,confirmed
http://www.nlm.nih.gov/research/umls/rxnorm,1664435,Envarsus,high,confirmed
http://www.nlm.nih.gov/research/umls/rxnorm,1664436,tacrolimus 4 MG [Envarsus],high,confirmed
http://www.nlm.nih.gov/research/umls/rxnorm,1664437,tacrolimus Extended Release Oral Tablet [Envarsus],high,confirmed
http://www.nlm.nih.gov/research/umls/rxnorm,1664438,Envarsus Oral Product,high,confirmed
http://www.nlm.nih.gov/research/umls/rxnorm,1664439,Envarsus Pill,high,confirmed
