system,code,display,priority
http://www.nlm.nih.gov/research/umls/rxnorm,1743781,1 ML DEPO-Medrol 40 MG/ML Injection,high
http://www.nlm.nih.gov/research/umls/rxnorm,1743856,1 ML DEPO-Medrol 80 MG/ML Injection,high
http://www.nlm.nih.gov/research/umls/rxnorm,207192,A-METHAPRED 125 MG Injection,high
http://www.nlm.nih.gov/research/umls/rxnorm,203857,A-MethaPred,high
http://www.nlm.nih.gov/research/umls/rxnorm,207190,A-MethaPred 40 MG Injection,high
http://www.nlm.nih.gov/research/umls/rxnorm,1165881,A-MethaPred Injectable Product,high
http://www.nlm.nih.gov/research/umls/rxnorm,1743783,DEPO-Medrol 40 MG/ML Injection,high
http://www.nlm.nih.gov/research/umls/rxnorm,1743858,DEPO-Medrol 80 MG/ML Injection,high
http://www.nlm.nih.gov/research/umls/rxnorm,1173110,DEPO-Medrol Injectable Product,high
http://www.nlm.nih.gov/research/umls/rxnorm,202702,Medrol,high
http://www.nlm.nih.gov/research/umls/rxnorm,207138,Medrol 16 MG Oral Tablet,high
http://www.nlm.nih.gov/research/umls/rxnorm,207136,Medrol 2 MG Oral Tablet,high
http://www.nlm.nih.gov/research/umls/rxnorm,207139,Medrol 24 MG Oral Tablet,high
http://www.nlm.nih.gov/research/umls/rxnorm,207141,Medrol 32 MG Oral Tablet,high
http://www.nlm.nih.gov/research/umls/rxnorm,260330,Medrol 4 MG Oral Tablet,high
http://www.nlm.nih.gov/research/umls/rxnorm,207137,Medrol 8 MG Oral Tablet,high
http://www.nlm.nih.gov/research/umls/rxnorm,834023,Medrol Dosepak,high
http://www.nlm.nih.gov/research/umls/rxnorm,1183796,Medrol Oral Product,high
http://www.nlm.nih.gov/research/umls/rxnorm,1183797,Medrol Pill,high
http://www.nlm.nih.gov/research/umls/rxnorm,804173,Methylprednisolone 16 MG Oral Tablet 14 Count Pak,high
http://www.nlm.nih.gov/research/umls/rxnorm,203856,SOLU-Medrol,high
http://www.nlm.nih.gov/research/umls/rxnorm,1743729,SOLU-Medrol 1 GM Injection,high
http://www.nlm.nih.gov/research/umls/rxnorm,1743707,SOLU-Medrol 125 MG Injection,high
http://www.nlm.nih.gov/research/umls/rxnorm,1357888,SOLU-Medrol 2 GM Injection,high
http://www.nlm.nih.gov/research/umls/rxnorm,207191,SOLU-Medrol 40 MG Injection,high
http://www.nlm.nih.gov/research/umls/rxnorm,1743722,SOLU-Medrol 500 MG Injection,high
http://www.nlm.nih.gov/research/umls/rxnorm,207193,SOLU-Medrol 62.5 MG/ML Injectable Solution,high
http://www.nlm.nih.gov/research/umls/rxnorm,1184840,SOLU-Medrol Injectable Product,high
http://www.nlm.nih.gov/research/umls/rxnorm,6902,methylPREDNISolone,high
http://www.nlm.nih.gov/research/umls/rxnorm,340167,methylPREDNISolone 1 MG/ML,high
http://www.nlm.nih.gov/research/umls/rxnorm,334064,methylPREDNISolone 1.5 MG,high
http://www.nlm.nih.gov/research/umls/rxnorm,446407,methylPREDNISolone 10 MG/ML,high
http://www.nlm.nih.gov/research/umls/rxnorm,415857,methylPREDNISolone 10 MG/ML Injectable Solution,high
http://www.nlm.nih.gov/research/umls/rxnorm,332216,methylPREDNISolone 100 MG,high
http://www.nlm.nih.gov/research/umls/rxnorm,199771,methylPREDNISolone 100 MG Oral Tablet,high
http://www.nlm.nih.gov/research/umls/rxnorm,1743725,methylPREDNISolone 1000 MG,high
http://www.nlm.nih.gov/research/umls/rxnorm,1743726,methylPREDNISolone 1000 MG Injection,high
http://www.nlm.nih.gov/research/umls/rxnorm,1743727,methylPREDNISolone 1000 MG [SOLU-Medrol],high
