system,code,display,priority,evidence
http://www.nlm.nih.gov/research/umls/rxnorm,"2167159","10 ML Cutaquig 165 MG/ML Injection","target","confirmed"
http://www.nlm.nih.gov/research/umls/rxnorm,"2196391","10 ML Xembify 200 MG/ML Injection","target","confirmed"
http://www.nlm.nih.gov/research/umls/rxnorm,"2167158","10 ML immune globulin subcutaneous (human) - hipp 165 MG/ML Injection","target","confirmed"
http://www.nlm.nih.gov/research/umls/rxnorm,"2196390","10 ML immune globulin subcutaneous (human) - klhw 200 MG/ML Injection","target","confirmed"
http://www.nlm.nih.gov/research/umls/rxnorm,"2706395","100 ML immune globulin intravenous (human) - dira 100 MG/ML Injection","target","confirmed"
http://www.nlm.nih.gov/research/umls/rxnorm,"2706396","100 ML immune globulin intravenous (human) - dira 100 MG/ML Injection [Yimmugo]","target","confirmed"
http://www.nlm.nih.gov/research/umls/rxnorm,"2726025","100 ML immune globulin intravenous (human) - kthm 100 MG/ML Injection","target","confirmed"
http://www.nlm.nih.gov/research/umls/rxnorm,"2726026","100 ML immune globulin intravenous (human) - kthm 100 MG/ML Injection [Qivigy]","target","confirmed"
http://www.nlm.nih.gov/research/umls/rxnorm,"2167157","12 ML Cutaquig 165 MG/ML Injection","target","confirmed"
http://www.nlm.nih.gov/research/umls/rxnorm,"2167156","12 ML immune globulin subcutaneous (human) - hipp 165 MG/ML Injection","target","confirmed"
http://www.nlm.nih.gov/research/umls/rxnorm,"2167161","20 ML Cutaquig 165 MG/ML Injection","target","confirmed"
http://www.nlm.nih.gov/research/umls/rxnorm,"2196491","20 ML Xembify 200 MG/ML Injection","target","confirmed"
http://www.nlm.nih.gov/research/umls/rxnorm,"2167160","20 ML immune globulin subcutaneous (human) - hipp 165 MG/ML Injection","target","confirmed"
http://www.nlm.nih.gov/research/umls/rxnorm,"2196490","20 ML immune globulin subcutaneous (human) - klhw 200 MG/ML Injection","target","confirmed"
http://www.nlm.nih.gov/research/umls/rxnorm,"2706397","200 ML immune globulin intravenous (human) - dira 100 MG/ML Injection","target","confirmed"
http://www.nlm.nih.gov/research/umls/rxnorm,"2706398","200 ML immune globulin intravenous (human) - dira 100 MG/ML Injection [Yimmugo]","target","confirmed"
http://www.nlm.nih.gov/research/umls/rxnorm,"2167163","24 ML Cutaquig 165 MG/ML Injection","target","confirmed"
http://www.nlm.nih.gov/research/umls/rxnorm,"2167162","24 ML immune globulin subcutaneous (human) - hipp 165 MG/ML Injection","target","confirmed"
