system,code,display,prority,evidence
http://www.nlm.nih.gov/research/umls/rxnorm,1164265,alemtuzumab Injectable Product,high,confirmed
http://www.nlm.nih.gov/research/umls/rxnorm,117055,alemtuzumab,high,confirmed
http://www.nlm.nih.gov/research/umls/rxnorm,1172298,Campath Injectable Product,high,confirmed
http://www.nlm.nih.gov/research/umls/rxnorm,1594657,alemtuzumab 10 MG/ML,high,confirmed
http://www.nlm.nih.gov/research/umls/rxnorm,1594658,1.2 ML alemtuzumab 10 MG/ML Injection,high,confirmed
http://www.nlm.nih.gov/research/umls/rxnorm,1594659,Lemtrada,medium,confirmed
http://www.nlm.nih.gov/research/umls/rxnorm,1594660,alemtuzumab 10 MG/ML [Lemtrada],medium,confirmed
http://www.nlm.nih.gov/research/umls/rxnorm,1594662,Lemtrada Injectable Product,medium,confirmed
http://www.nlm.nih.gov/research/umls/rxnorm,1594663,Lemtrada 12 MG in 1.2 ML Injection,medium,confirmed
http://www.nlm.nih.gov/research/umls/rxnorm,1656628,alemtuzumab 30 MG/ML,high,confirmed
http://www.nlm.nih.gov/research/umls/rxnorm,1656629,alemtuzumab Injection,high,confirmed
http://www.nlm.nih.gov/research/umls/rxnorm,1656631,alemtuzumab 30 MG/ML [Campath],high,confirmed
http://www.nlm.nih.gov/research/umls/rxnorm,1656632,alemtuzumab Injection [Campath],high,confirmed
http://www.nlm.nih.gov/research/umls/rxnorm,1656634,alemtuzumab 30 MG/ML Injection,high,confirmed
http://www.nlm.nih.gov/research/umls/rxnorm,1656635,Campath 30 MG/ML Injection,high,confirmed
http://www.nlm.nih.gov/research/umls/rxnorm,1656637,alemtuzumab Injection [Lemtrada],medium,confirmed
http://www.nlm.nih.gov/research/umls/rxnorm,1656639,alemtuzumab 10 MG/ML Injection,high,confirmed
http://www.nlm.nih.gov/research/umls/rxnorm,1656640,Lemtrada 10 MG/ML Injection,medium,confirmed
http://www.nlm.nih.gov/research/umls/rxnorm,284679,Campath,high,confirmed
http://www.nlm.nih.gov/research/umls/rxnorm,828265,1 ML alemtuzumab 30 MG/ML Injection,high,confirmed
http://www.nlm.nih.gov/research/umls/rxnorm,828267,Campath 30 MG in 1 ML Injection,high,confirmed
urn:local:kidney-transplant-medication-alias,ALEM,ALEM; alemtuzumab abbreviation,low,suspected
