system,code,display,prority,evidence
http://www.nlm.nih.gov/research/umls/rxnorm,1159396,basiliximab Injectable Product,high,confirmed
http://www.nlm.nih.gov/research/umls/rxnorm,1182652,Simulect Injectable Product,high,confirmed
http://www.nlm.nih.gov/research/umls/rxnorm,1656641,basiliximab 10 MG,high,confirmed
http://www.nlm.nih.gov/research/umls/rxnorm,1656642,basiliximab Injection,high,confirmed
http://www.nlm.nih.gov/research/umls/rxnorm,1656643,basiliximab 10 MG Injection,high,confirmed
http://www.nlm.nih.gov/research/umls/rxnorm,1656644,basiliximab 10 MG [Simulect],high,confirmed
http://www.nlm.nih.gov/research/umls/rxnorm,1656645,basiliximab Injection [Simulect],high,confirmed
http://www.nlm.nih.gov/research/umls/rxnorm,1656646,Simulect 10 MG Injection,high,confirmed
http://www.nlm.nih.gov/research/umls/rxnorm,1656647,basiliximab 20 MG,high,confirmed
http://www.nlm.nih.gov/research/umls/rxnorm,1656648,basiliximab 20 MG Injection,high,confirmed
http://www.nlm.nih.gov/research/umls/rxnorm,1656649,basiliximab 20 MG [Simulect],high,confirmed
http://www.nlm.nih.gov/research/umls/rxnorm,1656650,Simulect 20 MG Injection,high,confirmed
http://www.nlm.nih.gov/research/umls/rxnorm,196102,basiliximab,high,confirmed
http://www.nlm.nih.gov/research/umls/rxnorm,219912,Simulect,high,confirmed
