system,code,display,prority,evidence
http://www.nlm.nih.gov/research/umls/rxnorm,1157967,riTUXimab Injectable Product,high,confirmed
http://www.nlm.nih.gov/research/umls/rxnorm,1185345,Rituxan Injectable Product,high,confirmed
http://www.nlm.nih.gov/research/umls/rxnorm,121191,riTUXimab,high,confirmed
http://www.nlm.nih.gov/research/umls/rxnorm,1657861,riTUXimab Injection,high,confirmed
http://www.nlm.nih.gov/research/umls/rxnorm,1657862,10 ML riTUXimab 10 MG/ML Injection,high,confirmed
http://www.nlm.nih.gov/research/umls/rxnorm,1657863,riTUXimab Injection [Rituxan],high,confirmed
http://www.nlm.nih.gov/research/umls/rxnorm,1657864,Rituxan 100 MG in 10 ML Injection,high,confirmed
http://www.nlm.nih.gov/research/umls/rxnorm,1657865,riTUXimab 10 MG/ML Injection,high,confirmed
http://www.nlm.nih.gov/research/umls/rxnorm,1657866,Rituxan 10 MG/ML Injection,high,confirmed
http://www.nlm.nih.gov/research/umls/rxnorm,1657867,50 ML riTUXimab 10 MG/ML Injection,high,confirmed
http://www.nlm.nih.gov/research/umls/rxnorm,1657868,Rituxan 500 MG in 50 ML Injection,high,confirmed
http://www.nlm.nih.gov/research/umls/rxnorm,1927881,riTUXimab 120 MG/ML,high,confirmed
http://www.nlm.nih.gov/research/umls/rxnorm,1927882,hyaluronidase / riTUXimab Injectable Product,medium,confirmed
http://www.nlm.nih.gov/research/umls/rxnorm,1927883,hyaluronidase / riTUXimab Injection,medium,confirmed
http://www.nlm.nih.gov/research/umls/rxnorm,1927884,hyaluronidase / riTUXimab,medium,confirmed
http://www.nlm.nih.gov/research/umls/rxnorm,1927885,"11.7 ML hyaluronidase, human recombinant 2000 UNT/ML / riTUXimab 120 MG/ML Injection",medium,confirmed
http://www.nlm.nih.gov/research/umls/rxnorm,1927886,Rituxan Hycela,high,confirmed
http://www.nlm.nih.gov/research/umls/rxnorm,1927887,"hyaluronidase, human recombinant 2000 UNT/ML / riTUXimab 120 MG/ML [Rituxan Hycela]",medium,confirmed
http://www.nlm.nih.gov/research/umls/rxnorm,1927888,hyaluronidase / riTUXimab Injection [Rituxan Hycela],medium,confirmed
http://www.nlm.nih.gov/research/umls/rxnorm,1927889,Rituxan Hycela Injectable Product,high,confirmed
http://www.nlm.nih.gov/research/umls/rxnorm,1927890,"Rituxan Hycela 1400 MG / 23,400 UNT in 11.7 ML Injection",high,confirmed
http://www.nlm.nih.gov/research/umls/rxnorm,1927891,"hyaluronidase, human recombinant 2000 UNT/ML / riTUXimab 120 MG/ML Injection",medium,confirmed
http://www.nlm.nih.gov/research/umls/rxnorm,1927892,"hyaluronidase, human recombinant 2000 UNT/ML / riTUXimab 120 MG/ML Injection [Rituxan Hycela]",medium,confirmed
http://www.nlm.nih.gov/research/umls/rxnorm,1927893,"13.4 ML hyaluronidase, human recombinant 2000 UNT/ML / riTUXimab 120 MG/ML Injection",medium,confirmed
http://www.nlm.nih.gov/research/umls/rxnorm,1927894,"Rituxan Hycela 1600 MG / 26,800 UNT in 13.4 ML Injection",high,confirmed
http://www.nlm.nih.gov/research/umls/rxnorm,2105824,riTUXimab-abbs,high,confirmed
http://www.nlm.nih.gov/research/umls/rxnorm,2105825,riTUXimab-abbs 10 MG/ML,high,confirmed
http://www.nlm.nih.gov/research/umls/rxnorm,2105826,10 ML riTUXimab-abbs 10 MG/ML Injection,high,confirmed
http://www.nlm.nih.gov/research/umls/rxnorm,2105827,Truxima,high,confirmed
http://www.nlm.nih.gov/research/umls/rxnorm,2105828,riTUXimab-abbs 10 MG/ML [Truxima],high,confirmed
http://www.nlm.nih.gov/research/umls/rxnorm,2105829,riTUXimab Injection [Truxima],high,confirmed
http://www.nlm.nih.gov/research/umls/rxnorm,2105830,Truxima Injectable Product,high,confirmed
http://www.nlm.nih.gov/research/umls/rxnorm,2105831,10 ML Truxima 10 MG/ML Injection,high,confirmed
http://www.nlm.nih.gov/research/umls/rxnorm,2105832,riTUXimab-abbs 10 MG/ML Injection,high,confirmed
http://www.nlm.nih.gov/research/umls/rxnorm,2105833,Truxima 10 MG/ML Injection,high,confirmed
http://www.nlm.nih.gov/research/umls/rxnorm,2105834,50 ML riTUXimab-abbs 10 MG/ML Injection,high,confirmed
http://www.nlm.nih.gov/research/umls/rxnorm,2105835,50 ML Truxima 10 MG/ML Injection,high,confirmed
http://www.nlm.nih.gov/research/umls/rxnorm,226754,Rituxan,high,confirmed
http://www.nlm.nih.gov/research/umls/rxnorm,2273510,riTUXimab-pvvr,high,confirmed
http://www.nlm.nih.gov/research/umls/rxnorm,2273511,riTUXimab-pvvr 10 MG/ML,high,confirmed
http://www.nlm.nih.gov/research/umls/rxnorm,2273512,10 ML riTUXimab-pvvr 10 MG/ML Injection,high,confirmed
http://www.nlm.nih.gov/research/umls/rxnorm,2273513,Ruxience,high,confirmed
http://www.nlm.nih.gov/research/umls/rxnorm,2273514,riTUXimab-pvvr 10 MG/ML [Ruxience],high,confirmed
http://www.nlm.nih.gov/research/umls/rxnorm,2273515,riTUXimab Injection [Ruxience],high,confirmed
http://www.nlm.nih.gov/research/umls/rxnorm,2273516,Ruxience Injectable Product,high,confirmed
http://www.nlm.nih.gov/research/umls/rxnorm,2273517,10 ML Ruxience 10 MG/ML Injection,high,confirmed
http://www.nlm.nih.gov/research/umls/rxnorm,2273518,riTUXimab-pvvr 10 MG/ML Injection,high,confirmed
http://www.nlm.nih.gov/research/umls/rxnorm,2273519,Ruxience 10 MG/ML Injection,high,confirmed
http://www.nlm.nih.gov/research/umls/rxnorm,2273520,50 ML riTUXimab-pvvr 10 MG/ML Injection,high,confirmed
http://www.nlm.nih.gov/research/umls/rxnorm,2273521,50 ML Ruxience 10 MG/ML Injection,high,confirmed
http://www.nlm.nih.gov/research/umls/rxnorm,2472325,riTUXimab-arrx,high,confirmed
http://www.nlm.nih.gov/research/umls/rxnorm,2472326,riTUXimab-arrx 10 MG/ML,high,confirmed
http://www.nlm.nih.gov/research/umls/rxnorm,2472327,10 ML riTUXimab-arrx 10 MG/ML Injection,high,confirmed
http://www.nlm.nih.gov/research/umls/rxnorm,2472329,riTUXimab-arrx 10 MG/ML [Riabni],high,confirmed
http://www.nlm.nih.gov/research/umls/rxnorm,2472330,riTUXimab Injection [Riabni],high,confirmed
http://www.nlm.nih.gov/research/umls/rxnorm,2472332,10 ML riTUXimab-arrx 10 MG/ML Injection [Riabni],high,confirmed
http://www.nlm.nih.gov/research/umls/rxnorm,2472333,riTUXimab-arrx 10 MG/ML Injection,high,confirmed
http://www.nlm.nih.gov/research/umls/rxnorm,2472334,riTUXimab-arrx 10 MG/ML Injection [Riabni],high,confirmed
http://www.nlm.nih.gov/research/umls/rxnorm,2472335,50 ML riTUXimab-arrx 10 MG/ML Injection,high,confirmed
http://www.nlm.nih.gov/research/umls/rxnorm,2472336,50 ML riTUXimab-arrx 10 MG/ML Injection [Riabni],high,confirmed
http://www.nlm.nih.gov/research/umls/rxnorm,2646070,"hyaluronidase, human recombinant / riTUXimab Injection",medium,confirmed
http://www.nlm.nih.gov/research/umls/rxnorm,2646375,riTUXimab-abbs Injection,high,confirmed
http://www.nlm.nih.gov/research/umls/rxnorm,2647172,riTUXimab-pvvr Injection,high,confirmed
http://www.nlm.nih.gov/research/umls/rxnorm,2647548,riTUXimab-arrx Injection,high,confirmed
http://www.nlm.nih.gov/research/umls/rxnorm,2654386,"hyaluronidase, human recombinant / riTUXimab Injection [Rituxan Hycela]",medium,confirmed
http://www.nlm.nih.gov/research/umls/rxnorm,2654837,riTUXimab-pvvr Injection [Ruxience],high,confirmed
http://www.nlm.nih.gov/research/umls/rxnorm,2655716,riTUXimab-abbs Injection [Truxima],high,confirmed
http://www.nlm.nih.gov/research/umls/rxnorm,2657079,riTUXimab-arrx Injection [Riabni],high,confirmed
http://www.nlm.nih.gov/research/umls/rxnorm,2660105,riTUXimab-arrx Injectable Product,high,confirmed
http://www.nlm.nih.gov/research/umls/rxnorm,2662462,riTUXimab-abbs Injectable Product,high,confirmed
http://www.nlm.nih.gov/research/umls/rxnorm,2663237,"hyaluronidase, human recombinant / riTUXimab Injectable Product",medium,confirmed
http://www.nlm.nih.gov/research/umls/rxnorm,2663424,riTUXimab-pvvr Injectable Product,high,confirmed
http://www.nlm.nih.gov/research/umls/rxnorm,316648,riTUXimab 10 MG/ML,high,confirmed
http://www.nlm.nih.gov/research/umls/rxnorm,573051,riTUXimab 10 MG/ML [Rituxan],high,confirmed
http://www.nlm.nih.gov/research/umls/rxnorm,2472328,Riabni,high,confirmed
http://www.nlm.nih.gov/research/umls/rxnorm,2472331,Riabni Injectable Product,high,confirmed
