system,code,display,prority,evidence
http://www.nlm.nih.gov/research/umls/rxnorm,1158757,sirolimus Oral Liquid Product,1,confirmed
http://www.nlm.nih.gov/research/umls/rxnorm,1158758,sirolimus Oral Product,1,confirmed
http://www.nlm.nih.gov/research/umls/rxnorm,1158759,sirolimus Pill,1,confirmed
http://www.nlm.nih.gov/research/umls/rxnorm,1177701,Rapamune Oral Liquid Product,1,confirmed
http://www.nlm.nih.gov/research/umls/rxnorm,1177702,Rapamune Oral Product,1,confirmed
http://www.nlm.nih.gov/research/umls/rxnorm,1177703,Rapamune Pill,1,confirmed
http://www.nlm.nih.gov/research/umls/rxnorm,258355,Rapamune,1,confirmed
http://www.nlm.nih.gov/research/umls/rxnorm,2586860,sirolimus 100 MG,2,confirmed
http://www.nlm.nih.gov/research/umls/rxnorm,2586861,sirolimus Injectable Product,2,confirmed
http://www.nlm.nih.gov/research/umls/rxnorm,2586862,sirolimus Injection,2,confirmed
http://www.nlm.nih.gov/research/umls/rxnorm,2586863,sirolimus 100 MG Injection,2,confirmed
http://www.nlm.nih.gov/research/umls/rxnorm,2586865,sirolimus 100 MG [Fyarro],2,confirmed
http://www.nlm.nih.gov/research/umls/rxnorm,2586867,sirolimus Injection [Fyarro],2,confirmed
http://www.nlm.nih.gov/research/umls/rxnorm,2586868,sirolimus 100 MG Injection [Fyarro],2,confirmed
http://www.nlm.nih.gov/research/umls/rxnorm,2596861,sirolimus 0.002 MG/MG,2,confirmed
http://www.nlm.nih.gov/research/umls/rxnorm,2596862,sirolimus Topical Product,2,confirmed
http://www.nlm.nih.gov/research/umls/rxnorm,2596863,sirolimus Topical Gel,2,confirmed
http://www.nlm.nih.gov/research/umls/rxnorm,2596864,sirolimus 0.2 % Topical Gel,2,confirmed
http://www.nlm.nih.gov/research/umls/rxnorm,2596866,sirolimus 0.002 MG/MG [Hyftor],2,confirmed
http://www.nlm.nih.gov/research/umls/rxnorm,2596868,sirolimus Topical Gel [Hyftor],2,confirmed
http://www.nlm.nih.gov/research/umls/rxnorm,2596869,sirolimus 0.002 MG/MG Topical Gel [Hyftor],2,confirmed
http://www.nlm.nih.gov/research/umls/rxnorm,314230,sirolimus 1 MG/ML Oral Solution,1,confirmed
http://www.nlm.nih.gov/research/umls/rxnorm,333296,sirolimus 1 MG/ML,1,confirmed
http://www.nlm.nih.gov/research/umls/rxnorm,349208,sirolimus 1 MG Oral Tablet,1,confirmed
http://www.nlm.nih.gov/research/umls/rxnorm,350512,sirolimus 1 MG,1,confirmed
http://www.nlm.nih.gov/research/umls/rxnorm,351901,Rapamune 1 MG/ML Oral Solution,1,confirmed
http://www.nlm.nih.gov/research/umls/rxnorm,351989,Rapamune 1 MG Oral Tablet,1,confirmed
http://www.nlm.nih.gov/research/umls/rxnorm,35302,sirolimus,1,confirmed
http://www.nlm.nih.gov/research/umls/rxnorm,360110,sirolimus 2 MG Oral Tablet,1,confirmed
http://www.nlm.nih.gov/research/umls/rxnorm,360318,sirolimus 2 MG,1,confirmed
http://www.nlm.nih.gov/research/umls/rxnorm,364904,sirolimus Oral Solution [Rapamune],1,confirmed
http://www.nlm.nih.gov/research/umls/rxnorm,368672,sirolimus Oral Tablet [Rapamune],1,confirmed
http://www.nlm.nih.gov/research/umls/rxnorm,375278,sirolimus Oral Solution,1,confirmed
http://www.nlm.nih.gov/research/umls/rxnorm,378277,sirolimus Oral Tablet,1,confirmed
http://www.nlm.nih.gov/research/umls/rxnorm,404432,Rapamune 2 MG Oral Tablet,1,confirmed
http://www.nlm.nih.gov/research/umls/rxnorm,575659,sirolimus 1 MG/ML [Rapamune],1,confirmed
http://www.nlm.nih.gov/research/umls/rxnorm,575733,sirolimus 1 MG [Rapamune],1,confirmed
http://www.nlm.nih.gov/research/umls/rxnorm,576390,sirolimus 2 MG [Rapamune],1,confirmed
http://www.nlm.nih.gov/research/umls/rxnorm,905157,sirolimus 0.5 MG,1,confirmed
http://www.nlm.nih.gov/research/umls/rxnorm,905158,sirolimus 0.5 MG Oral Tablet,1,confirmed
http://www.nlm.nih.gov/research/umls/rxnorm,905159,sirolimus 0.5 MG [Rapamune],1,confirmed
http://www.nlm.nih.gov/research/umls/rxnorm,905160,Rapamune 0.5 MG Oral Tablet,1,confirmed
