system,code,display,priority,evidence
http://hl7.org/fhir/sid/icd-10-cm,A00,Cholera,medium,confirmed
http://hl7.org/fhir/sid/icd-10-cm,A00.0,"Cholera due to Vibrio cholerae 01, biovar cholerae",medium,confirmed
http://hl7.org/fhir/sid/icd-10-cm,A00.1,"Cholera due to Vibrio cholerae 01, biovar eltor",medium,confirmed
http://hl7.org/fhir/sid/icd-10-cm,A00.9,"Cholera, unspecified",medium,confirmed
http://hl7.org/fhir/sid/icd-10-cm,A01,Typhoid and paratyphoid fevers,medium,confirmed
http://hl7.org/fhir/sid/icd-10-cm,A01.0,Typhoid fever,medium,confirmed
http://hl7.org/fhir/sid/icd-10-cm,A01.00,"Typhoid fever, unspecified",medium,confirmed
http://hl7.org/fhir/sid/icd-10-cm,A01.01,Typhoid meningitis,high,confirmed
http://hl7.org/fhir/sid/icd-10-cm,A01.02,Typhoid fever with heart involvement,medium,confirmed
http://hl7.org/fhir/sid/icd-10-cm,A01.03,Typhoid pneumonia,high,confirmed
http://hl7.org/fhir/sid/icd-10-cm,A01.04,Typhoid arthritis,high,confirmed
http://hl7.org/fhir/sid/icd-10-cm,A01.05,Typhoid osteomyelitis,high,confirmed
http://hl7.org/fhir/sid/icd-10-cm,A01.09,Typhoid fever with other complications,medium,confirmed
http://hl7.org/fhir/sid/icd-10-cm,A01.1,Paratyphoid fever A,medium,confirmed
http://hl7.org/fhir/sid/icd-10-cm,A01.2,Paratyphoid fever B,medium,confirmed
http://hl7.org/fhir/sid/icd-10-cm,A01.3,Paratyphoid fever C,medium,confirmed
http://hl7.org/fhir/sid/icd-10-cm,A01.4,"Paratyphoid fever, unspecified",medium,confirmed
http://hl7.org/fhir/sid/icd-10-cm,A02,Other salmonella infections,medium,confirmed
http://hl7.org/fhir/sid/icd-10-cm,A02.0,Salmonella enteritis,medium,confirmed
http://hl7.org/fhir/sid/icd-10-cm,A02.1,Salmonella sepsis,high,confirmed
http://hl7.org/fhir/sid/icd-10-cm,A02.2,Localized salmonella infections,medium,confirmed
http://hl7.org/fhir/sid/icd-10-cm,A02.20,"Localized salmonella infection, unspecified",medium,confirmed
http://hl7.org/fhir/sid/icd-10-cm,A02.21,Salmonella meningitis,high,confirmed
http://hl7.org/fhir/sid/icd-10-cm,A02.22,Salmonella pneumonia,high,confirmed
http://hl7.org/fhir/sid/icd-10-cm,A02.23,Salmonella arthritis,high,confirmed
http://hl7.org/fhir/sid/icd-10-cm,A02.24,Salmonella osteomyelitis,high,confirmed
http://hl7.org/fhir/sid/icd-10-cm,A02.25,Salmonella pyelonephritis,high,confirmed
http://hl7.org/fhir/sid/icd-10-cm,A02.29,Salmonella with other localized infection,medium,confirmed
http://hl7.org/fhir/sid/icd-10-cm,A02.8,Other specified salmonella infections,medium,confirmed
http://hl7.org/fhir/sid/icd-10-cm,A02.9,"Salmonella infection, unspecified",medium,confirmed
http://hl7.org/fhir/sid/icd-10-cm,A03,Shigellosis,medium,confirmed
http://hl7.org/fhir/sid/icd-10-cm,A03.0,Shigellosis due to Shigella dysenteriae,medium,confirmed
http://hl7.org/fhir/sid/icd-10-cm,A03.1,Shigellosis due to Shigella flexneri,medium,confirmed
http://hl7.org/fhir/sid/icd-10-cm,A03.2,Shigellosis due to Shigella boydii,medium,confirmed
http://hl7.org/fhir/sid/icd-10-cm,A03.3,Shigellosis due to Shigella sonnei,medium,confirmed
http://hl7.org/fhir/sid/icd-10-cm,A03.8,Other shigellosis,medium,confirmed
http://hl7.org/fhir/sid/icd-10-cm,A03.9,"Shigellosis, unspecified",medium,confirmed
http://hl7.org/fhir/sid/icd-10-cm,A04,Other bacterial intestinal infections,medium,confirmed
http://hl7.org/fhir/sid/icd-10-cm,A04.0,Enteropathogenic Escherichia coli infection,medium,confirmed
http://hl7.org/fhir/sid/icd-10-cm,A04.1,Enterotoxigenic Escherichia coli infection,medium,confirmed
http://hl7.org/fhir/sid/icd-10-cm,A04.2,Enteroinvasive Escherichia coli infection,medium,confirmed
http://hl7.org/fhir/sid/icd-10-cm,A04.3,Enterohemorrhagic Escherichia coli infection,medium,confirmed
http://hl7.org/fhir/sid/icd-10-cm,A04.4,Other intestinal Escherichia coli infections,medium,confirmed
http://hl7.org/fhir/sid/icd-10-cm,A04.5,Campylobacter enteritis,medium,confirmed
http://hl7.org/fhir/sid/icd-10-cm,A04.6,Enteritis due to Yersinia enterocolitica,medium,confirmed
http://hl7.org/fhir/sid/icd-10-cm,A04.7,Enterocolitis due to Clostridium difficile,medium,confirmed
http://hl7.org/fhir/sid/icd-10-cm,A04.71,"Enterocolitis due to Clostridium difficile, recurrent",medium,confirmed
http://hl7.org/fhir/sid/icd-10-cm,A04.72,"Enterocolitis due to Clostridium difficile, not specified as recurrent",medium,confirmed
http://hl7.org/fhir/sid/icd-10-cm,A04.8,Other specified bacterial intestinal infections,medium,confirmed
http://hl7.org/fhir/sid/icd-10-cm,A04.9,"Bacterial intestinal infection, unspecified",medium,confirmed
http://hl7.org/fhir/sid/icd-10-cm,A05,"Other bacterial foodborne intoxications, not elsewhere classified",medium,confirmed
http://hl7.org/fhir/sid/icd-10-cm,A05.0,Foodborne staphylococcal intoxication,medium,confirmed
http://hl7.org/fhir/sid/icd-10-cm,A05.1,Botulism food poisoning,medium,confirmed
http://hl7.org/fhir/sid/icd-10-cm,A05.2,Foodborne Clostridium perfringens [Clostridium welchii] intoxication,medium,confirmed
