system,code,display,priority,evidence
http://snomed.info/sct,10629191000119100,Bronchiolitis caused by influenza virus (disorder),high,confirmed
http://snomed.info/sct,10685111000119102,Upper respiratory tract infection caused by influenza virus (disorder),high,confirmed
http://snomed.info/sct,1149091008,Influenza caused by Influenza A virus subtype H2 (disorder),high,confirmed
http://snomed.info/sct,142931000119100,Pneumonia caused by Influenza A virus subtype H1N1 (disorder),high,confirmed
http://snomed.info/sct,142941000119109,Upper respiratory tract infection caused by Influenza A virus subtype H1N1 (disorder),high,confirmed
http://snomed.info/sct,16311000119108,Pneumonia caused by influenza virus (disorder),high,confirmed
http://snomed.info/sct,195878008,Pneumonia and influenza (disorder),medium,confirmed
http://snomed.info/sct,195923003,Influenza with laryngitis (disorder),high,confirmed
http://snomed.info/sct,195924009,Influenza with pharyngitis (disorder),high,confirmed
http://snomed.info/sct,195929004,Influenza with gastrointestinal tract involvement (disorder),medium,confirmed
http://snomed.info/sct,24662006,Influenza caused by Influenza B virus (disorder),high,confirmed
http://snomed.info/sct,328531000119104,Upper respiratory tract infection caused by Influenza A virus (disorder),high,confirmed
http://snomed.info/sct,408687004,Healthcare associated influenza disease (disorder),high,confirmed
http://snomed.info/sct,41269000,Influenzal bronchopneumonia (disorder),high,confirmed
http://snomed.info/sct,435051000124104,Influenza due to Influenza A virus with upper respiratory signs (disorder),high,confirmed
http://snomed.info/sct,43692000,Influenzal acute upper respiratory infection (disorder),high,confirmed
http://snomed.info/sct,442438000,Influenza caused by Influenza A virus (disorder),high,confirmed
http://snomed.info/sct,442696006,Influenza caused by Influenza A virus subtype H1N1 (disorder),high,confirmed
http://snomed.info/sct,450715004,Influenza caused by Influenza A virus subtype H7 (disorder),high,confirmed
http://snomed.info/sct,450716003,Influenza caused by Influenza A virus subtype H9 (disorder),high,confirmed
http://snomed.info/sct,541131000124102,Infection caused by novel Influenza A virus variant (disorder),high,confirmed
http://snomed.info/sct,6142004,Influenza (disorder),high,confirmed
http://snomed.info/sct,707448003,Influenza caused by Influenza A virus subtype H7N9 (disorder),high,confirmed
http://snomed.info/sct,713083002,Influenza caused by Influenza A virus subtype H5 (disorder),high,confirmed
http://snomed.info/sct,719590007,Influenza caused by seasonal influenza virus (disorder),medium,confirmed
http://snomed.info/sct,719865001,Influenza caused by pandemic influenza virus (disorder),medium,confirmed
http://snomed.info/sct,74644004,Influenza with encephalopathy (disorder),high,confirmed
http://snomed.info/sct,772810003,Influenza caused by Influenza A virus subtype H3N2 (disorder),high,confirmed
http://snomed.info/sct,772828001,Influenza caused by Influenza A virus subtype H5N1 (disorder),high,confirmed
http://snomed.info/sct,772839003,Pneumonia caused by Influenza A virus (disorder),high,confirmed
http://snomed.info/sct,81524006,Influenza caused by Influenza C virus (disorder),high,confirmed
http://hl7.org/fhir/sid/icd-10-cm,J09.X1,Influenza due to identified novel influenza A virus with pneumonia,high,confirmed
http://hl7.org/fhir/sid/icd-10-cm,J09.X2,Influenza due to identified novel influenza A virus with other respiratory manifestations,high,confirmed
http://hl7.org/fhir/sid/icd-10-cm,J09.X3,Influenza due to identified novel influenza A virus with gastrointestinal manifestations,medium,confirmed
http://hl7.org/fhir/sid/icd-10-cm,J09.X9,Influenza due to identified novel influenza A virus with other manifestations,medium,confirmed
http://hl7.org/fhir/sid/icd-10-cm,J10.00,Influenza due to other identified influenza virus with unspecified type of pneumonia,high,confirmed
http://hl7.org/fhir/sid/icd-10-cm,J10.01,Influenza due to other identified influenza virus with the same other identified influenza virus pneumonia,high,confirmed
http://hl7.org/fhir/sid/icd-10-cm,J10.08,Influenza due to other identified influenza virus with other specified pneumonia,high,confirmed
http://hl7.org/fhir/sid/icd-10-cm,J10.1,Influenza due to other identified influenza virus with other respiratory manifestations,high,confirmed
http://hl7.org/fhir/sid/icd-10-cm,J10.2,Influenza due to other identified influenza virus with gastrointestinal manifestations,medium,confirmed
http://hl7.org/fhir/sid/icd-10-cm,J10.81,Influenza due to other identified influenza virus with encephalopathy,high,confirmed
http://hl7.org/fhir/sid/icd-10-cm,J10.82,Influenza due to other identified influenza virus with myocarditis,medium,confirmed
http://hl7.org/fhir/sid/icd-10-cm,J10.83,Influenza due to other identified influenza virus with otitis media,medium,confirmed
http://hl7.org/fhir/sid/icd-10-cm,J10.89,Influenza due to other identified influenza virus with other manifestations,medium,confirmed
http://hl7.org/fhir/sid/icd-10-cm,J11.00,Influenza due to unidentified influenza virus with unspecified type of pneumonia,medium,confirmed
http://hl7.org/fhir/sid/icd-10-cm,J11.08,Influenza due to unidentified influenza virus with specified pneumonia,medium,confirmed
http://hl7.org/fhir/sid/icd-10-cm,J11.1,Influenza due to unidentified influenza virus with other respiratory manifestations,medium,confirmed
http://hl7.org/fhir/sid/icd-10-cm,J11.2,Influenza due to unidentified influenza virus with gastrointestinal manifestations,medium,confirmed
http://hl7.org/fhir/sid/icd-10-cm,J11.81,Influenza due to unidentified influenza virus with encephalopathy,medium,confirmed
http://hl7.org/fhir/sid/icd-10-cm,J11.82,Influenza due to unidentified influenza virus with myocarditis,medium,confirmed
http://hl7.org/fhir/sid/icd-10-cm,J11.83,Influenza due to unidentified influenza virus with otitis media,medium,confirmed
http://hl7.org/fhir/sid/icd-10-cm,J11.89,Influenza due to unidentified influenza virus with other manifestations,medium,confirmed
