system,code,display
http://www.nlm.nih.gov/research/umls/rxnorm,1657005,"40 ML ipilimumab 5 MG/ML Injection"
http://www.nlm.nih.gov/research/umls/rxnorm,1657012,"10 ML ipilimumab 5 MG/ML Injection"
http://www.nlm.nih.gov/research/umls/rxnorm,1657190,"4 ML nivolumab 10 MG/ML Injection"
http://www.nlm.nih.gov/research/umls/rxnorm,1657195,"10 ML nivolumab 10 MG/ML Injection"
http://www.nlm.nih.gov/research/umls/rxnorm,1657750,"4 ML pembrolizumab 25 MG/ML Injection"
http://www.nlm.nih.gov/research/umls/rxnorm,1792780,"20 ML atezolizumab 60 MG/ML Injection"
http://www.nlm.nih.gov/research/umls/rxnorm,1875542,"10 ML avelumab 20 MG/ML Injection"
http://www.nlm.nih.gov/research/umls/rxnorm,1919507,"2.4 ML durvalumab 50 MG/ML Injection"
http://www.nlm.nih.gov/research/umls/rxnorm,1919515,"10 ML durvalumab 50 MG/ML Injection"
http://www.nlm.nih.gov/research/umls/rxnorm,1991412,"24 ML nivolumab 10 MG/ML Injection"
http://www.nlm.nih.gov/research/umls/rxnorm,2058830,"7 ML cemiplimab-rwlc 50 MG/ML Injection"
http://www.nlm.nih.gov/research/umls/rxnorm,2119695,"14 ML atezolizumab 60 MG/ML Injection"
http://www.nlm.nih.gov/research/umls/rxnorm,2569080,"12 ML nivolumab 10 MG/ML Injection"
http://www.nlm.nih.gov/research/umls/rxnorm,2596778,"20 ML nivolumab-rmbw 12 MG/ML / relatlimab-rmbw 4 MG/ML Injection"
